point_id,point_name,K,M,P,TS,Ø,subbranch,lat,lon,rule_macro_type,pattern_k3,pattern_k3_label,pattern_k4,pattern_k4_label,pattern_k5,pattern_k5_label,mds_x,mds_y
AJ01,安吉安城,S0=S1,S1=S2=S3,S2=S3,S1=S2,S2=S3,太湖片-苕溪小片,30.71501207030173,119.69403152449726,混合过渡型,1,中段合并型,3,越级/断裂型,5,混合过渡型,-0.26072378453512834,0.3205055712535494
BL01,北仑城关,全对立,S2=S3,全对立,全对立,全对立,太湖片-甬江小片,29.89811926756077,121.8555161345704,保守分立型,2,保守分立型,2,保守分立型,2,保守分立型,0.5629011267007122,-0.16878158333364204
BS01,宝山,S0=S1，S2=S3,S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,31.40789362562556,121.4823088278808,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.2687615201323147,-0.1828068961194814
BZ01,堡镇,S2=S3,S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,31.53717747015217,121.61845579374194,后段合并型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.2296803581414587,-0.18470483665941062
CM01,崇明城关,S0=S1，S2=S3,S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,31.62502137629809,121.39837364780428,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.26876152013231497,-0.18280689611948062
CS01,川沙浦东,S0=S1，S2=S3,S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,31.47225912217096,121.36572899634233,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.2687615201323149,-0.1828068961194806
CS02,常熟虞山镇,S0=S1,S1=S2=S3,S1=S2=S3,S2=S3,S1=S3 [越级],太湖片-苏沪嘉小片,31.591588596011817,120.71950098393457,越级/断裂型,1,中段合并型,3,越级/断裂型,3,越级/断裂型,-0.1428089279288284,0.23841091468235304
CX01,慈溪逍林,全对立,S2=S3,全对立,S2=S3,全对立,太湖片-临绍小片,30.176553474815535,121.32252733323982,混合过渡型,2,保守分立型,2,保守分立型,2,保守分立型,0.3464340300998154,-0.2356750763425869
CX02,长兴,S0=S1，S2=S3,S1=S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苕溪小片,31.015985667983664,119.92556298117788,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.40266166740001863,0.05346154011564355
CZ01,常州,全对立,S2=S3,全对立,全对立,全对立,太湖片-毗陵小片,31.817299970768328,119.98167946067193,保守分立型,2,保守分立型,2,保守分立型,2,保守分立型,0.5629011267007108,-0.168781583333641
DB01,郎溪梅渚镇定埠,全对立,S2=S3,全对立,全对立,全对立,太湖片-毗陵小片,31.26422864475738,119.21214886627472,保守分立型,2,保守分立型,2,保守分立型,2,保守分立型,0.5629011267007108,-0.16878158333364093
DQ01,德清乾元,S0=S1，S2=S3,S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苕溪小片,30.41128187027115,120.3066753297041,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.26876152013231486,-0.1828068961194806
DS01,岱山岱西镇,全对立,S2=S3,全对立,全对立,全对立,太湖片-甬江小片,30.291651438527133,122.12280037007493,保守分立型,2,保守分立型,2,保守分立型,2,保守分立型,0.5629011267007108,-0.16878158333364093
DY01,丹阳,全对立,S0=S1，S2=S3,S0=S1,S0=S1,全对立,太湖片-毗陵小片,32.00504378566424,119.60890125492249,混合过渡型,2,保守分立型,2,保守分立型,2,保守分立型,0.47722738188606423,0.04205682452993738
FC01,奉城,S0=S1，S2=S3,S1=S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,30.9091313735184,121.6571711938398,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.4026616674000189,0.05346154011564366
FH01,奉化西坞,全对立,S2=S3,全对立,全对立,全对立,太湖片-甬江小片,29.680714793011017,121.49111464156624,保守分立型,2,保守分立型,2,保守分立型,2,保守分立型,0.5629011267007108,-0.16878158333364107
FJ01,枫泾镇,S0=S1，S2=S3,S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,30.94686047887636,121.06526585497572,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.268761520132315,-0.1828068961194806
FX01,奉贤,S2=S3,S1=S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,30.91897527897765,121.472539149005,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.37531408772216884,0.06517959442655062
FY01,富阳城关,全对立,S2=S3,S2=S3,S2=S3,S2=S3,太湖片-临绍小片,30.016640485311385,119.98190231282108,后段合并型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.06716192199656112,-0.23895701815311313
FY02,富阳东梓关,S2=S3,S2=S3,S2=S3,S2=S3,S2=S3,太湖片-临绍小片,29.888746645740536,119.82322508571217,后段合并型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.2296803581414586,-0.1847048366594096
