point_id,point_name,subbranch,lat,lon,avg_S0_S1,avg_S1_S2,avg_S2_S3,valid_S0_S1_cells,valid_S1_S2_cells,valid_S2_S3_cells,dominant_stage_type
CX01,慈溪逍林,太湖片-临绍小片,30.176553474815535,121.32252733323982,0.13813999999999999,0.06861999999999999,0.1482285714285714,5,5,7,S2_S3_dominant
FY01,富阳城关,太湖片-临绍小片,30.016640485311385,119.98190231282108,0.12228000000000001,0.041800000000000004,0.5198428571428572,5,5,7,S2_S3_dominant
FY02,富阳东梓关,太湖片-临绍小片,29.888746645740536,119.82322508571217,0.08592,0.0125,0.5514285714285714,5,5,7,S2_S3_dominant
KQ01,柯桥城关,太湖片-临绍小片,29.748521349147794,120.55618144462922,0.12482,0.64494,0.11538571428571429,5,5,7,S1_S2_dominant
LA01,临安城区,太湖片-临绍小片,30.23315912669765,119.72499020110224,0.17852,0.48292,0.15902857142857144,5,5,7,S1_S2_dominant
SX01,绍兴城区东头埭,太湖片-临绍小片,29.993518344339964,120.58871374901304,0.10206,0.69228,0.15164285714285716,5,5,7,S1_S2_dominant
SY02,上虞百官镇,太湖片-临绍小片,30.03284284378913,120.86882647540976,0.08349999999999999,0.54868,0.04874285714285714,5,5,7,S1_S2_dominant
SZ02,嵊州长乐,太湖片-临绍小片,29.462161931063488,120.6134354682932,0.06358,0.10851999999999999,0.12472857142857142,5,5,7,S2_S3_dominant
SZ03,嵊州崇仁镇,太湖片-临绍小片,29.597058890479932,120.71305579108136,0.02222,0.55236,0.0,5,5,7,S1_S2_dominant
TL01,桐庐镇,太湖片-临绍小片,29.7884967854026,119.68688228167676,0.13988,0.03238,0.6016,5,5,7,S2_S3_dominant
XC01,新昌城关,太湖片-临绍小片,29.51218962718775,120.90152839470582,0.1182,0.04268,0.1181,5,5,7,overall_low
XD01,新登下港,太湖片-临绍小片,30.05504419208193,119.70643910381924,0.12786,0.01862,0.7095142857142857,5,5,7,S2_S3_dominant
XH02,萧山城厢,太湖片-临绍小片,30.184673237617087,120.26218610190767,0.10007999999999999,0.56954,0.13751428571428573,5,5,7,S1_S2_dominant
XS03,萧山南阳镇,太湖片-临绍小片,30.264074721662567,120.44397314596198,0.064,0.48098,0.09378571428571429,5,5,7,S1_S2_dominant
YQ01,於潜,太湖片-临绍小片,30.187905243932583,119.39323745469882,0.12412000000000001,0.0,0.65,5,5,7,S2_S3_dominant
YY01,余姚城关,太湖片-临绍小片,30.03828439897687,121.15542443185122,0.055459999999999995,0.069,0.15074285714285712,5,5,7,S2_S3_dominant
ZJ01,诸暨城关,太湖片-临绍小片,29.7117133107683,120.24004681294583,0.1609,0.04034,0.1052,5,5,7,S0_S1_dominant
ZJ02,诸暨璜山镇,太湖片-临绍小片,29.571826761282235,120.33308245398152,0.14462,0.00624,0.10612857142857143,5,5,7,S0_S1_dominant
ZJ03,诸暨直埠镇,太湖片-临绍小片,29.830264930206425,120.2501858189284,0.08844,0.015339999999999998,0.020414285714285715,5,5,7,overall_low
HZ01,杭州城区,太湖片-杭州小片,30.28706827929675,120.1526233988192,0.058620000000000005,0.0,0.2544142857142857,5,5,7,S2_S3_dominant
PB01,彭埠镇,太湖片-杭州小片,30.289632692039433,120.22871521662924,0.10507999999999999,0.44692,0.12184285714285714,5,5,7,S1_S2_dominant
CZ01,常州,太湖片-毗陵小片,31.817299970768328,119.98167946067193,0.17887999999999998,0.04,0.09581428571428571,5,5,7,S0_S1_dominant
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,31.26422864475738,119.21214886627472,0.08166,0.0,0.20918571428571428,5,5,7,S2_S3_dominant
DY01,丹阳,太湖片-毗陵小片,32.00504378566424,119.60890125492249,0.29188000000000003,0.0,0.11849999999999998,5,5,7,S0_S1_dominant
HM02,海门四甲,太湖片-毗陵小片,32.01135207980153,121.27357135188068,0.12842,0.0,0.1349142857142857,5,5,7,S2_S3_dominant
JJ01,靖江城区,太湖片-毗陵小片,32.014549490723574,120.27535869012826,0.041260000000000005,0.0,0.10571428571428572,5,5,7,overall_low
JT01,金坛,太湖片-毗陵小片,31.722801327048952,119.59665998366492,0.14892,0.03598,0.12081428571428572,5,5,7,S0_S1_dominant
JY01,江阴城区澄江镇,太湖片-毗陵小片,31.91856501026851,120.28546180941228,0.08376,0.0073999999999999995,0.48795714285714287,5,5,7,S2_S3_dominant
LY01,溧阳,太湖片-毗陵小片,31.434264738248665,119.49640303729689,0.03628,0.0,0.028571428571428574,5,5,7,overall_low
NT01,南通金沙镇,太湖片-毗陵小片,32.07952490070315,121.0797065725066,0.0,0.0,0.04562857142857143,5,5,7,overall_low
QD01,启东吕四,太湖片-毗陵小片,32.07521449652023,121.6031682403422,0.1085,0.25966,0.16297142857142857,5,5,7,S1_S2_dominant
YX01,宜兴,太湖片-毗陵小片,31.34176176690364,119.82862754717812,0.0651,0.0125,0.05612857142857143,5,5,7,overall_low
BL01,北仑城关,太湖片-甬江小片,29.89811926756077,121.8555161345704,0.03598,0.02146,0.13595714285714286,5,5,7,S2_S3_dominant
DS01,岱山岱西镇,太湖片-甬江小片,30.291651438527133,122.12280037007493,0.12143999999999999,0.02064,0.15830000000000002,5,5,7,S2_S3_dominant
FH01,奉化西坞,太湖片-甬江小片,29.680714793011017,121.49111464156624,0.07926,0.07386,0.033985714285714286,5,5,7,overall_low
NB01,宁波市区,太湖片-甬江小片,29.882641254266098,121.55751200020596,0.0784,0.02942,0.07347142857142856,5,5,7,overall_low
XS01,象山丹城,太湖片-甬江小片,29.47877399078279,121.8761040477852,0.11785999999999999,0.55626,0.17839999999999998,5,5,7,S1_S2_dominant
YX02,鄞县中区,太湖片-甬江小片,29.816552546783488,121.54599962737127,0.08388,0.0073999999999999995,0.11452857142857142,5,5,7,overall_low
ZS01,舟山定海,太湖片-甬江小片,30.021127079101433,122.11093332969364,0.10042,0.0162,0.14027142857142857,5,5,7,S2_S3_dominant
BS01,宝山,太湖片-苏沪嘉小片,31.40789362562556,121.4823088278808,0.18342,0.0,0.5871142857142857,5,5,7,S2_S3_dominant
BZ01,堡镇,太湖片-苏沪嘉小片,31.53717747015217,121.61845579374194,0.16177999999999998,0.0,0.4749285714285714,5,5,7,S2_S3_dominant
CM01,崇明城关,太湖片-苏沪嘉小片,31.62502137629809,121.39837364780428,0.17984,0.0,0.6737428571428571,5,5,7,S2_S3_dominant
CS01,川沙浦东,太湖片-苏沪嘉小片,31.47225912217096,121.36572899634233,0.19252,0.0,0.6416000000000001,5,5,7,S2_S3_dominant
CS02,常熟虞山镇,太湖片-苏沪嘉小片,31.591588596011817,120.71950098393457,0.17396,0.22362,0.41632857142857144,5,5,7,S2_S3_dominant
FC01,奉城,太湖片-苏沪嘉小片,30.9091313735184,121.6571711938398,0.1713,0.11112,0.46077142857142855,5,5,7,S2_S3_dominant
FJ01,枫泾镇,太湖片-苏沪嘉小片,30.94686047887636,121.06526585497572,0.18242,0.0,0.43311428571428573,5,5,7,S2_S3_dominant
FX01,奉贤,太湖片-苏沪嘉小片,30.91897527897765,121.472539149005,0.1561,0.11112,0.5435,5,5,7,S2_S3_dominant
GQ01,高桥,太湖片-苏沪嘉小片,31.339124303388612,121.58040748222272,0.19624,0.0,0.47765714285714284,5,5,7,S2_S3_dominant
HM01,海门镇沙地话,太湖片-苏沪嘉小片,31.8856763941394,121.15836100693876,0.21838000000000002,0.0137,0.6639285714285714,5,5,7,S2_S3_plus_S0_S1
HN01,海宁城关,太湖片-苏沪嘉小片,30.51747651962801,120.67311840279037,0.20998,0.0375,0.4550142857142857,5,5,7,S2_S3_plus_S0_S1
HY01,海盐县城,太湖片-苏沪嘉小片,30.52484608182146,120.943411857842,0.17436000000000001,0.15123999999999999,0.5096428571428572,5,5,7,S2_S3_dominant
JD01,嘉定城关,太湖片-苏沪嘉小片,31.375152300679105,121.2715824755144,0.21391999999999997,0.0,0.6689999999999999,5,5,7,S2_S3_plus_S0_S1
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,30.85581735072176,120.89532033139976,0.28738,0.0,0.6891571428571428,5,5,7,S2_S3_plus_S0_S1
JS02,金山,太湖片-苏沪嘉小片,30.819522049912862,121.0509678474497,0.21810000000000002,0.11528000000000001,0.5311714285714285,5,5,7,S2_S3_plus_S0_S1
JW01,江湾,太湖片-苏沪嘉小片,31.305220787427928,121.47329399018194,0.16078,0.0,0.48295714285714286,5,5,7,S2_S3_dominant
JX01,嘉兴城区,太湖片-苏沪嘉小片,30.759566738914614,120.77338166132184,0.17092000000000002,0.0,0.45594285714285715,5,5,7,S2_S3_dominant
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,31.41100143999111,120.95099221326376,0.19586,0.12362,0.6648714285714286,5,5,7,S2_S3_dominant
LT01,练塘,太湖片-苏沪嘉小片,30.999904855821395,121.05239704753826,0.14404,0.0,0.4705142857142857,5,5,7,S2_S3_dominant
MH01,闵行,太湖片-苏沪嘉小片,31.028221,121.447195,0.1431,0.12,0.5132714285714286,5,5,7,S2_S3_dominant
NH01,南汇惠南镇,太湖片-苏沪嘉小片,31.05000952690444,121.74745427694488,0.15774000000000002,0.0,0.5534714285714285,5,5,7,S2_S3_dominant
PH01,平湖城关,太湖片-苏沪嘉小片,30.692613873607865,121.01118052674214,0.1618,0.12,0.5971142857142857,5,5,7,S2_S3_dominant
QP01,青浦商榻,太湖片-苏沪嘉小片,31.11800487430921,120.91982736628508,0.23632,0.13198,0.5273571428571429,5,5,7,S2_S3_plus_S0_S1
SH01,上海市区,太湖片-苏沪嘉小片,31.245251317000687,121.47209312541509,0.23844000000000004,0.09876,0.7852714285714286,5,5,7,S2_S3_plus_S0_S1
SJ01,松江镇,太湖片-苏沪嘉小片,31.036008868377273,121.22465745683684,0.27914000000000005,0.133,0.7703714285714286,5,5,7,S2_S3_plus_S0_S1
SJ02,泗泾,太湖片-苏沪嘉小片,31.118775274975683,121.27114807482758,0.18416000000000002,0.0,0.35987142857142856,5,5,7,S2_S3_dominant
SL01,三林,太湖片-苏沪嘉小片,31.14556367853321,121.50266996292858,0.13413999999999998,0.0,0.47237142857142855,5,5,7,S2_S3_dominant
SZ01,苏州城区,太湖片-苏沪嘉小片,31.29881005567972,120.5842465949506,0.23959999999999998,0.15694,0.7483571428571428,5,5,7,S2_S3_plus_S0_S1
TC01,太仓沙溪,太湖片-苏沪嘉小片,31.55669694801828,121.07694150440597,0.24928,0.16319999999999998,0.7509142857142858,5,5,7,S2_S3_plus_S0_S1
TC02,太仓城厢,太湖片-苏沪嘉小片,31.457113404346295,121.11208518322822,0.2132,0.19682,0.7669857142857143,5,5,7,S2_S3_plus_S0_S1
TX01,桐乡城区,太湖片-苏沪嘉小片,30.62837635390344,120.55967958073325,0.2928,0.05396000000000001,0.4626,5,5,7,S2_S3_plus_S0_S1
WJ01,吴江市松陵,太湖片-苏沪嘉小片,31.151716675903405,120.64901016522084,0.18170000000000003,0.12,0.5554428571428571,5,5,7,S2_S3_dominant
WJ02,吴江芦墟,太湖片-苏沪嘉小片,31.009803453390855,120.83681736613912,0.06882,0.058179999999999996,0.38724285714285717,5,5,7,S2_S3_dominant
WX01,无锡城区,太湖片-苏沪嘉小片,31.5672385460996,120.3044028357254,0.24769999999999998,0.12201999999999999,0.5115857142857143,5,5,7,S2_S3_plus_S0_S1
WX02,吴县光福镇,太湖片-苏沪嘉小片,31.283712541086764,120.39250256018134,0.24374,0.08888,0.7160428571428571,5,5,7,S2_S3_plus_S0_S1
XZ01,莘庄,太湖片-苏沪嘉小片,31.124822322270933,121.36994323180724,0.16266,0.12362,0.4767428571428572,5,5,7,S2_S3_dominant
ZP01,周浦,太湖片-苏沪嘉小片,31.115354843880898,121.57500604757446,0.13413999999999998,0.0,0.4545142857142857,5,5,7,S2_S3_dominant
ZR01,真如,太湖片-苏沪嘉小片,31.25725388552751,121.40120261716866,0.16177999999999998,0.0,0.48295714285714286,5,5,7,S2_S3_dominant
AJ01,安吉安城,太湖片-苕溪小片,30.71501207030173,119.69403152449726,0.30779999999999996,0.1928,0.39170000000000005,5,5,7,S2_S3_plus_S0_S1
CX02,长兴,太湖片-苕溪小片,31.015985667983664,119.92556298117788,0.215,0.06666,0.40112857142857145,5,5,7,S2_S3_plus_S0_S1
DQ01,德清乾元,太湖片-苕溪小片,30.41128187027115,120.3066753297041,0.19326000000000002,0.02962,0.6871142857142857,5,5,7,S2_S3_dominant
HZ02,湖州市区,太湖片-苕溪小片,30.902792630239233,120.085631081529,0.23702,0.11481999999999999,0.4469142857142857,5,5,7,S2_S3_plus_S0_S1
LP01,临平五杭,太湖片-苕溪小片,30.494257613,120.253757428,0.22749999999999998,0.0,0.5834714285714285,5,5,7,S2_S3_plus_S0_S1
