point_id,point_name,onset_class,merge_S0_S1,merge_S1_S2,merge_S2_S3,merge_S1_S3,comparison_scope,merge_S1_S3_two_link_mean,merge_NT_S2_S3_only
AJ01,安吉安城,K,0.8009,0.0185,0.1111,0.0,S1-S3_two_link_mean,0.0648,
AJ01,安吉安城,M,0.1667,0.4,0.125,0.125,S1-S3_two_link_mean,0.2625,
AJ01,安吉安城,N,,,0.3529,,S2-S3_only,,0.3529
AJ01,安吉安城,P,0.4825,0.0455,0.8571,0.0,S1-S3_two_link_mean,0.4513,
AJ01,安吉安城,T,,,0.275,,S2-S3_only,,0.275
AJ01,安吉安城,TS,0.0889,0.5,0.4018,0.2143,S1-S3_two_link_mean,0.4509,
AJ01,安吉安城,Ø,0.0,0.0,0.619,0.0,S1-S3_two_link_mean,0.3095,
BL01,北仑,K,0.1364,0.0185,0.0,0.0,S1-S3_two_link_mean,0.00925,
BL01,北仑,M,0.0,0.0,0.75,0.0,S1-S3_two_link_mean,0.375,
BL01,北仑,N,,,0.0588,,S2-S3_only,,0.0588
BL01,北仑,P,0.0,0.0263,0.0,0.0,S1-S3_two_link_mean,0.01315,
BL01,北仑,T,,,0.0,,S2-S3_only,,0.0
BL01,北仑,TS,0.0435,0.0625,0.1429,0.0,S1-S3_two_link_mean,0.1027,
BL01,北仑,Ø,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
BS01,宝山,K,0.619,0.0,0.6667,0.0,S1-S3_two_link_mean,0.33335,
BS01,宝山,M,0.1111,0.0,0.6,0.0,S1-S3_two_link_mean,0.3,
BS01,宝山,N,,,0.4444,,S2-S3_only,,0.4444
BS01,宝山,P,0.0526,0.0,0.7273,0.0,S1-S3_two_link_mean,0.36365,
BS01,宝山,T,,,0.6,,S2-S3_only,,0.6
BS01,宝山,TS,0.1344,0.0,0.5,0.0,S1-S3_two_link_mean,0.25,
BS01,宝山,Ø,0.0,0.0,0.5714,0.0,S1-S3_two_link_mean,0.2857,
BZ01,堡镇,K,0.4199,0.0,0.6667,0.0,S1-S3_two_link_mean,0.33335,
BZ01,堡镇,M,0.1111,0.0,0.625,0.0,S1-S3_two_link_mean,0.3125,
BZ01,堡镇,N,,,0.3333,,S2-S3_only,,0.3333
BZ01,堡镇,P,0.0526,0.0,0.4545,0.0,S1-S3_two_link_mean,0.22725,
BZ01,堡镇,T,,,0.3,,S2-S3_only,,0.3
BZ01,堡镇,TS,0.2253,0.0,0.4688,0.0,S1-S3_two_link_mean,0.2344,
BZ01,堡镇,Ø,0.0,0.0,0.4762,0.0,S1-S3_two_link_mean,0.2381,
CM01,崇明城桥,K,0.5455,0.0,0.7026,0.0,S1-S3_two_link_mean,0.3513,
CM01,崇明城桥,M,0.1111,0.0,0.6,0.0,S1-S3_two_link_mean,0.3,
CM01,崇明城桥,N,,,0.6111,,S2-S3_only,,0.6111
CM01,崇明城桥,P,0.1082,0.0,0.7273,0.0,S1-S3_two_link_mean,0.36365,
CM01,崇明城桥,T,,,0.8,,S2-S3_only,,0.8
CM01,崇明城桥,TS,0.1344,0.0,0.6562,0.0,S1-S3_two_link_mean,0.3281,
CM01,崇明城桥,Ø,0.0,0.0,0.619,0.0,S1-S3_two_link_mean,0.3095,
CS01,川沙浦东,K,0.6645,0.0,0.7222,0.0,S1-S3_two_link_mean,0.3611,
CS01,川沙浦东,M,0.1111,0.0,0.6,0.0,S1-S3_two_link_mean,0.3,
CS01,川沙浦东,N,,,0.5,,S2-S3_only,,0.5
CS01,川沙浦东,P,0.0526,0.0,0.7273,0.0,S1-S3_two_link_mean,0.36365,
CS01,川沙浦东,T,,,0.525,,S2-S3_only,,0.525
CS01,川沙浦东,TS,0.1344,0.0,0.75,0.0357,S1-S3_two_link_mean,0.375,
CS01,川沙浦东,Ø,0.0,0.0,0.6667,0.0,S1-S3_two_link_mean,0.33335,
CS02,常熟虞山镇,K,0.4762,0.0,0.0303,0.0,S1-S3_two_link_mean,0.01515,
CS02,常熟虞山镇,M,0.1111,0.5556,0.375,0.375,S1-S3_two_link_mean,0.4653,
CS02,常熟虞山镇,N,,,0.5556,,S2-S3_only,,0.5556
CS02,常熟虞山镇,P,0.0789,0.5,0.6364,0.5,S1-S3_two_link_mean,0.5682,
CS02,常熟虞山镇,T,,,0.625,,S2-S3_only,,0.625
CS02,常熟虞山镇,TS,0.2036,0.0625,0.692,0.0357,S1-S3_two_link_mean,0.37725,
CS02,常熟虞山镇,Ø,0.0,0.0,0.0,0.3542,S1-S3_two_link_mean,0.0,
CX01,慈溪逍林,K,0.2727,0.0,0.0455,0.0,S1-S3_two_link_mean,0.02275,
CX01,慈溪逍林,M,0.0,0.0,0.75,0.0,S1-S3_two_link_mean,0.375,
CX01,慈溪逍林,N,,,0.0,,S2-S3_only,,0.0
CX01,慈溪逍林,P,0.0526,0.0455,0.0,0.0,S1-S3_two_link_mean,0.02275,
CX01,慈溪逍林,T,,,0.0278,,S2-S3_only,,0.0278
CX01,慈溪逍林,TS,0.1779,0.25,0.2143,0.0,S1-S3_two_link_mean,0.23215,
CX01,慈溪逍林,Ø,0.1875,0.0476,0.0,0.0,S1-S3_two_link_mean,0.0238,
CX02,长兴,K,0.5455,0.0,0.3939,0.0,S1-S3_two_link_mean,0.19695,
CX02,长兴,M,0.3333,0.3333,0.375,0.3333,S1-S3_two_link_mean,0.35415,
CX02,长兴,N,,,0.3889,,S2-S3_only,,0.3889
CX02,长兴,P,0.1053,0.0,0.6364,0.0,S1-S3_two_link_mean,0.3182,
CX02,长兴,T,,,0.375,,S2-S3_only,,0.375
CX02,长兴,TS,0.0909,0.0,0.5,0.0,S1-S3_two_link_mean,0.25,
CX02,长兴,Ø,0.0,0.0,0.1387,0.0,S1-S3_two_link_mean,0.06935,
CZ01,常州,K,0.2143,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
CZ01,常州,M,0.1667,0.2,0.5,0.0,S1-S3_two_link_mean,0.35,
CZ01,常州,N,,,0.0,,S2-S3_only,,0.0
CZ01,常州,P,0.1082,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
CZ01,常州,T,,,0.0278,,S2-S3_only,,0.0278
CZ01,常州,TS,0.1344,0.0,0.1429,0.0,S1-S3_two_link_mean,0.07145,
CZ01,常州,Ø,0.2708,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
DB01,郎溪梅渚镇定埠,K,0.0952,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
DB01,郎溪梅渚镇定埠,M,0.0,0.0,0.75,0.0,S1-S3_two_link_mean,0.375,
DB01,郎溪梅渚镇定埠,N,,,0.0,,S2-S3_only,,0.0
DB01,郎溪梅渚镇定埠,P,0.2222,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
DB01,郎溪梅渚镇定埠,T,,,0.5,,S2-S3_only,,0.5
DB01,郎溪梅渚镇定埠,TS,0.0909,0.0,0.2143,0.0,S1-S3_two_link_mean,0.10715,
DB01,郎溪梅渚镇定埠,Ø,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
DQ01,德清乾元,K,0.7035,0.037,0.6667,0.0,S1-S3_two_link_mean,0.35185,
DQ01,德清乾元,M,0.0,0.1111,0.75,0.1111,S1-S3_two_link_mean,0.43055,
DQ01,德清乾元,N,,,0.5556,,S2-S3_only,,0.5556
DQ01,德清乾元,P,0.1082,0.0,0.7619,0.0,S1-S3_two_link_mean,0.38095,
DQ01,德清乾元,T,,,0.65,,S2-S3_only,,0.65
DQ01,德清乾元,TS,0.0435,0.0,0.6875,0.0,S1-S3_two_link_mean,0.34375,
DQ01,德清乾元,Ø,0.1111,0.0,0.7381,0.0,S1-S3_two_link_mean,0.36905,
DS01,岱山岱西镇,K,0.1883,0.0556,0.0,0.0,S1-S3_two_link_mean,0.0278,
DS01,岱山岱西镇,M,0.0556,0.0,0.75,0.0,S1-S3_two_link_mean,0.375,
DS01,岱山岱西镇,N,,,0.1176,,S2-S3_only,,0.1176
DS01,岱山岱西镇,P,0.1637,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
DS01,岱山岱西镇,T,,,0.05,,S2-S3_only,,0.05
DS01,岱山岱西镇,TS,0.1996,0.0,0.1429,0.0,S1-S3_two_link_mean,0.07145,
DS01,岱山岱西镇,Ø,0.0,0.0476,0.0476,0.0,S1-S3_two_link_mean,0.0476,
DY01,丹阳,K,0.1656,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
DY01,丹阳,M,0.5,0.0,0.6,0.0,S1-S3_two_link_mean,0.3,
DY01,丹阳,N,,,0.0588,,S2-S3_only,,0.0588
DY01,丹阳,P,0.4444,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
DY01,丹阳,T,,,0.0278,,S2-S3_only,,0.0278
DY01,丹阳,TS,0.3182,0.0,0.1429,0.0,S1-S3_two_link_mean,0.07145,
DY01,丹阳,Ø,0.0312,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
FC01,奉城,K,0.4675,0.0,0.5926,0.0,S1-S3_two_link_mean,0.2963,
FC01,奉城,M,0.1111,0.5556,0.625,0.5556,S1-S3_two_link_mean,0.5903,
FC01,奉城,N,,,0.3333,,S2-S3_only,,0.3333
FC01,奉城,P,0.0526,0.0,0.4545,0.0,S1-S3_two_link_mean,0.22725,
FC01,奉城,T,,,0.275,,S2-S3_only,,0.275
FC01,奉城,TS,0.2253,0.0,0.4688,0.0714,S1-S3_two_link_mean,0.2344,
