point_id,point_name,A_observable_n,A_count,A_strength,B_observable_n,B_count,B_strength,C_observable_n,C_count,C_strength,D_observable_n,D_count,D_strength,pattern_merge_count,pattern_non_a_merge_count,pattern_none_count,nt_merge_count,nt_split_count,all_pattern_none,subbranch,lat,lon,nbclust_cluster,nbclust_display_label,nbclust_method,nbclust_k,avg_S0_S1,avg_S1_S2,avg_S2_S3,kmeans_cluster,kmeans_cluster_label
AJ01,安吉安城,7,4,0.5714285714285714,5,2,0.4,5,1,0.2,5,0,0.0,5,3,0,1,1,False,太湖片-苕溪小片,30.71501207030173,119.69403152449726,3,C3 S2_S3_dominant,kmeans,3,0.3077999999999999,0.1928,0.3917,3,C3 S2_S3_dominant
BL01,北仑城关,7,1,0.14285714285714285,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,0,2,False,太湖片-甬江小片,29.89811926756077,121.8555161345704,1,C1 S2_S3_dominant,kmeans,3,0.03598,0.02146,0.1359571428571428,1,C1 S2_S3_dominant
BS01,宝山,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,31.40789362562556,121.4823088278808,3,C3 S2_S3_dominant,kmeans,3,0.18342,0.0,0.5871142857142857,3,C3 S2_S3_dominant
BZ01,堡镇,7,7,1.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0,2,0,False,太湖片-苏沪嘉小片,31.53717747015217,121.61845579374194,3,C3 S2_S3_dominant,kmeans,3,0.1617799999999999,0.0,0.4749285714285714,3,C3 S2_S3_dominant
CM01,崇明城关,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,31.62502137629809,121.39837364780428,3,C3 S2_S3_dominant,kmeans,3,0.17984,0.0,0.6737428571428571,3,C3 S2_S3_dominant
CS01,川沙浦东,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,31.47225912217096,121.36572899634233,3,C3 S2_S3_dominant,kmeans,3,0.19252,0.0,0.6416000000000001,3,C3 S2_S3_dominant
CS02,常熟虞山镇,7,5,0.7142857142857143,5,2,0.4,5,1,0.2,5,1,0.2,5,4,0,2,0,False,太湖片-苏沪嘉小片,31.591588596011817,120.71950098393457,3,C3 S2_S3_dominant,kmeans,3,0.17396,0.22362,0.4163285714285714,3,C3 S2_S3_dominant
CX01,慈溪逍林,7,2,0.2857142857142857,5,0,0.0,5,0,0.0,5,0,0.0,2,0,3,0,2,False,太湖片-临绍小片,30.176553474815535,121.32252733323982,1,C1 S2_S3_dominant,kmeans,3,0.1381399999999999,0.0686199999999999,0.1482285714285714,1,C1 S2_S3_dominant
CX02,长兴,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苕溪小片,31.015985667983664,119.92556298117788,3,C3 S2_S3_dominant,kmeans,3,0.215,0.06666,0.4011285714285714,3,C3 S2_S3_dominant
CZ01,常州,7,1,0.14285714285714285,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,0,2,False,太湖片-毗陵小片,31.817299970768328,119.98167946067193,1,C1 S2_S3_dominant,kmeans,3,0.1788799999999999,0.04,0.0958142857142857,1,C1 S2_S3_dominant
DB01,郎溪梅渚镇定埠,7,2,0.2857142857142857,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,1,1,False,太湖片-毗陵小片,31.26422864475738,119.21214886627472,1,C1 S2_S3_dominant,kmeans,3,0.08166,0.0,0.2091857142857142,1,C1 S2_S3_dominant
DQ01,德清乾元,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苕溪小片,30.41128187027115,120.3066753297041,3,C3 S2_S3_dominant,kmeans,3,0.19326,0.02962,0.6871142857142857,3,C3 S2_S3_dominant
DS01,岱山岱西镇,7,2,0.2857142857142857,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,1,1,False,太湖片-甬江小片,30.291651438527133,122.12280037007493,1,C1 S2_S3_dominant,kmeans,3,0.1214399999999999,0.02064,0.1583,1,C1 S2_S3_dominant
DY01,丹阳,7,2,0.2857142857142857,5,0,0.0,5,3,0.6,5,0,0.0,3,3,2,1,1,False,太湖片-毗陵小片,32.00504378566424,119.60890125492249,3,C3 S2_S3_dominant,kmeans,3,0.29188,0.0,0.1184999999999999,3,C3 S2_S3_dominant
FC01,奉城,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,30.9091313735184,121.6571711938398,3,C3 S2_S3_dominant,kmeans,3,0.1713,0.11112,0.4607714285714285,3,C3 S2_S3_dominant
FH01,奉化西坞,7,1,0.14285714285714285,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,0,2,False,太湖片-甬江小片,29.680714793011017,121.49111464156624,1,C1 S2_S3_dominant,kmeans,3,0.07926,0.07386,0.0339857142857142,1,C1 S2_S3_dominant
FJ01,枫泾镇,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,30.94686047887636,121.06526585497572,3,C3 S2_S3_dominant,kmeans,3,0.18242,0.0,0.4331142857142857,3,C3 S2_S3_dominant
FX01,奉贤,7,7,1.0,5,1,0.2,5,0,0.0,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,30.91897527897765,121.472539149005,3,C3 S2_S3_dominant,kmeans,3,0.1561,0.11112,0.5435,3,C3 S2_S3_dominant
FY01,富阳城关,7,6,0.8571428571428571,5,0,0.0,5,0,0.0,5,0,0.0,4,0,1,2,0,False,太湖片-临绍小片,30.016640485311385,119.98190231282108,3,C3 S2_S3_dominant,kmeans,3,0.12228,0.0418,0.5198428571428572,3,C3 S2_S3_dominant
FY02,富阳东梓关,7,7,1.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0,2,0,False,太湖片-临绍小片,29.888746645740536,119.82322508571217,3,C3 S2_S3_dominant,kmeans,3,0.08592,0.0125,0.5514285714285714,3,C3 S2_S3_dominant
GQ01,高桥,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,31.339124303388612,121.58040748222272,3,C3 S2_S3_dominant,kmeans,3,0.19624,0.0,0.4776571428571428,3,C3 S2_S3_dominant
HM01,海门镇沙地话,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,31.8856763941394,121.15836100693876,3,C3 S2_S3_dominant,kmeans,3,0.21838,0.0137,0.6639285714285714,3,C3 S2_S3_dominant
HM02,海门四甲,7,2,0.2857142857142857,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,1,1,False,太湖片-毗陵小片,32.01135207980153,121.27357135188068,1,C1 S2_S3_dominant,kmeans,3,0.12842,0.0,0.1349142857142857,1,C1 S2_S3_dominant
HN01,海宁城关,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,30.51747651962801,120.67311840279037,3,C3 S2_S3_dominant,kmeans,3,0.20998,0.0375,0.4550142857142857,3,C3 S2_S3_dominant
HY01,海盐县城,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,30.52484608182146,120.943411857842,3,C3 S2_S3_dominant,kmeans,3,0.17436,0.1512399999999999,0.5096428571428572,3,C3 S2_S3_dominant
HZ01,杭州城区,7,2,0.2857142857142857,5,0,0.0,5,0,0.0,5,0,0.0,2,0,3,0,2,False,太湖片-杭州小片,30.28706827929675,120.1526233988192,1,C1 S2_S3_dominant,kmeans,3,0.05862,0.0,0.2544142857142857,1,C1 S2_S3_dominant
HZ02,湖州市区,7,5,0.7142857142857143,5,1,0.2,5,1,0.2,5,0,0.0,4,2,1,2,0,False,太湖片-苕溪小片,30.902792630239233,120.085631081529,3,C3 S2_S3_dominant,kmeans,3,0.23702,0.1148199999999999,0.4469142857142857,3,C3 S2_S3_dominant
JD01,嘉定城关,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,31.375152300679105,121.2715824755144,3,C3 S2_S3_dominant,kmeans,3,0.2139199999999999,0.0,0.6689999999999999,3,C3 S2_S3_dominant
JJ01,靖江城区,7,3,0.42857142857142855,5,0,0.0,5,0,0.0,5,0,0.0,2,0,3,1,1,False,太湖片-毗陵小片,32.014549490723574,120.27535869012826,1,C1 S2_S3_dominant,kmeans,3,0.04126,0.0,0.1057142857142857,1,C1 S2_S3_dominant
JS01,嘉善魏塘镇,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,30.85581735072176,120.89532033139976,3,C3 S2_S3_dominant,kmeans,3,0.28738,0.0,0.6891571428571428,3,C3 S2_S3_dominant
JS02,金山,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,30.819522049912862,121.0509678474497,3,C3 S2_S3_dominant,kmeans,3,0.2181,0.11528,0.5311714285714285,3,C3 S2_S3_dominant
JT01,金坛,7,1,0.14285714285714285,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,0,2,False,太湖片-毗陵小片,31.722801327048952,119.59665998366492,1,C1 S2_S3_dominant,kmeans,3,0.14892,0.03598,0.1208142857142857,1,C1 S2_S3_dominant
JW01,江湾,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,31.305220787427928,121.47329399018194,3,C3 S2_S3_dominant,kmeans,3,0.16078,0.0,0.4829571428571428,3,C3 S2_S3_dominant
JX01,嘉兴城区,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,30.759566738914614,120.77338166132184,3,C3 S2_S3_dominant,kmeans,3,0.17092,0.0,0.4559428571428571,3,C3 S2_S3_dominant
JY01,江阴城区澄江镇,7,5,0.7142857142857143,5,0,0.0,5,0,0.0,5,0,0.0,3,0,2,2,0,False,太湖片-毗陵小片,31.91856501026851,120.28546180941228,1,C1 S2_S3_dominant,kmeans,3,0.08376,0.0073999999999999,0.4879571428571428,1,C1 S2_S3_dominant
KQ01,柯桥城关,7,1,0.14285714285714285,5,5,1.0,5,0,0.0,5,0,0.0,5,5,0,1,1,False,太湖片-临绍小片,29.748521349147794,120.55618144462922,2,C2 S1_S2_dominant,kmeans,3,0.12482,0.64494,0.1153857142857142,2,C2 S1_S2_dominant
KS01,昆山市区玉山镇,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,31.41100143999111,120.95099221326376,3,C3 S2_S3_dominant,kmeans,3,0.19586,0.12362,0.6648714285714286,3,C3 S2_S3_dominant
LA01,临安城区,7,2,0.2857142857142857,5,5,1.0,5,0,0.0,5,0,0.0,5,5,0,1,1,False,太湖片-临绍小片,30.23315912669765,119.72499020110224,2,C2 S1_S2_dominant,kmeans,3,0.17852,0.48292,0.1590285714285714,2,C2 S1_S2_dominant
LP01,临平五杭,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苕溪小片,30.494257613,120.253757428,3,C3 S2_S3_dominant,kmeans,3,0.2274999999999999,0.0,0.5834714285714285,3,C3 S2_S3_dominant
LT01,练塘,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,30.999904855821395,121.05239704753826,3,C3 S2_S3_dominant,kmeans,3,0.14404,0.0,0.4705142857142857,3,C3 S2_S3_dominant
LY01,溧阳,7,1,0.14285714285714285,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,0,2,False,太湖片-毗陵小片,31.434264738248665,119.49640303729689,1,C1 S2_S3_dominant,kmeans,3,0.03628,0.0,0.0285714285714285,1,C1 S2_S3_dominant
MH01,闵行,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,31.028221,121.447195,3,C3 S2_S3_dominant,kmeans,3,0.1431,0.12,0.5132714285714286,3,C3 S2_S3_dominant
