point_id,point_name,onset_class,slot_type,source_column,original_value,normalized_value,relation_type,relation_label,observable,is_equal,structure_type,structure_label,kmeans_cluster,kmeans_cluster_label
AJ01,安吉安城,N,special_merge_onset,N_Status,合流,merge,A_rel,S2=S3,True,1,mixed_transition,混合过渡型,3,C3 S2_S3_dominant
AJ01,安吉安城,N,special_merge_onset,N_Status,合流,merge,B_rel,S1=S2,False,,mixed_transition,混合过渡型,3,C3 S2_S3_dominant
AJ01,安吉安城,N,special_merge_onset,N_Status,合流,merge,C_rel,S0=S1,False,,mixed_transition,混合过渡型,3,C3 S2_S3_dominant
AJ01,安吉安城,N,special_merge_onset,N_Status,合流,merge,D_rel,S1=S3,False,,mixed_transition,混合过渡型,3,C3 S2_S3_dominant
AJ01,安吉安城,T,special_merge_onset,T_Status,分立,split,A_rel,S2=S3,True,0,mixed_transition,混合过渡型,3,C3 S2_S3_dominant
AJ01,安吉安城,T,special_merge_onset,T_Status,分立,split,B_rel,S1=S2,False,,mixed_transition,混合过渡型,3,C3 S2_S3_dominant
AJ01,安吉安城,T,special_merge_onset,T_Status,分立,split,C_rel,S0=S1,False,,mixed_transition,混合过渡型,3,C3 S2_S3_dominant
AJ01,安吉安城,T,special_merge_onset,T_Status,分立,split,D_rel,S1=S3,False,,mixed_transition,混合过渡型,3,C3 S2_S3_dominant
AJ01,安吉安城,K,value_pattern_onset,K_L3,S0=S1,pattern_C,A_rel,S2=S3,True,0,mixed_transition,混合过渡型,3,C3 S2_S3_dominant
AJ01,安吉安城,K,value_pattern_onset,K_L3,S0=S1,pattern_C,B_rel,S1=S2,True,0,mixed_transition,混合过渡型,3,C3 S2_S3_dominant
AJ01,安吉安城,K,value_pattern_onset,K_L3,S0=S1,pattern_C,C_rel,S0=S1,True,1,mixed_transition,混合过渡型,3,C3 S2_S3_dominant
AJ01,安吉安城,K,value_pattern_onset,K_L3,S0=S1,pattern_C,D_rel,S1=S3,True,0,mixed_transition,混合过渡型,3,C3 S2_S3_dominant
