profile_id,representative_id,representative_name,point_count,footnote_marker,same_pattern_points,all_points,all_point_ids,K,M,P,TS,Ø,merged_onset_count,fully_distinct_onset_count,has_leapfrog
P01,BS01,宝山,16,¹,崇明城桥、川沙浦东、德清乾元、枫泾镇、海门镇沙地话、海宁硖石、嘉定城厢、嘉善魏塘镇、江湾、嘉兴城区、临平五杭、练塘、上海市区、三林、周浦,宝山、崇明城桥、川沙浦东、德清乾元、枫泾镇、海门镇沙地话、海宁硖石、嘉定城厢、嘉善魏塘镇、江湾、嘉兴城区、临平五杭、练塘、上海市区、三林、周浦,BS01、CM01、CS01、DQ01、FJ01、HM01、HN01、JD01、JS01、JW01、JX01、LP01、LT01、SH01、SL01、ZP01,S0=S1，S2=S3,S2=S3,S2=S3,S2=S3,S2=S3,5,0,False
P02,CX02,长兴,16,²,奉城、海盐县城、金山朱泾、昆山市区玉山镇、闵行、平湖城关、青浦商榻、松江镇、苏州城区、太仓沙溪、太仓城厢、吴江市松陵、吴江芦墟、吴县光福镇、莘庄,长兴、奉城、海盐县城、金山朱泾、昆山市区玉山镇、闵行、平湖城关、青浦商榻、松江镇、苏州城区、太仓沙溪、太仓城厢、吴江市松陵、吴江芦墟、吴县光福镇、莘庄,CX02、FC01、HY01、JS02、KS01、MH01、PH01、QP01、SJ01、SZ01、TC01、TC02、WJ01、WJ02、WX02、XZ01,S0=S1，S2=S3,S1=S2=S3,S2=S3,S2=S3,S2=S3,5,0,False
P03,BZ01,堡镇,7,³,富阳东梓关、南汇惠南镇、桐庐镇、新登下港、於潜、真如,堡镇、富阳东梓关、南汇惠南镇、桐庐镇、新登下港、於潜、真如,BZ01、FY02、NH01、TL01、XD01、YQ01、ZR01,S2=S3,S2=S3,S2=S3,S2=S3,S2=S3,5,0,False
P04,LA01,临安城区,5,⁴,彭埠镇、萧山城厢、象山丹城、萧山南阳镇,临安城区、彭埠镇、萧山城厢、象山丹城、萧山南阳镇,LA01、PB01、XH02、XS01、XS03,S1=S2,S1=S2=S3,S1=S2,S1=S2,S1=S2,5,0,False
P05,KQ01,柯桥,4,⁵,绍兴城区东头埭、上虞百官镇、嵊州崇仁镇,柯桥、绍兴城区东头埭、上虞百官镇、嵊州崇仁镇,KQ01、SX01、SY02、SZ03,S1=S2,S1=S2,S1=S2,S1=S2,S1=S2,5,0,False
P06,AJ01,安吉安城,1,,,安吉安城,AJ01,S0=S1,S1=S2=S3,S2=S3,S1=S2,S2=S3,5,0,False
P07,FX01,奉贤,1,,,奉贤,FX01,S2=S3,S1=S2=S3,S2=S3,S2=S3,S2=S3,5,0,False
P08,GQ01,高桥,1,,,高桥,GQ01,S2=S3,S2=S3,S0=S1，S2=S3,S2=S3,S2=S3,5,0,False
P09,TX01,桐乡城区,1,,,桐乡城区,TX01,S0=S1，S2=S3,S0=S1，S2=S3,S2=S3,S2=S3,S2=S3,5,0,False
P10,FY01,富阳城关,1,,,富阳城关,FY01,全对立,S2=S3,S2=S3,S2=S3,S2=S3,4,1,False
P11,HZ02,湖州市区,1,,,湖州市区,HZ02,S0=S1，S2=S3,S1=S2,S2=S3,S2=S3,全对立,4,1,False
P12,DY01,丹阳,1,,,丹阳,DY01,全对立,S0=S1，S2=S3,S0=S1,S0=S1,全对立,3,2,False
P13,JY01,江阴城区澄江镇,1,,,江阴城区澄江镇,JY01,全对立,S2=S3,S2=S3,S2=S3,全对立,3,2,False
P14,CX01,慈溪逍林,2,⁶,杭州城区,慈溪逍林、杭州城区,CX01、HZ01,全对立,S2=S3,全对立,S2=S3,全对立,2,3,False
P15,JJ01,靖江城区,1,,,靖江城区,JJ01,全对立,S2=S3,S2=S3,全对立,全对立,2,3,False
P16,QD01,启东吕四,1,,,启东吕四,QD01,全对立,S1=S2=S3,S1=S2,全对立,全对立,2,3,False
P17,SZ02,嵊州长乐,1,,,嵊州长乐,SZ02,全对立,S2=S3,全对立,S1=S2,全对立,2,3,False
P18,BL01,北仑,15,⁷,常州、郎溪梅渚镇定埠、岱山岱西镇、奉化西坞、海门四甲、金坛、溧阳、宁波市区、新昌城关、鄞县中区、余姚城关、诸暨城关、诸暨璜山镇、舟山定海,北仑、常州、郎溪梅渚镇定埠、岱山岱西镇、奉化西坞、海门四甲、金坛、溧阳、宁波市区、新昌城关、鄞县中区、余姚城关、诸暨城关、诸暨璜山镇、舟山定海,BL01、CZ01、DB01、DS01、FH01、HM02、JT01、LY01、NB01、XC01、YX02、YY01、ZJ01、ZJ02、ZS01,全对立,S2=S3,全对立,全对立,全对立,1,4,False
P19,NT01,南通金沙镇,3,⁸,宜兴、诸暨直埠镇,南通金沙镇、宜兴、诸暨直埠镇,NT01、YX01、ZJ03,全对立,全对立,全对立,全对立,全对立,0,5,False
P20,CS02,常熟虞山镇,1,,,常熟虞山镇,CS02,S0=S1,S1=S2=S3,S1=S2=S3,S2=S3,S1=S3 [越级],5,0,True
P21,SJ02,泗泾,1,,,泗泾,SJ02,S0=S1，S2=S3,S1=S3 [越级],S2=S3,S2=S3,S2=S3,5,0,True
P22,WX01,无锡城区,1,,,无锡城区,WX01,S0=S1,S2=S3,S2=S3,S1=S2=S3,S1=S3 [越级],5,0,True
