candidate_nucleus,observed_token_count,predicted_token_count,point_count_observed,observed_share,predicted_share
ɔ,5332,4786.408823837481,63,0.8248762376237624,0.7404716621035706
ɒ,516,1058.8412421879507,7,0.07982673267326733,0.16380588523947257
æ,188,2.772596313210591,2,0.029084158415841586,0.0004289288850882721
ʌ,183,69.73331632926684,2,0.028310643564356437,0.010787951164799945
ɐ,89,24.442647529920276,1,0.013768564356435644,0.003781350174802023
ɜ,85,22.46921844886448,1,0.013149752475247524,0.0034760548342921537
ə,45,21.86373638926898,2,0.006961633663366337,0.003382384961211166
a,17,61.63054317173332,6,0.002629950495049505,0.009534428089686468
ɯ,5,18.538053553151528,5,0.0007735148514851486,0.002867891948197947
u,2,287.06767216839063,2,0.0003094059405940594,0.044410221560704
ɤ,2,110.23215007076173,2,0.0003094059405940594,0.017053241038174773
