point_id,point_name,subbranch,hao_value_counts,hao_status,hao_has_monophthong,hao_unmonophthongized,hao_dominant_value,core_nuclei,back_nuclei,core_nucleus_size,back_nucleus_size,subbranch_is_piling,subbranch_not_piling,core_has_low_back_ɑ_or_ɒ,core_lacks_low_back_ɑ_or_ɒ,core_has_open_mid_back_ɔ_or_ɒ,core_lacks_open_mid_back_ɔ_or_ɒ,core_has_ɑ,core_has_ɒ,core_has_ɔ,core_has_o_and_u,core_nucleus_size_ge_6,core_nucleus_size_le_5,back_nucleus_size_ge_4,back_nucleus_size_le_3,piling_and_lacks_low_back,piling_and_has_o_u_and_lacks_low_back
AJ01,安吉安城,太湖片-苕溪小片,ɔ(98),monophthong_only,True,False,ɔ,"a, e, u, ɔ, ɷ","u, ɔ, ɷ",5,3,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,False
BL01,北仑,太湖片-甬江小片,"ɔ(88), a(1)",monophthong_only,True,False,ɔ,"a, e, o, u, ɛ","o, u",5,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
BS01,宝山,太湖片-苏沪嘉小片,ɔ(77),monophthong_only,True,False,ɔ,"o, u, ᴀ, ᴇ","o, u",4,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
BZ01,堡镇,太湖片-苏沪嘉小片,ɔ(70),monophthong_only,True,False,ɔ,"i, o, u, ɑ, ɔ, ɛ","o, u, ɑ, ɔ",6,4,False,True,True,False,True,False,True,False,True,True,True,False,True,False,False,False
CM01,崇明城桥,太湖片-苏沪嘉小片,"ɔ(97), u(1)",monophthong_only,True,False,ɔ,"i, o, u, æ, ɑ, ɔ, ɛ","o, u, ɑ, ɔ",7,4,False,True,True,False,True,False,True,False,True,True,True,False,True,False,False,False
CS01,川沙浦东,太湖片-苏沪嘉小片,ɔ(87),monophthong_only,True,False,ɔ,"o, u, ɔ, ɛ, ɤ, ᴀ","o, u, ɔ, ɤ",6,4,False,True,False,True,True,False,False,False,True,True,True,False,True,False,False,False
CS02,常熟虞山镇,太湖片-苏沪嘉小片,ɔ(83),monophthong_only,True,False,ɔ,"i, u, ɛ, ɯ, ᴀ","u, ɯ",5,2,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False
CX01,慈溪逍林,太湖片-临绍小片,ɔ(88),monophthong_only,True,False,ɔ,"a, e, o, u, ø","o, u",5,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
CX02,长兴,太湖片-苕溪小片,ɔ(81),monophthong_only,True,False,ɔ,"a, o, u","o, u",3,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
CZ01,常州,太湖片-毗陵小片,aɤ(98),diphthong_or_glide_only,False,True,aɤ,"a, o, u","o, u",3,2,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,ɔ(85),monophthong_only,True,False,ɔ,"a, u, ɑ, ɷ, ᴇ","u, ɑ, ɷ",5,3,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False
DQ01,德清乾元,太湖片-苕溪小片,ɔ(92),monophthong_only,True,False,ɔ,"a, u, ɔ, ᴇ","u, ɔ",4,2,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,False
