hao_value,value_class,nucleus,point_count,token_count,example_points
au,diphthong_or_glide,,2,175,WJ02:吴江芦墟 | YX01:宜兴
ao,diphthong_or_glide,,1,97,JT01:金坛
aɤ,diphthong_or_glide,,1,98,CZ01:常州
io,diphthong_or_glide,,1,1,XH02:萧山城厢
ɑɒ,diphthong_or_glide,,1,89,SZ03:嵊州崇仁镇
ɑɤ,diphthong_or_glide,,1,46,LY01:溧阳
əw,diphthong_or_glide,,1,1,PH01:平湖城关
ɔ,monophthong,ɔ,63,5332,AJ01:安吉安城 | BL01:北仑城关 | BS01:宝山 | BZ01:堡镇 | CM01:崇明城关 | CS01:川沙浦东 | CS02:常熟虞山镇 | CX01:慈溪逍林 | CX02:长兴 | DB01:郎溪梅渚镇定埠 | DQ01:德清乾元 | DS01:岱山岱西镇
ɒ,monophthong,ɒ,7,516,JJ01:靖江城区 | JY01:江阴城区澄江镇 | KQ01:柯桥城关 | QP01:青浦商榻 | SX01:绍兴城区东头埭 | SZ02:嵊州长乐 | XH02:萧山城厢
a,monophthong,a,6,17,BL01:北仑城关 | FY01:富阳城关 | KQ01:柯桥城关 | PH01:平湖城关 | SX01:绍兴城区东头埭 | YY01:余姚城关
ɯ,monophthong,ɯ,5,5,FC01:奉城 | FX01:奉贤 | SJ01:松江镇 | SJ02:泗泾 | XC01:新昌城关
u,monophthong,u,2,2,CM01:崇明城关 | XD01:新登下港
æ,monophthong,æ,2,188,SZ01:苏州城区 | WX02:吴县光福镇
ə,monophthong,ə,2,45,FJ01:枫泾镇 | NT01:南通金沙镇
ɤ,monophthong,ɤ,2,2,JS02:金山 | SX01:绍兴城区东头埭
ʌ,monophthong,ʌ,2,183,WJ01:吴江市松陵 | WX01:无锡城区
ɐ,monophthong,ɐ,1,89,QP01:青浦商榻
ɜ,monophthong,ɜ,1,85,FH01:奉化西坞
