k,silhouette,cluster,point_count,type_label,main_pattern,medoid_id,medoid_name,members
2,0.4018,1,60,S2–S3 U并位型,S0 a → S1 o → S2–S3 u,CX02,长兴,AJ01、BS01、BZ01、CM01、CS01、CS02、CX02、DB01、DQ01、FC01、FJ01、FX01、FY01、FY02、GQ01、HM01、HM02、HN01、HY01、HZ01、HZ02、JD01、JS01、JS02、JW01、JX01、KQ01、LA01、LP01、LT01、MH01、NH01、PB01、PH01、QD01、QP01、SH01、SJ01、SJ02、SL01、SX01、SY02、SZ02、SZ03、TC01、TC02、TL01、TX01、WJ01、WJ02、XC01、XD01、XH02、XS01、XS03、XZ01、YQ01、YX01、ZP01、ZR01
2,0.4018,2,22,S2 前增生复元音型,S0 a → S1 o → S2 əu → S3 u,FH01,奉化西坞,BL01、CX01、CZ01、DS01、DY01、FH01、JJ01、JT01、JY01、KS01、LY01、NB01、NT01、SZ01、WX01、WX02、YX02、YY01、ZJ01、ZJ02、ZJ03、ZS01
3,0.4835,1,18,S1–S2 O并位型,S0 a → S1–S2 o → S3 u,KQ01,柯桥,DB01、DY01、FY01、HM02、HZ01、KQ01、LA01、PB01、QD01、SX01、SY02、SZ02、SZ03、XC01、XH02、XS01、XS03、YX01
3,0.4835,2,21,S2 前增生复元音型,S0 a → S1 o → S2 əu → S3 u,FH01,奉化西坞,BL01、CX01、CZ01、DS01、FH01、JJ01、JT01、JY01、KS01、LY01、NB01、NT01、SZ01、WX01、WX02、YX02、YY01、ZJ01、ZJ02、ZJ03、ZS01
3,0.4835,3,43,S2–S3 U并位型,S0 ᴀ → S1 o → S2–S3 u,BS01,宝山,AJ01、BS01、BZ01、CM01、CS01、CS02、CX02、DQ01、FC01、FJ01、FX01、FY02、GQ01、HM01、HN01、HY01、HZ02、JD01、JS01、JS02、JW01、JX01、LP01、LT01、MH01、NH01、PH01、QP01、SH01、SJ01、SJ02、SL01、TC01、TC02、TL01、TX01、WJ01、WJ02、XD01、XZ01、YQ01、ZP01、ZR01
4,0.4747,1,15,S1–S2 O并位型,S0 a → S1–S2 o → S3 u,KQ01,柯桥,FY01、HM02、KQ01、LA01、PB01、QD01、SX01、SY02、SZ02、SZ03、XC01、XH02、XS01、XS03、YX01
4,0.4747,2,21,S2 前增生复元音型,S0 a → S1 o → S2 əu → S3 u,FH01,奉化西坞,BL01、CX01、CZ01、DS01、FH01、JJ01、JT01、JY01、KS01、LY01、NB01、NT01、SZ01、WX01、WX02、YX02、YY01、ZJ01、ZJ02、ZJ03、ZS01
4,0.4747,3,3,其他链形,S0 ɛ → S1 a → S2 o → S3 u,HZ01,杭州城区,DB01、DY01、HZ01
4,0.4747,4,43,S2–S3 U并位型,S0 ᴀ → S1 o → S2–S3 u,BS01,宝山,AJ01、BS01、BZ01、CM01、CS01、CS02、CX02、DQ01、FC01、FJ01、FX01、FY02、GQ01、HM01、HN01、HY01、HZ02、JD01、JS01、JS02、JW01、JX01、LP01、LT01、MH01、NH01、PH01、QP01、SH01、SJ01、SJ02、SL01、TC01、TC02、TL01、TX01、WJ01、WJ02、XD01、XZ01、YQ01、ZP01、ZR01
5,0.4076,1,13,S1–S2 O并位型,S0 a → S1–S2 o → S3 u,KQ01,柯桥,HM02、KQ01、LA01、PB01、QD01、SX01、SY02、SZ02、SZ03、XC01、XH02、XS01、XS03
5,0.4076,2,20,S2–S3 U并位型,S0 a → S1 o → S2–S3 u,CX02,长兴,AJ01、CX02、DQ01、FY01、FY02、HN01、HZ02、JS01、LP01、LT01、MH01、NH01、PH01、TC01、TC02、TL01、TX01、XD01、YQ01、YX01
5,0.4076,3,21,S2 前增生复元音型,S0 a → S1 o → S2 əu → S3 u,FH01,奉化西坞,BL01、CX01、CZ01、DS01、FH01、JJ01、JT01、JY01、KS01、LY01、NB01、NT01、SZ01、WX01、WX02、YX02、YY01、ZJ01、ZJ02、ZJ03、ZS01
5,0.4076,4,3,其他链形,S0 ɛ → S1 a → S2 o → S3 u,HZ01,杭州城区,DB01、DY01、HZ01
5,0.4076,5,25,S2–S3 U并位型,S0 ᴀ → S1 o → S2–S3 u,BS01,宝山,BS01、BZ01、CM01、CS01、CS02、FC01、FJ01、FX01、GQ01、HM01、HY01、JD01、JS02、JW01、JX01、QP01、SH01、SJ01、SJ02、SL01、WJ01、WJ02、XZ01、ZP01、ZR01
6,0.4526,1,13,S1–S2 O并位型,S0 a → S1–S2 o → S3 u,KQ01,柯桥,HM02、KQ01、LA01、PB01、QD01、SX01、SY02、SZ02、SZ03、XC01、XH02、XS01、XS03
6,0.4526,2,20,S2–S3 U并位型,S0 a → S1 o → S2–S3 u,CX02,长兴,AJ01、CX02、DQ01、FY01、FY02、HN01、HZ02、JS01、LP01、LT01、MH01、NH01、PH01、TC01、TC02、TL01、TX01、XD01、YQ01、YX01
6,0.4526,3,17,S2 前增生复元音型,S0 a → S1 o → S2 əu → S3 u,FH01,奉化西坞,BL01、CX01、CZ01、DS01、FH01、JJ01、JT01、JY01、LY01、NB01、NT01、YX02、YY01、ZJ01、ZJ02、ZJ03、ZS01
6,0.4526,4,4,S2–S3 U并位型,S0 a → S1 o → S2–S3 əu,KS01,昆山市区玉山镇,KS01、SZ01、WX01、WX02
6,0.4526,5,3,其他链形,S0 ɛ → S1 a → S2 o → S3 u,HZ01,杭州城区,DB01、DY01、HZ01
6,0.4526,6,25,S2–S3 U并位型,S0 ᴀ → S1 o → S2–S3 u,BS01,宝山,BS01、BZ01、CM01、CS01、CS02、FC01、FJ01、FX01、GQ01、HM01、HY01、JD01、JS02、JW01、JX01、QP01、SH01、SJ01、SJ02、SL01、WJ01、WJ02、XZ01、ZP01、ZR01
7,0.4994,1,13,S1–S2 O并位型,S0 a → S1–S2 o → S3 u,KQ01,柯桥,HM02、KQ01、LA01、PB01、QD01、SX01、SY02、SZ02、SZ03、XC01、XH02、XS01、XS03
7,0.4994,2,19,S2–S3 U并位型,S0 a → S1 o → S2–S3 u,CX02,长兴,AJ01、CX02、FY01、FY02、HN01、HZ02、JS01、LP01、LT01、MH01、NH01、PH01、TC01、TC02、TL01、TX01、XD01、YQ01、YX01
7,0.4994,3,17,S2 前增生复元音型,S0 a → S1 o → S2 əu → S3 u,FH01,奉化西坞,BL01、CX01、CZ01、DS01、FH01、JJ01、JT01、JY01、LY01、NB01、NT01、YX02、YY01、ZJ01、ZJ02、ZJ03、ZS01
7,0.4994,4,4,S2–S3 U并位型,S0 a → S1 o → S2–S3 əu,KS01,昆山市区玉山镇,KS01、SZ01、WX01、WX02
7,0.4994,5,22,S2–S3 U并位型,S0 ɑ → S1 o → S2–S3 u,BZ01,堡镇,BS01、BZ01、CM01、CS02、FC01、FJ01、FX01、GQ01、HM01、HY01、JD01、JS02、JW01、JX01、QP01、SH01、SJ01、SJ02、WJ01、WJ02、XZ01、ZR01
7,0.4994,6,3,其他链形,S0 ɛ → S1 a → S2 o → S3 u,HZ01,杭州城区,DB01、DY01、HZ01
7,0.4994,7,4,S2–S3 U并位型,S0 ᴀ → S1 ɔ → S2–S3 u,CS01,川沙浦东,CS01、DQ01、SL01、ZP01
8,0.5135,1,13,S1–S2 O并位型,S0 a → S1–S2 o → S3 u,KQ01,柯桥,HM02、KQ01、LA01、PB01、QD01、SX01、SY02、SZ02、SZ03、XC01、XH02、XS01、XS03
8,0.5135,2,16,S2–S3 U并位型,S0 a → S1 o → S2–S3 u,CX02,长兴,AJ01、CX02、FY01、HN01、HZ02、JS01、LP01、LT01、MH01、NH01、PH01、TC01、TC02、TX01、XD01、YX01
8,0.5135,3,17,S2 前增生复元音型,S0 a → S1 o → S2 əu → S3 u,FH01,奉化西坞,BL01、CX01、CZ01、DS01、FH01、JJ01、JT01、JY01、LY01、NB01、NT01、YX02、YY01、ZJ01、ZJ02、ZJ03、ZS01
8,0.5135,4,4,S2–S3 U并位型,S0 a → S1 o → S2–S3 əu,KS01,昆山市区玉山镇,KS01、SZ01、WX01、WX02
8,0.5135,5,4,S2–S3 U并位型,S0 a → S1 uo → S2–S3 u,FY02,富阳东梓关,CS02、FY02、TL01、YQ01
8,0.5135,6,21,S2–S3 U并位型,S0 ɑ → S1 o → S2–S3 u,BZ01,堡镇,BS01、BZ01、CM01、FC01、FJ01、FX01、GQ01、HM01、HY01、JD01、JS02、JW01、JX01、QP01、SH01、SJ01、SJ02、WJ01、WJ02、XZ01、ZR01
8,0.5135,7,3,其他链形,S0 ɛ → S1 a → S2 o → S3 u,HZ01,杭州城区,DB01、DY01、HZ01
8,0.5135,8,4,S2–S3 U并位型,S0 ᴀ → S1 ɔ → S2–S3 u,CS01,川沙浦东,CS01、DQ01、SL01、ZP01
