point_id,point_name,representative_chain,default_cluster_count,default_cluster,S0_representative_value,S0_all_onset_values,S0_is_diphthong,S0_midpoint_x,S0_midpoint_y,S0_dispersion,S1_representative_value,S1_all_onset_values,S1_is_diphthong,S1_midpoint_x,S1_midpoint_y,S1_dispersion,S2_representative_value,S2_all_onset_values,S2_is_diphthong,S2_midpoint_x,S2_midpoint_y,S2_dispersion,S3_representative_value,S3_all_onset_values,S3_is_diphthong,S3_midpoint_x,S3_midpoint_y,S3_dispersion,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8
AJ01,安吉安城,a → ɷ → u → u,3,3,a,a(5),False,1.05,3.0,0.0,ɷ,ɷ(3)、a(1)、u(1),False,3.0,0.5,0.2181,u,u(3)、ɷ(2),False,3.0,0.0,0.0667,u,u(5),False,3.0,0.0,0.0,1,3,4,2,2,2,2
BL01,北仑,a → o → au → u,3,2,a,a(5),False,1.05,3.0,0.0,o,o(4)、uo(1),False,3.0,1.0,0.0573,au,au(5),True,2.025,1.5,0.0,u,u(4)、au(1),False,3.0,0.0,0.1326,2,2,2,3,3,3,3
BS01,宝山,ᴀ → o → u → u,3,3,ᴀ,ᴀ(5),False,2.03,3.0,0.0,o,o(3)、ᴀ(1)、ia(1),False,3.0,1.0,0.302,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,5,6,5,6
BZ01,堡镇,ɑ → o → u → u,3,3,ɑ,ɑ(4)、iɑ(1),False,3.0,3.0,0.1299,o,o(4)、ɑ(1),False,3.0,1.0,0.1453,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,5,6,5,6
CM01,崇明城桥,ɑ → o → u → u,3,3,ɑ,ɑ(5),False,3.0,3.0,0.0,o,o(4)、ɑ(1),False,3.0,1.0,0.1453,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,5,6,5,6
CS01,川沙浦东,ᴀ → ɔ → u → u,3,3,ᴀ,ᴀ(5),False,2.03,3.0,0.0,ɔ,o(2)、ᴀ(1)、iɔ(1)、ɔ(1),False,3.0,2.0,0.321,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,5,6,7,8
CS02,常熟虞山镇,ᴀ → u → ɯ → u,3,3,ᴀ,ᴀ(5),False,2.03,3.0,0.0,u,u(4)、ᴀ(1),False,3.0,0.0,0.2133,ɯ,ɯ(3)、u(2),False,3.0,0.0,0.024,u,u(4)、ɯ(1),False,3.0,0.0,0.012,1,3,4,5,6,5,5
CX01,慈溪逍林,a → o → ou → u,3,2,a,a(5),False,1.05,3.0,0.0,o,o(5),False,3.0,1.0,0.0,ou,ou(5),True,3.0,0.5,0.0,u,u(3)、ou(2),False,3.0,0.0,0.1147,2,2,2,3,3,3,3
CX02,长兴,a → o → u → u,3,3,a,a(5),False,1.05,3.0,0.0,o,o(4)、a(1),False,3.0,1.0,0.1529,u,əu(2)、u(2)、o(1),False,3.0,0.0,0.2312,u,əu(2)、u(2)、o(1),False,3.0,0.0,0.2312,1,3,4,2,2,2,2
CZ01,常州,a → o → ɤɯ → u,3,2,a,a(5),False,1.05,3.0,0.0,o,o(3)、ia(2),False,3.0,1.0,0.3095,ɤɯ,ɤɯ(5),True,3.0,0.5,0.0,u,u(3)、ɤɯ(1)、ɥ(1),False,3.0,0.0,0.3193,2,2,2,3,3,3,3
DB01,郎溪梅渚镇定埠,ᴇ → ɑ → ɷ → u,3,1,ᴇ,ᴇ(5),False,0.53,1.55,0.0,ɑ,ɑ(5),False,3.0,3.0,0.0,ɷ,ɷ(5),False,3.0,0.5,0.0,u,u(3)、ɷ(1)、ʮ(1),False,3.0,0.0,0.2833,1,1,3,4,5,6,7
DQ01,德清乾元,a → ɔ → u → u,3,3,a,a(5),False,1.05,3.0,0.0,ɔ,ɔ(4)、a(1),False,3.0,2.0,0.0927,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,2,2,7,8
