point_id,point_name,cluster_k3,representative_chain,representative_chain_collapsed,ordered_diphthong_pattern,subbranch,lat,lon,cluster_label
DB01,郎溪梅渚镇定埠,1,ᴇ → ɑ → ɷ → u,S0 ᴇ → S1 ɑ → S2 ɷ → S3 u,无,太湖片-毗陵小片,31.257186,119.219372,S1–S2 O并位型
DY01,丹阳,1,ɑ → ɑ → ə → u,S0–S1 ɑ → S2 ə → S3 u,无,太湖片-毗陵小片,32.00504378566424,119.60890125492249,S1–S2 O并位型
FY01,富阳城关,1,a → o → ʊ → u,S0 a → S1 o → S2 ʊ → S3 u,无,太湖片-临绍小片,30.016640485311385,119.98190231282108,S1–S2 O并位型
HM02,海门四甲,1,ɑ → yo → ɤ → ɯ,S0 ɑ → S1 yo → S2 ɤ → S3 ɯ,S1 yo,太湖片-毗陵小片,32.01135207980153,121.27357135188068,S1–S2 O并位型
HZ01,杭州城区,1,ɛ → a → o → u,S0 ɛ → S1 a → S2 o → S3 u,无,太湖片-杭州小片,30.28706827929675,120.1526233988192,S1–S2 O并位型
KQ01,柯桥,1,a → o → o → u,S0 a → S1–S2 o → S3 u,无,太湖片-临绍小片,30.0814,120.4941,S1–S2 O并位型
LA01,临安城区,1,a → o → o → u,S0 a → S1–S2 o → S3 u,无,太湖片-临绍小片,30.23315912669765,119.72499020110224,S1–S2 O并位型
PB01,彭埠镇,1,a → o → o → u,S0 a → S1–S2 o → S3 u,无,太湖片-杭州小片,30.289632692039433,120.22871521662924,S1–S2 O并位型
QD01,启东吕四,1,a → o → ɤ → u,S0 a → S1 o → S2 ɤ → S3 u,无,太湖片-毗陵小片,32.07521449652023,121.6031682403422,S1–S2 O并位型
SX01,绍兴城区东头埭,1,a → o → o → u,S0 a → S1–S2 o → S3 u,无,太湖片-临绍小片,29.993518344339964,120.58871374901304,S1–S2 O并位型
SY02,上虞百官镇,1,ɐ → o → o → u,S0 ɐ → S1–S2 o → S3 u,无,太湖片-临绍小片,30.03284284378913,120.86882647540976,S1–S2 O并位型
SZ02,嵊州长乐,1,a → ɔ → o → u,S0 a → S1 ɔ → S2 o → S3 u,无,太湖片-临绍小片,29.462161931063488,120.6134354682932,S1–S2 O并位型
SZ03,嵊州崇仁镇,1,a → ɤ → ɤ → u,S0 a → S1–S2 ɤ → S3 u,无,太湖片-临绍小片,29.597058890479932,120.71305579108136,S1–S2 O并位型
XC01,新昌城关,1,a → o̞ → o → u,S0 a → S1 o̞ → S2 o → S3 u,无,太湖片-临绍小片,29.51218962718775,120.90152839470582,S1–S2 O并位型
XH02,萧山城厢,1,a → o → o → u,S0 a → S1–S2 o → S3 u,无,太湖片-临绍小片,30.184673237617087,120.26218610190767,S1–S2 O并位型
XS01,象山丹城,1,a → o → o → u,S0 a → S1–S2 o → S3 u,无,太湖片-甬江小片,29.47877399078279,121.8761040477852,S1–S2 O并位型
XS03,萧山南阳镇,1,a → o → o → u,S0 a → S1–S2 o → S3 u,无,太湖片-临绍小片,30.264074721662567,120.44397314596198,S1–S2 O并位型
YX01,宜兴,1,a → o → ɷ → u,S0 a → S1 o → S2 ɷ → S3 u,无,太湖片-毗陵小片,31.34176176690364,119.82862754717812,S1–S2 O并位型
BL01,北仑,2,a → o → au → u,S0 a → S1 o → S2 au → S3 u,S2 au,太湖片-甬江小片,29.89811926756077,121.8555161345704,S2 前增生复元音型
CX01,慈溪逍林,2,a → o → ou → u,S0 a → S1 o → S2 ou → S3 u,S2 ou,太湖片-临绍小片,30.176553474815535,121.32252733323982,S2 前增生复元音型
CZ01,常州,2,a → o → ɤɯ → u,S0 a → S1 o → S2 ɤɯ → S3 u,S2 ɤɯ,太湖片-毗陵小片,31.817299970768328,119.98167946067193,S2 前增生复元音型
DS01,岱山岱西镇,2,a → o → ɐu → u,S0 a → S1 o → S2 ɐu → S3 u,S2 ɐu,太湖片-甬江小片,30.291651438527133,122.12280037007493,S2 前增生复元音型
FH01,奉化西坞,2,a → o → əu → u,S0 a → S1 o → S2 əu → S3 u,S2 əu,太湖片-甬江小片,29.680714793011017,121.49111464156624,S2 前增生复元音型
JJ01,靖江城区,2,æ → o → ʌɤ → u,S0 æ → S1 o → S2 ʌɤ → S3 u,S2 ʌɤ,太湖片-毗陵小片,32.014549490723574,120.27535869012826,S2 前增生复元音型
JT01,金坛,2,a → o → əu → u,S0 a → S1 o → S2 əu → S3 u,S2 əu,太湖片-毗陵小片,31.722801327048952,119.59665998366492,S2 前增生复元音型
JY01,江阴城区澄江镇,2,æ → o → əɯ → u,S0 æ → S1 o → S2 əɯ → S3 u,S2 əɯ,太湖片-毗陵小片,31.91856501026851,120.28546180941228,S2 前增生复元音型
KS01,昆山市区玉山镇,2,a → o → əu → əu,S0 a → S1 o → S2–S3 əu,S2 əu；S3 əu,太湖片-苏沪嘉小片,31.41100143999111,120.95099221326376,S2 前增生复元音型
LY01,溧阳,2,ᴀ → o → ʌɯ → u,S0 ᴀ → S1 o → S2 ʌɯ → S3 u,S2 ʌɯ,太湖片-毗陵小片,31.434264738248665,119.49640303729689,S2 前增生复元音型
NB01,宁波市区,2,a → o → əu → u,S0 a → S1 o → S2 əu → S3 u,S2 əu,太湖片-甬江小片,29.882641254266098,121.55751200020596,S2 前增生复元音型
NT01,南通金沙镇,2,æ → o → ɤɯ → u,S0 æ → S1 o → S2 ɤɯ → S3 u,S2 ɤɯ,太湖片-毗陵小片,32.07952490070315,121.0797065725066,S2 前增生复元音型
SZ01,苏州城区,2,ɑ → o → əu → əu,S0 ɑ → S1 o → S2–S3 əu,S2 əu；S3 əu,太湖片-苏沪嘉小片,31.29881005567972,120.5842465949506,S2 前增生复元音型
WX01,无锡城区,2,a → u → əɯ → əɯ,S0 a → S1 u → S2–S3 əɯ,S2 əɯ；S3 əɯ,太湖片-苏沪嘉小片,31.5672385460996,120.3044028357254,S2 前增生复元音型
WX02,吴县光福镇,2,a → o → əu → əu,S0 a → S1 o → S2–S3 əu,S2 əu；S3 əu,太湖片-苏沪嘉小片,31.283712541086764,120.39250256018134,S2 前增生复元音型
YX02,鄞县中区,2,a → o → əu → u,S0 a → S1 o → S2 əu → S3 u,S2 əu,太湖片-甬江小片,29.816552546783488,121.54599962737127,S2 前增生复元音型
YY01,余姚城关,2,a → o → ou → u,S0 a → S1 o → S2 ou → S3 u,S2 ou,太湖片-临绍小片,30.03828439897687,121.15542443185122,S2 前增生复元音型
ZJ01,诸暨城关,2,a → o → ɔi → u,S0 a → S1 o → S2 ɔi → S3 u,S2 ɔi,太湖片-临绍小片,29.7117133107683,120.24004681294583,S2 前增生复元音型
ZJ02,诸暨璜山镇,2,a → ʊ → ɤɯ → u,S0 a → S1 ʊ → S2 ɤɯ → S3 u,S2 ɤɯ,太湖片-临绍小片,29.571826761282235,120.33308245398152,S2 前增生复元音型
