rank,major_chain,point_count,share_of_points,ambiguous_point_count,point_list
1,ᴀ → o → u → u,11,0.13414634146341464,0,BS01 宝山、CS01 川沙浦东、FJ01 枫泾镇、GQ01 高桥、JD01 嘉定城厢、JS02 金山朱泾、SH01 上海市区、SL01 三林、XZ01 莘庄、ZP01 周浦、ZR01 真如
2,ɑ → o → u → u,10,0.12195121951219512,0,BZ01 堡镇、CM01 崇明城桥、FC01 奉城、FX01 奉贤、HM01 海门镇沙地话、HY01 海盐县城、JW01 江湾、JX01 嘉兴城区、SJ01 松江镇、SJ02 泗泾
3,a → o → u → u,8,0.0975609756097561,0,HN01 海宁硖石、JS01 嘉善魏塘镇、LT01 练塘、MH01 闵行、NH01 南汇惠南镇、PH01 平湖城关、TX01 桐乡城区、XD01 新登下港
4,a → o → o → u,7,0.08536585365853659,0,KQ01 柯桥、LA01 临安城区、PB01 彭埠镇、SX01 绍兴城区东头埭、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇
5,a → o → əu → u,4,0.04878048780487805,0,FH01 奉化西坞、JT01 金坛、NB01 宁波市区、YX02 鄞县中区
6,a → o → ou → u,3,0.036585365853658534,0,CX01 慈溪逍林、YY01 余姚城关、ZJ03 诸暨直埠镇
7,a → o → u / əu → u / əu,3,0.036585365853658534,3,CX02 长兴、TC01 太仓沙溪、TC02 太仓城厢
8,a → uo → u → u,3,0.036585365853658534,0,FY02 富阳东梓关、TL01 桐庐镇、YQ01 於潜
9,a → o → au → u,2,0.024390243902439025,0,BL01 北仑、ZS01 舟山定海
10,a → o → əu → əu,2,0.024390243902439025,0,KS01 昆山市区玉山镇、WX02 吴县光福镇
11,ɔ → o → u / əu → u / əu,2,0.024390243902439025,2,WJ01 吴江市松陵、WJ02 吴江芦墟
12,a → o / uo → u → u,1,0.012195121951219513,1,LP01 临平五杭
13,a → o → ɐu → u,1,0.012195121951219513,0,DS01 岱山岱西镇
14,a → o → ɔi → u,1,0.012195121951219513,0,ZJ01 诸暨城关
15,a → o → ɤɯ → u,1,0.012195121951219513,0,CZ01 常州
16,a → o → ɷ → u,1,0.012195121951219513,0,YX01 宜兴
17,a → o → ʊ → u,1,0.012195121951219513,0,FY01 富阳城关
18,a → o̞ → o → u,1,0.012195121951219513,0,XC01 新昌城关
19,a → u → əɯ → əɯ,1,0.012195121951219513,0,WX01 无锡城区
20,a → yo / ɤ → ɤ → u,1,0.012195121951219513,1,QD01 启东吕四
21,a → ɔ → o → u,1,0.012195121951219513,0,SZ02 嵊州长乐
22,a → ɔ → u → u,1,0.012195121951219513,0,DQ01 德清乾元
23,a → ɤ → ɤ → u,1,0.012195121951219513,0,SZ03 嵊州崇仁镇
24,a → ɷ → u / əu → əu,1,0.012195121951219513,1,HZ02 湖州市区
25,a → ɷ → u → u,1,0.012195121951219513,0,AJ01 安吉安城
26,a → ʊ → ɤɯ → u,1,0.012195121951219513,0,ZJ02 诸暨璜山镇
27,æ → o → əɯ → u,1,0.012195121951219513,0,JY01 江阴城区澄江镇
28,æ → o → ɤɯ → u,1,0.012195121951219513,0,NT01 南通金沙镇
29,æ → o → ʌɤ → u,1,0.012195121951219513,0,JJ01 靖江城区
30,ɐ → o → o → u,1,0.012195121951219513,0,SY02 上虞百官镇
31,ɑ → o → əu → əu,1,0.012195121951219513,0,SZ01 苏州城区
32,ɑ → o → ɤ → ɯ,1,0.012195121951219513,0,HM02 海门四甲
33,ɑ → ɑ → ə → u,1,0.012195121951219513,0,DY01 丹阳
34,ɒ → ʊ → u / əu → u / əu,1,0.012195121951219513,1,QP01 青浦商榻
35,ɛ → a → o → u,1,0.012195121951219513,0,HZ01 杭州城区
36,ᴀ → o → ʌɯ → u,1,0.012195121951219513,0,LY01 溧阳
37,ᴀ → u → ɯ → u,1,0.012195121951219513,0,CS02 常熟虞山镇
38,ᴇ → ɑ → ɷ → u,1,0.012195121951219513,0,DB01 郎溪梅渚镇定埠
