slot,rhyme_group,slot_initial,mainlayer_value,vowel_components,is_diphthong,plot_x_front_to_back,plot_y_close_to_open,coordinate_status,mainlayer_row_count,point_count,share_within_slot,point_examples,coordinate_note
S0,佳皆,*ai,a,a,False,1.05,3.0,placed,228,47,0.5560975609756098,AJ01 安吉安城、BL01 北仑、CX01 慈溪逍林、CX02 长兴、CZ01 常州、DQ01 德清乾元、DS01 岱山岱西镇、FH01 奉化西坞、FY01 富阳城关、FY02 富阳东梓关、HN01 海宁硖石、HZ02 湖州市区,标准 IPA 舌位。
S0,佳皆,*ai,ɑ,ɑ,False,3.0,3.0,placed,63,13,0.15365853658536585,BZ01 堡镇、CM01 崇明城桥、DY01 丹阳、FC01 奉城、FX01 奉贤、HM01 海门镇沙地话、HM02 海门四甲、HY01 海盐县城、JW01 江湾、JX01 嘉兴城区、SJ01 松江镇、SJ02 泗泾,标准 IPA 舌位。
S0,佳皆,*ai,ᴀ,ᴀ,False,2.03,3.0,placed,63,13,0.15365853658536585,BS01 宝山、CS01 川沙浦东、CS02 常熟虞山镇、FJ01 枫泾镇、GQ01 高桥、JD01 嘉定城厢、JS02 金山朱泾、LY01 溧阳、SH01 上海市区、SL01 三林、XZ01 莘庄、ZP01 周浦,暂按央低不圆唇元音置于 a-ɑ 中间。
S0,佳皆,*ai,æ,æ,False,0.88,2.5,placed,15,3,0.036585365853658534,JJ01 靖江城区、JY01 江阴城区澄江镇、NT01 南通金沙镇,标准 IPA 舌位。
S0,佳皆,*ai,ɔ,ɔ,False,3.0,2.0,placed,10,2,0.024390243902439025,WJ01 吴江市松陵、WJ02 吴江芦墟,标准 IPA 舌位。
S0,佳皆,*ai,ia,i+a,True,0.525,1.5,placed,6,5,0.014634146341463415,FY02 富阳东梓关、JT01 金坛、NH01 南汇惠南镇、XD01 新登下港、YX01 宜兴,复元音取组成元音坐标的算术中点。
S0,佳皆,*ai,ɐ,ɐ,False,1.92,2.5,placed,5,1,0.012195121951219513,SY02 上虞百官镇,标准 IPA 舌位。
S0,佳皆,*ai,ɒ,ɒ,False,3.0,3.0,placed,5,1,0.012195121951219513,QP01 青浦商榻,标准 IPA 舌位。
S0,佳皆,*ai,ᴇ,ᴇ,False,0.53,1.55,placed,5,1,0.012195121951219513,DB01 郎溪梅渚镇定埠,暂按 e-ɛ 之间的前不圆唇元音放置。
S0,佳皆,*ai,iɛ,i+ɛ,True,0.35,1.0,placed,3,2,0.007317073170731708,HZ01 杭州城区、JT01 金坛,复元音取组成元音坐标的算术中点。
S0,佳皆,*ai,ɛ,ɛ,False,0.7,2.0,placed,3,1,0.007317073170731708,HZ01 杭州城区,标准 IPA 舌位。
S0,佳皆,*ai,iɑ,i+ɑ,True,1.5,1.5,placed,2,2,0.004878048780487805,BZ01 堡镇、FX01 奉贤,复元音取组成元音坐标的算术中点。
S0,佳皆,*ai,iᴀ,i+ᴀ,True,1.015,1.5,placed,2,2,0.004878048780487805,GQ01 高桥、ZR01 真如,复元音取组成元音坐标的算术中点。
S1,麻,*a,o,o,False,3.0,1.0,placed,259,66,0.6317073170731707,BL01 北仑、BS01 宝山、BZ01 堡镇、CM01 崇明城桥、CS01 川沙浦东、CX01 慈溪逍林、CX02 长兴、CZ01 常州、DS01 岱山岱西镇、FC01 奉城、FH01 奉化西坞、FJ01 枫泾镇,标准 IPA 舌位。
S1,麻,*a,a,a,False,1.05,3.0,placed,22,19,0.05365853658536585,AJ01 安吉安城、CX02 长兴、DQ01 德清乾元、HN01 海宁硖石、HZ01 杭州城区、HZ02 湖州市区、JS01 嘉善魏塘镇、JY01 江阴城区澄江镇、KS01 昆山市区玉山镇、LP01 临平五杭、LT01 练塘、MH01 闵行,标准 IPA 舌位。
