point_id,point_name,onset_class,chain_slot,issue_type,candidate_count,candidate_vowels,candidate_counts,candidate_chars,candidate_phonetics,old_mainlayer_value,suggested_action
BL01,北仑城关,TS,S2,ambiguous,2,au | o,au:10 | o:1,au=>佐、唆、坐、左、座、搓、梭、琐 | o=>蓑,au=>au | o=>o,au,需在多个主体层候选元音中裁定代表值
BL01,北仑城关,TS,S3,ambiguous,2,u | au,u:11 | au:2,u=>塑、措、祖、租、粗、素、组、苏 | au=>做、错,u=>u | au=>au,u,需在多个主体层候选元音中裁定代表值
BZ01,堡镇,TS,S2,ambiguous,2,u | i,u:8 | i:1,u=>坐、左、座、搓、梭、琐、蓑、锁 | i=>左,u=>u | i=>i,,需在多个主体层候选元音中裁定代表值
CM01,崇明城关,TS,S2,ambiguous,2,u | i,u:10 | i:1,u=>佐、唆、唢、坐、座、搓、梭、琐 | i=>左,u=>u | i=>i,u,需在多个主体层候选元音中裁定代表值
CS01,川沙浦东,TS,S3,ambiguous,2,u | iɔ,u:12 | iɔ:1,u=>塑、措、祖、租、粗、素、组、苏 | iɔ=>错,u=>u | iɔ=>iɔ,u,需在多个主体层候选元音中裁定代表值
CS02,常熟虞山镇,TS,S2,ambiguous,3,ɯ | i | u,ɯ:10 | i:1 | u:1,ɯ=>佐、唆、坐、座、搓、梭、琐、蓑 | i=>左 | u=>莎,ɯ=>ɯ | i=>i | u=>u,ɯ,需在多个主体层候选元音中裁定代表值
CS02,常熟虞山镇,TS,S3,ambiguous,2,ɯ | u,ɯ:12 | u:1,ɯ=>做、措、祖、租、粗、素、组、苏 | u=>错,ɯ=>ɯ | u=>u,ɯ,需在多个主体层候选元音中裁定代表值
CX01,慈溪逍林,TS,S2,ambiguous,2,ou | o,ou:7 | o:4,ou=>坐、左、座、搓、琐、锁、锉 | o=>唆、梭、莎、蓑,ou=>ou | o=>o,ou,需在多个主体层候选元音中裁定代表值
CX02,长兴,TS,S2,ambiguous,2,əu | a,əu:8 | a:2,əu=>佐、坐、左、座、搓、梭、蓑、锁 | a=>娑、莎,əu=>əu | a=>a,,需在多个主体层候选元音中裁定代表值
DQ01,德清乾元,TS,S3,ambiguous,2,u | o,u:12 | o:1,u=>做、措、祖、租、粗、素、组、苏 | o=>塑,u=>u | o=>oʔ,u,需在多个主体层候选元音中裁定代表值
DS01,岱山岱西镇,TS,S3,ambiguous,2,u | ɐu,u:10 | ɐu:2,u=>措、祖、租、粗、素、组、苏、诉 | ɐu=>做、错,u=>u | ɐu=>ɐu,,需在多个主体层候选元音中裁定代表值
DY01,丹阳,TS,S3,ambiguous,2,u | ə,u:10 | ə:2,u=>塑、措、祖、租、粗、素、组、苏 | ə=>做、错,u=>u | ə=>ə,u,需在多个主体层候选元音中裁定代表值
FH01,奉化西坞,TS,S2,ambiguous,2,əu | o,əu:8 | o:3,əu=>佐、坐、左、座、搓、琐、锁、锉 | o=>唆、梭、蓑,əu=>əu | o=>o,əu,需在多个主体层候选元音中裁定代表值
FH01,奉化西坞,TS,S3,ambiguous,2,u | y,u:6 | y:4,u=>措、祖、租、粗、组、醋 | y=>素、苏、诉、酥,u=>u | y=>y,u,需在多个主体层候选元音中裁定代表值
FJ01,枫泾镇,TS,S3,ambiguous,2,u | o,u:10 | o:1,u=>措、祖、租、粗、素、组、苏、诉 | o=>错,u=>u | o=>o,u,需在多个主体层候选元音中裁定代表值
FX01,奉贤,TS,S2,ambiguous,2,u | i,u:8 | i:1,u=>坐、左、座、搓、梭、琐、蓑、锁 | i=>左,u=>u | i=>i,u,需在多个主体层候选元音中裁定代表值
FX01,奉贤,TS,S3,ambiguous,2,u | o,u:11 | o:1,u=>措、祖、租、粗、素、组、苏、诉 | o=>错,u=>u | o=>o,u,需在多个主体层候选元音中裁定代表值
FY02,富阳东梓关,TS,S2,ambiguous,2,u | uo,u:9 | uo:1,u=>佐、唆、坐、左、座、搓、梭、琐 | uo=>蓑,u=>u | uo=>uo,u,需在多个主体层候选元音中裁定代表值
GQ01,高桥,TS,S3,ambiguous,2,u | o,u:10 | o:1,u=>措、祖、租、粗、素、组、苏、诉 | o=>错,u=>u | o=>o,,需在多个主体层候选元音中裁定代表值
HM02,海门四甲,TS,S3,ambiguous,2,ɯ | ɤ,ɯ:11 | ɤ:2,ɯ=>塑、措、祖、租、粗、素、组、苏 | ɤ=>做、错,ɯ=>ɯ | ɤ=>ɤ,,需在多个主体层候选元音中裁定代表值
HN01,海宁城关,TS,S2,ambiguous,2,u | o,u:5 | o:3,u=>佐、坐、左、座、搓 | o=>唆、琐、锁,u=>u | o=>o,u,需在多个主体层候选元音中裁定代表值
HN01,海宁城关,TS,S3,ambiguous,2,u | o,u:12 | o:1,u=>做、措、祖、租、粗、素、组、苏 | o=>错,u=>u | o=>o,u,需在多个主体层候选元音中裁定代表值
HY01,海盐县城,TS,S2,ambiguous,2,u | o,u:7 | o:3,u=>唆、坐、左、座、搓、梭、锉 | o=>搓、蓑、锁,u=>u | o=>o,u,需在多个主体层候选元音中裁定代表值
JD01,嘉定城关,TS,S3,ambiguous,2,u | o,u:14 | o:1,u=>做、嗉、塑、措、祖、租、粗、素 | o=>错,u=>u | o=>o,,需在多个主体层候选元音中裁定代表值
JS01,嘉善魏塘镇,TS,S2,ambiguous,2,u | i,u:11 | i:1,u=>佐、唆、坐、座、搓、梭、琐、莎 | i=>左,u=>u | i=>i,u,需在多个主体层候选元音中裁定代表值
JS01,嘉善魏塘镇,TS,S3,ambiguous,2,u | o,u:11 | o:1,u=>做、嗉、塑、措、祖、租、粗、素 | o=>错,u=>u | o=>o,u,需在多个主体层候选元音中裁定代表值
JS02,金山,TS,S2,ambiguous,2,u | i,u:8 | i:1,u=>坐、左、座、搓、梭、琐、蓑、锁 | i=>左,u=>u | i=>i,u,需在多个主体层候选元音中裁定代表值
JS02,金山,TS,S3,ambiguous,2,u | o,u:10 | o:1,u=>措、祖、租、粗、素、组、苏、诉 | o=>错,u=>u | o=>o,u,需在多个主体层候选元音中裁定代表值
JT01,金坛,TS,S3,ambiguous,2,u | əu,u:12 | əu:2,u=>嗉、塑、措、祖、租、粗、素、组 | əu=>做、错,u=>u | əu=>əu,u,需在多个主体层候选元音中裁定代表值
JW01,江湾,TS,S3,ambiguous,2,u | o,u:10 | o:1,u=>措、祖、租、粗、素、组、苏、诉 | o=>错,u=>u | o=>o,,需在多个主体层候选元音中裁定代表值
KQ01,柯桥城关,TS,S2,ambiguous,2,o | io,o:10 | io:1,o=>佐、坐、娑、座、搓、梭、琐、莎 | io=>唆,o=>o | io=>io,o,需在多个主体层候选元音中裁定代表值
KQ01,柯桥城关,TS,S3,ambiguous,2,u | o,u:12 | o:2,u=>嗉、塑、措、祖、租、粗、素、组 | o=>做、错,u=>u | o=>o,u,需在多个主体层候选元音中裁定代表值
KS01,昆山市区玉山镇,TS,S2,ambiguous,2,əu | o,əu:10 | o:1,əu=>唆、坐、左、座、搓、梭、琐、蓑 | o=>莎,əu=>əu | o=>o,əu,需在多个主体层候选元音中裁定代表值
KS01,昆山市区玉山镇,TS,S3,ambiguous,2,əu | o,əu:14 | o:1,əu=>做、嗉、塑、措、祖、租、粗、素 | o=>错,əu=>əu | o=>o,əu,需在多个主体层候选元音中裁定代表值
LA01,临安城区,TS,S3,ambiguous,2,u | o,u:10 | o:3,u=>塑、祖、租、粗、素、组、苏、诉 | o=>做、措、错,u=>u | o=>o,,需在多个主体层候选元音中裁定代表值
LT01,练塘,TS,S3,ambiguous,2,u | o,u:10 | o:1,u=>措、祖、租、粗、素、组、苏、诉 | o=>错,u=>u | o=>o,,需在多个主体层候选元音中裁定代表值
MH01,闵行,TS,S3,ambiguous,2,u | o,u:11 | o:1,u=>做、措、祖、租、粗、素、组、苏 | o=>错,u=>u | o=>o,u,需在多个主体层候选元音中裁定代表值
NB01,宁波市区,TS,S2,ambiguous,2,əu | o,əu:8 | o:1,əu=>佐、唆、坐、左、座、搓、梭、锁 | o=>蓑,əu=>əu | o=>o,əu,需在多个主体层候选元音中裁定代表值
NB01,宁波市区,TS,S3,ambiguous,2,u | əu,u:9 | əu:2,u=>塑、祖、租、粗、素、苏、诉、酥 | əu=>做、错,u=>u | əu=>əu,u,需在多个主体层候选元音中裁定代表值
NH01,南汇惠南镇,TS,S3,ambiguous,2,u | o,u:13 | o:1,u=>做、塑、措、祖、租、粗、素、组 | o=>错,u=>u | o=>o,u,需在多个主体层候选元音中裁定代表值
NT01,南通金沙镇,TS,S1,ambiguous,2,o | uo,o:1 | uo:1,o=>茶 | uo=>茶,o=>o | uo=>uo,o,需在多个主体层候选元音中裁定代表值
NT01,南通金沙镇,TS,S3,ambiguous,2,u | ɤɯ,u:8 | ɤɯ:2,u=>祖、租、粗、素、组、苏、酥、醋 | ɤɯ=>做、错,u=>u | ɤɯ=>ɤɯ,u,需在多个主体层候选元音中裁定代表值
PB01,彭埠镇,TS,S3,ambiguous,2,u | o,u:8 | o:3,u=>祖、租、粗、素、组、苏、酥、醋 | o=>做、措、错,u=>u | o=>o,,需在多个主体层候选元音中裁定代表值
SH01,上海市区,TS,S2,ambiguous,3,u | o | i,u:13 | o:2 | i:1,u=>佐、唆、唢、坐、左、座、搓、梭 | o=>娑、搓 | i=>左,u=>u | o=>o | i=>i,u,需在多个主体层候选元音中裁定代表值
SJ01,泗泾,TS,S2,ambiguous,2,u | i,u:8 | i:1,u=>坐、左、座、搓、梭、琐、蓑、锁 | i=>左,u=>u | i=>i,u,需在多个主体层候选元音中裁定代表值
SJ01,松江镇,TS,S3,ambiguous,2,u | o,u:14 | o:1,u=>做、嗉、塑、措、祖、租、粗、素 | o=>错,u=>u | o=>o,u,需在多个主体层候选元音中裁定代表值
SJ01,泗泾,TS,S3,ambiguous,2,u | o,u:10 | o:1,u=>措、祖、租、粗、素、组、苏、诉 | o=>错,u=>u | o=>o,u,需在多个主体层候选元音中裁定代表值
SL01,三林,TS,S3,ambiguous,2,u | o,u:10 | o:1,u=>措、祖、租、粗、素、组、苏、诉 | o=>错,u=>u | o=>o,,需在多个主体层候选元音中裁定代表值
