onset_class,rank_within_onset,exact_chain,S0,S1,S2,S3,structure_pattern,point_count,share_within_onset,point_list
K,1,a → a → u → u,a,a,u,u,S0=S1，S2=S3,8,0.0975609756097561,DQ01 德清乾元、HN01 海宁硖石、JS01 嘉善魏塘镇、LP01 临平五杭、LT01 练塘、MH01 闵行、PH01 平湖城关、TX01 桐乡城区
K,2,ᴀ → ᴀ → u → u,ᴀ,ᴀ,u,u,S0=S1，S2=S3,8,0.0975609756097561,BS01 宝山、CS01 川沙浦东、JD01 嘉定城厢、JS02 金山朱泾、SH01 上海市区、SL01 三林、XZ01 莘庄、ZP01 周浦
K,3,a → o → o → u,a,o,o,u,S1=S2,7,0.08536585365853659,KQ01 柯桥、LA01 临安城区、PB01 彭埠镇、SX01 绍兴城区东头埭、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇
K,4,ɑ → ɑ → u → u,ɑ,ɑ,u,u,S0=S1，S2=S3,7,0.08536585365853659,CM01 崇明城桥、FC01 奉城、HM01 海门镇沙地话、HY01 海盐县城、JW01 江湾、JX01 嘉兴城区、SJ01 松江镇
K,5,a → a → əu → əu,a,a,əu,əu,S0=S1，S2=S3,6,0.07317073170731707,CX02 长兴、HZ02 湖州市区、KS01 昆山市区玉山镇、TC01 太仓沙溪、TC02 太仓城厢、WX02 吴县光福镇
K,6,a → o → ou → u,a,o,ou,u,全对立,3,0.036585365853658534,CX01 慈溪逍林、YY01 余姚城关、ZJ03 诸暨直埠镇
K,7,a → o → əu → u,a,o,əu,u,全对立,3,0.036585365853658534,FH01 奉化西坞、NB01 宁波市区、YX02 鄞县中区
K,8,a → o → au → u,a,o,au,u,全对立,2,0.024390243902439025,BL01 北仑、ZS01 舟山定海
K,9,a → uo → u → u,a,uo,u,u,S2=S3,2,0.024390243902439025,FY02 富阳东梓关、TL01 桐庐镇
K,10,iɑ → ɑ → u → u,iɑ,ɑ,u,u,S2=S3,2,0.024390243902439025,BZ01 堡镇、FX01 奉贤
K,11,iᴀ → ᴀ → u → u,iᴀ,ᴀ,u,u,S2=S3,2,0.024390243902439025,GQ01 高桥、ZR01 真如
K,12,ɑ → ɑ → əu → əu,ɑ,ɑ,əu,əu,S0=S1，S2=S3,2,0.024390243902439025,SJ02 泗泾、SZ01 苏州城区
K,13,ɔ → ɔ → əu → əu,ɔ,ɔ,əu,əu,S0=S1，S2=S3,2,0.024390243902439025,WJ01 吴江市松陵、WJ02 吴江芦墟
K,14,a → a → əɯ → u,a,a,əɯ,u,S0=S1,1,0.012195121951219513,WX01 无锡城区
K,15,a → a → ɷ → u,a,a,ɷ,u,S0=S1,1,0.012195121951219513,AJ01 安吉安城
K,16,a → ia → u → u,a,ia,u,u,S2=S3,1,0.012195121951219513,YQ01 於潜
K,17,a → ia → ɤɯ → u,a,ia,ɤɯ,u,全对立,1,0.012195121951219513,CZ01 常州
K,18,a → o → u → u,a,o,u,u,S2=S3,1,0.012195121951219513,XD01 新登下港
K,19,a → o → ɐu → u,a,o,ɐu,u,全对立,1,0.012195121951219513,DS01 岱山岱西镇
K,20,a → o → ɔi → u,a,o,ɔi,u,全对立,1,0.012195121951219513,ZJ01 诸暨城关
K,21,a → o → ʊ → u,a,o,ʊ,u,全对立,1,0.012195121951219513,FY01 富阳城关
K,22,a → o̞ → o → u,a,o̞,o,u,全对立,1,0.012195121951219513,XC01 新昌城关
K,23,a → yo → ɤ → u,a,yo,ɤ,u,全对立,1,0.012195121951219513,QD01 启东吕四
K,24,a → ɔ → o → u,a,ɔ,o,u,全对立,1,0.012195121951219513,SZ02 嵊州长乐
K,25,a → ɤ → ɤ → u,a,ɤ,ɤ,u,S1=S2,1,0.012195121951219513,SZ03 嵊州崇仁镇
K,26,a → ʊ → ɤɯ → u,a,ʊ,ɤɯ,u,全对立,1,0.012195121951219513,ZJ02 诸暨璜山镇
K,27,ia → a → u → u,ia,a,u,u,S2=S3,1,0.012195121951219513,NH01 南汇惠南镇
K,28,ia → o → əu → u,ia,o,əu,u,全对立,1,0.012195121951219513,JT01 金坛
K,29,ia → o → ɷ → u,ia,o,ɷ,u,全对立,1,0.012195121951219513,YX01 宜兴
K,30,iɛ → ia → o → u,iɛ,ia,o,u,全对立,1,0.012195121951219513,HZ01 杭州城区
K,31,æ → a → əɯ → u,æ,a,əɯ,u,全对立,1,0.012195121951219513,JY01 江阴城区澄江镇
K,32,æ → iɑ → ʌɤ → u,æ,iɑ,ʌɤ,u,全对立,1,0.012195121951219513,JJ01 靖江城区
K,33,æ → uo → ɤɯ → u,æ,uo,ɤɯ,u,全对立,1,0.012195121951219513,NT01 南通金沙镇
K,34,ɐ → o → o → u,ɐ,o,o,u,S1=S2,1,0.012195121951219513,SY02 上虞百官镇
K,35,ɑ → iɑ → ə → u,ɑ,iɑ,ə,u,全对立,1,0.012195121951219513,DY01 丹阳
K,36,ɑ → iɑ → ɤ → ɯ,ɑ,iɑ,ɤ,ɯ,全对立,1,0.012195121951219513,HM02 海门四甲
K,37,ɒ → ɒ → əu → əu,ɒ,ɒ,əu,əu,S0=S1，S2=S3,1,0.012195121951219513,QP01 青浦商榻
K,38,ᴀ → o → ʌɯ → u,ᴀ,o,ʌɯ,u,全对立,1,0.012195121951219513,LY01 溧阳
K,39,ᴀ → ᴀ → əu → əu,ᴀ,ᴀ,əu,əu,S0=S1，S2=S3,1,0.012195121951219513,FJ01 枫泾镇
K,40,ᴀ → ᴀ → ɯ → u,ᴀ,ᴀ,ɯ,u,S0=S1,1,0.012195121951219513,CS02 常熟虞山镇
K,41,ᴇ → ɑ → ɷ → u,ᴇ,ɑ,ɷ,u,全对立,1,0.012195121951219513,DB01 郎溪梅渚镇定埠
M,1,a → o → o → o,a,o,o,o,S1=S2=S3,12,0.14634146341463414,CX02 长兴、KS01 昆山市区玉山镇、LA01 临安城区、MH01 闵行、PB01 彭埠镇、PH01 平湖城关、TC01 太仓沙溪、TC02 太仓城厢、WX02 吴县光福镇、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇
M,2,ᴀ → o → u → u,ᴀ,o,u,u,S2=S3,9,0.10975609756097561,BS01 宝山、CS01 川沙浦东、FJ01 枫泾镇、GQ01 高桥、JD01 嘉定城厢、SH01 上海市区、SL01 三林、ZP01 周浦、ZR01 真如
M,3,a → o → u → u,a,o,u,u,S2=S3,6,0.07317073170731707,HN01 海宁硖石、JS01 嘉善魏塘镇、LP01 临平五杭、LT01 练塘、NH01 南汇惠南镇、XD01 新登下港
M,4,ɑ → o → o → o,ɑ,o,o,o,S1=S2=S3,5,0.06097560975609756,FC01 奉城、FX01 奉贤、HY01 海盐县城、SJ01 松江镇、SZ01 苏州城区
M,5,ɑ → o → u → u,ɑ,o,u,u,S2=S3,5,0.06097560975609756,BZ01 堡镇、CM01 崇明城桥、HM01 海门镇沙地话、JW01 江湾、JX01 嘉兴城区
M,6,a → o → əu → əu,a,o,əu,əu,S2=S3,4,0.04878048780487805,FH01 奉化西坞、JT01 金坛、NB01 宁波市区、YX02 鄞县中区
M,7,a → uo → u → u,a,uo,u,u,S2=S3,3,0.036585365853658534,FY02 富阳东梓关、TL01 桐庐镇、YQ01 於潜
M,8,a → o → au → au,a,o,au,au,S2=S3,2,0.024390243902439025,BL01 北仑、ZS01 舟山定海
M,9,a → o → o → u,a,o,o,u,S1=S2,2,0.024390243902439025,KQ01 柯桥、SX01 绍兴城区东头埭
M,10,a → o → ou → ou,a,o,ou,ou,S2=S3,2,0.024390243902439025,CX01 慈溪逍林、YY01 余姚城关
M,11,ɔ → o → o → o,ɔ,o,o,o,S1=S2=S3,2,0.024390243902439025,WJ01 吴江市松陵、WJ02 吴江芦墟
M,12,ᴀ → o → o → o,ᴀ,o,o,o,S1=S2=S3,2,0.024390243902439025,JS02 金山朱泾、XZ01 莘庄
M,13,a → a → o → o,a,a,o,o,S0=S1，S2=S3,1,0.012195121951219513,TX01 桐乡城区
M,14,a → o → au → ɷ,a,o,au,ɷ,全对立,1,0.012195121951219513,YX01 宜兴
M,15,a → o → ou → u,a,o,ou,u,全对立,1,0.012195121951219513,ZJ03 诸暨直埠镇
M,16,a → o → ɐu → ɐu,a,o,ɐu,ɐu,S2=S3,1,0.012195121951219513,DS01 岱山岱西镇
M,17,a → o → ɔi → ɔi,a,o,ɔi,ɔi,S2=S3,1,0.012195121951219513,ZJ01 诸暨城关
M,18,a → o → ɤɯ → ɤɯ,a,o,ɤɯ,ɤɯ,S2=S3,1,0.012195121951219513,CZ01 常州
M,19,a → o → ʊ → ʊ,a,o,ʊ,ʊ,S2=S3,1,0.012195121951219513,FY01 富阳城关
M,20,a → o̞ → o → o,a,o̞,o,o,S2=S3,1,0.012195121951219513,XC01 新昌城关
M,21,a → u → u → u,a,u,u,u,S1=S2=S3,1,0.012195121951219513,AJ01 安吉安城
M,22,a → u → əɯ → əɯ,a,u,əɯ,əɯ,S2=S3,1,0.012195121951219513,WX01 无锡城区
M,23,a → ɔ → o → o,a,ɔ,o,o,S2=S3,1,0.012195121951219513,SZ02 嵊州长乐
M,24,a → ɔ → u → u,a,ɔ,u,u,S2=S3,1,0.012195121951219513,DQ01 德清乾元
M,25,a → ɤ → ɤ → u,a,ɤ,ɤ,u,S1=S2,1,0.012195121951219513,SZ03 嵊州崇仁镇
M,26,a → ɤ → ɤ → ɤ,a,ɤ,ɤ,ɤ,S1=S2=S3,1,0.012195121951219513,QD01 启东吕四
M,27,a → ɷ → ɷ → u,a,ɷ,ɷ,u,S1=S2,1,0.012195121951219513,HZ02 湖州市区
M,28,a → ʊ → ɤɯ → ɤɯ,a,ʊ,ɤɯ,ɤɯ,S2=S3,1,0.012195121951219513,ZJ02 诸暨璜山镇
M,29,æ → o → əɯ → əɯ,æ,o,əɯ,əɯ,S2=S3,1,0.012195121951219513,JY01 江阴城区澄江镇
M,30,æ → o → ɤɯ → u,æ,o,ɤɯ,u,全对立,1,0.012195121951219513,NT01 南通金沙镇
M,31,æ → o → ʌɤ → ʌɤ,æ,o,ʌɤ,ʌɤ,S2=S3,1,0.012195121951219513,JJ01 靖江城区
M,32,ɐ → o → o → u,ɐ,o,o,u,S1=S2,1,0.012195121951219513,SY02 上虞百官镇
M,33,ɑ → o → u → o,ɑ,o,u,o,S1=S3 [越级],1,0.012195121951219513,SJ02 泗泾
M,34,ɑ → o → ɤ → ɤ,ɑ,o,ɤ,ɤ,S2=S3,1,0.012195121951219513,HM02 海门四甲
M,35,ɑ → ɑ → ə → ə,ɑ,ɑ,ə,ə,S0=S1，S2=S3,1,0.012195121951219513,DY01 丹阳
M,36,ɒ → ʊ → ʊ → ʊ,ɒ,ʊ,ʊ,ʊ,S1=S2=S3,1,0.012195121951219513,QP01 青浦商榻
M,37,ɛ → a → o → o,ɛ,a,o,o,S2=S3,1,0.012195121951219513,HZ01 杭州城区
M,38,ᴀ → o → ʌɯ → ʌɯ,ᴀ,o,ʌɯ,ʌɯ,S2=S3,1,0.012195121951219513,LY01 溧阳
M,39,ᴀ → u → u → u,ᴀ,u,u,u,S1=S2=S3,1,0.012195121951219513,CS02 常熟虞山镇
M,40,ᴇ → ɑ → ɷ → ɷ,ᴇ,ɑ,ɷ,ɷ,S2=S3,1,0.012195121951219513,DB01 郎溪梅渚镇定埠
P,1,a → o → u → u,a,o,u,u,S2=S3,15,0.18292682926829268,CX02 长兴、FY01 富阳城关、HN01 海宁硖石、JS01 嘉善魏塘镇、KS01 昆山市区玉山镇、LP01 临平五杭、LT01 练塘、MH01 闵行、NH01 南汇惠南镇、PH01 平湖城关、TC01 太仓沙溪、TC02 太仓城厢、TX01 桐乡城区、WX02 吴县光福镇、XD01 新登下港
