onset_class,slot,rhyme_group,slot_initial,point_count,unique_value_count,top_value,top_value_count,top_value_share,second_value,second_value_count,second_value_share,diphthong_count,diphthong_share,unplaced_count,unplaced_share
K,S0,佳皆,*ai,82,12,a,44,0.5365853658536586,ᴀ,11,0.13414634146341464,8,0.0975609756097561,0,0.0
K,S1,麻,*a,82,13,o,23,0.2804878048780488,a,18,0.21951219512195122,10,0.12195121951219512,0,0.0
K,S2,歌戈,*ɑ,82,16,u,32,0.3902439024390244,əu,16,0.1951219512195122,30,0.36585365853658536,0,0.0
K,S3,模,*u,82,3,u,69,0.8414634146341463,əu,12,0.14634146341463414,12,0.14634146341463414,0,0.0
M,S0,佳皆,*ai,82,9,a,47,0.573170731707317,ᴀ,13,0.15853658536585366,0,0.0,0,0.0
M,S1,麻,*a,82,10,o,64,0.7804878048780488,u,3,0.036585365853658534,3,0.036585365853658534,0,0.0
M,S2,歌戈,*ɑ,82,15,o,28,0.34146341463414637,u,27,0.32926829268292684,19,0.23170731707317074,0,0.0
M,S3,模,*u,82,15,u,33,0.4024390243902439,o,26,0.3170731707317073,16,0.1951219512195122,0,0.0
P,S0,佳皆,*ai,82,9,a,47,0.573170731707317,ᴀ,13,0.15853658536585366,0,0.0,0,0.0
P,S1,麻,*a,82,11,o,64,0.7804878048780488,uo,3,0.036585365853658534,3,0.036585365853658534,0,0.0
P,S2,歌戈,*ɑ,82,14,u,48,0.5853658536585366,o,11,0.13414634146341464,17,0.2073170731707317,1,0.012195121951219513
P,S3,模,*u,82,4,u,79,0.9634146341463414,ɯ,1,0.012195121951219513,1,0.012195121951219513,1,0.012195121951219513
TS,S0,佳皆,*ai,82,10,a,45,0.5487804878048781,ᴀ,13,0.15853658536585366,2,0.024390243902439025,0,0.0
TS,S1,麻,*a,82,13,o,59,0.7195121951219512,yo,4,0.04878048780487805,11,0.13414634146341464,0,0.0
TS,S2,歌戈,*ɑ,82,17,u,34,0.4146341463414634,əu,14,0.17073170731707318,28,0.34146341463414637,0,0.0
TS,S3,模,*u,82,10,u,61,0.7439024390243902,əu,10,0.12195121951219512,13,0.15853658536585366,3,0.036585365853658534
Ø,S0,佳皆,*ai,82,10,a,45,0.5487804878048781,ᴀ,13,0.15853658536585366,3,0.036585365853658534,0,0.0
Ø,S1,麻,*a,82,13,o,49,0.5975609756097561,ɔ,8,0.0975609756097561,16,0.1951219512195122,0,0.0
Ø,S2,歌戈,*ɑ,82,15,u,43,0.524390243902439,o,11,0.13414634146341464,21,0.25609756097560976,0,0.0
Ø,S3,模,*u,82,3,u,77,0.9390243902439024,əu,4,0.04878048780487805,4,0.04878048780487805,0,0.0
