onset_class,slot,rhyme_group,slot_initial,rank_within_onset_slot,mainlayer_value,vowel_components,is_diphthong,plot_x_front_to_back,plot_y_close_to_open,coordinate_status,point_count,share_within_onset_slot,point_list
K,S0,佳皆,*ai,1,a,a,False,1.05,3.0,placed,44,0.5365853658536586,AJ01 安吉安城、BL01 北仑、CX01 慈溪逍林、CX02 长兴、CZ01 常州、DQ01 德清乾元、DS01 岱山岱西镇、FH01 奉化西坞、FY01 富阳城关、FY02 富阳东梓关、HN01 海宁硖石、HZ02 湖州市区、JS01 嘉善魏塘镇、KQ01 柯桥、KS01 昆山市区玉山镇、LA01 临安城区、LP01 临平五杭、LT01 练塘、MH01 闵行、NB01 宁波市区、PB01 彭埠镇、PH01 平湖城关、QD01 启东吕四、SX01 绍兴城区东头埭、SZ02 嵊州长乐、SZ03 嵊州崇仁镇、TC01 太仓沙溪、TC02 太仓城厢、TL01 桐庐镇、TX01 桐乡城区、WX01 无锡城区、WX02 吴县光福镇、XC01 新昌城关、XD01 新登下港、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇、YQ01 於潜、YX02 鄞县中区、YY01 余姚城关、ZJ01 诸暨城关、ZJ02 诸暨璜山镇、ZJ03 诸暨直埠镇、ZS01 舟山定海
K,S0,佳皆,*ai,2,ᴀ,ᴀ,False,2.03,3.0,placed,11,0.13414634146341464,BS01 宝山、CS01 川沙浦东、CS02 常熟虞山镇、FJ01 枫泾镇、JD01 嘉定城厢、JS02 金山朱泾、LY01 溧阳、SH01 上海市区、SL01 三林、XZ01 莘庄、ZP01 周浦
K,S0,佳皆,*ai,3,ɑ,ɑ,False,3.0,3.0,placed,11,0.13414634146341464,CM01 崇明城桥、DY01 丹阳、FC01 奉城、HM01 海门镇沙地话、HM02 海门四甲、HY01 海盐县城、JW01 江湾、JX01 嘉兴城区、SJ01 松江镇、SJ02 泗泾、SZ01 苏州城区
K,S0,佳皆,*ai,4,æ,æ,False,0.88,2.5,placed,3,0.036585365853658534,JJ01 靖江城区、JY01 江阴城区澄江镇、NT01 南通金沙镇
K,S0,佳皆,*ai,5,ia,i+a,True,0.525,1.5,placed,3,0.036585365853658534,JT01 金坛、NH01 南汇惠南镇、YX01 宜兴
K,S0,佳皆,*ai,6,iɑ,i+ɑ,True,1.5,1.5,placed,2,0.024390243902439025,BZ01 堡镇、FX01 奉贤
K,S0,佳皆,*ai,7,iᴀ,i+ᴀ,True,1.015,1.5,placed,2,0.024390243902439025,GQ01 高桥、ZR01 真如
K,S0,佳皆,*ai,8,ɔ,ɔ,False,3.0,2.0,placed,2,0.024390243902439025,WJ01 吴江市松陵、WJ02 吴江芦墟
K,S0,佳皆,*ai,9,ᴇ,ᴇ,False,0.53,1.55,placed,1,0.012195121951219513,DB01 郎溪梅渚镇定埠
K,S0,佳皆,*ai,10,iɛ,i+ɛ,True,0.35,1.0,placed,1,0.012195121951219513,HZ01 杭州城区
K,S0,佳皆,*ai,11,ɒ,ɒ,False,3.0,3.0,placed,1,0.012195121951219513,QP01 青浦商榻
K,S0,佳皆,*ai,12,ɐ,ɐ,False,1.92,2.5,placed,1,0.012195121951219513,SY02 上虞百官镇
K,S1,麻,*a,1,o,o,False,3.0,1.0,placed,23,0.2804878048780488,BL01 北仑、CX01 慈溪逍林、DS01 岱山岱西镇、FH01 奉化西坞、FY01 富阳城关、JT01 金坛、KQ01 柯桥、LA01 临安城区、LY01 溧阳、NB01 宁波市区、PB01 彭埠镇、SX01 绍兴城区东头埭、SY02 上虞百官镇、XD01 新登下港、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇、YX01 宜兴、YX02 鄞县中区、YY01 余姚城关、ZJ01 诸暨城关、ZJ03 诸暨直埠镇、ZS01 舟山定海
K,S1,麻,*a,2,a,a,False,1.05,3.0,placed,18,0.21951219512195122,AJ01 安吉安城、CX02 长兴、DQ01 德清乾元、HN01 海宁硖石、HZ02 湖州市区、JS01 嘉善魏塘镇、JY01 江阴城区澄江镇、KS01 昆山市区玉山镇、LP01 临平五杭、LT01 练塘、MH01 闵行、NH01 南汇惠南镇、PH01 平湖城关、TC01 太仓沙溪、TC02 太仓城厢、TX01 桐乡城区、WX01 无锡城区、WX02 吴县光福镇
K,S1,麻,*a,3,ᴀ,ᴀ,False,2.03,3.0,placed,12,0.14634146341463414,BS01 宝山、CS01 川沙浦东、CS02 常熟虞山镇、FJ01 枫泾镇、GQ01 高桥、JD01 嘉定城厢、JS02 金山朱泾、SH01 上海市区、SL01 三林、XZ01 莘庄、ZP01 周浦、ZR01 真如
K,S1,麻,*a,4,ɑ,ɑ,False,3.0,3.0,placed,12,0.14634146341463414,BZ01 堡镇、CM01 崇明城桥、DB01 郎溪梅渚镇定埠、FC01 奉城、FX01 奉贤、HM01 海门镇沙地话、HY01 海盐县城、JW01 江湾、JX01 嘉兴城区、SJ01 松江镇、SJ02 泗泾、SZ01 苏州城区
K,S1,麻,*a,5,ia,i+a,True,0.525,1.5,placed,3,0.036585365853658534,CZ01 常州、HZ01 杭州城区、YQ01 於潜
K,S1,麻,*a,6,iɑ,i+ɑ,True,1.5,1.5,placed,3,0.036585365853658534,DY01 丹阳、HM02 海门四甲、JJ01 靖江城区
K,S1,麻,*a,7,uo,u+o,True,3.0,0.5,placed,3,0.036585365853658534,FY02 富阳东梓关、NT01 南通金沙镇、TL01 桐庐镇
K,S1,麻,*a,8,ɔ,ɔ,False,3.0,2.0,placed,3,0.036585365853658534,SZ02 嵊州长乐、WJ01 吴江市松陵、WJ02 吴江芦墟
K,S1,麻,*a,9,yo,y+o,True,1.5,0.5,placed,1,0.012195121951219513,QD01 启东吕四
K,S1,麻,*a,10,ɒ,ɒ,False,3.0,3.0,placed,1,0.012195121951219513,QP01 青浦商榻
K,S1,麻,*a,11,ɤ,ɤ,False,3.0,1.0,placed,1,0.012195121951219513,SZ03 嵊州崇仁镇
K,S1,麻,*a,12,o̞,o̞,False,3.0,1.35,placed,1,0.012195121951219513,XC01 新昌城关
K,S1,麻,*a,13,ʊ,ʊ,False,2.7,0.45,placed,1,0.012195121951219513,ZJ02 诸暨璜山镇
K,S2,歌戈,*ɑ,1,u,u,False,3.0,0.0,placed,32,0.3902439024390244,BS01 宝山、BZ01 堡镇、CM01 崇明城桥、CS01 川沙浦东、DQ01 德清乾元、FC01 奉城、FX01 奉贤、FY02 富阳东梓关、GQ01 高桥、HM01 海门镇沙地话、HN01 海宁硖石、HY01 海盐县城、JD01 嘉定城厢、JS01 嘉善魏塘镇、JS02 金山朱泾、JW01 江湾、JX01 嘉兴城区、LP01 临平五杭、LT01 练塘、MH01 闵行、NH01 南汇惠南镇、PH01 平湖城关、SH01 上海市区、SJ01 松江镇、SL01 三林、TL01 桐庐镇、TX01 桐乡城区、XD01 新登下港、XZ01 莘庄、YQ01 於潜、ZP01 周浦、ZR01 真如
