onset_class,rank_within_onset,level_1,level_2,structure_pattern,is_leapfrog,point_count,share_within_onset,point_list
K,1,合流型,多元合并,S0=S1，S2=S3,False,35,0.4268292682926829,BS01 宝山、CM01 崇明城桥、CS01 川沙浦东、CX02 长兴、DQ01 德清乾元、FC01 奉城、FJ01 枫泾镇、HM01 海门镇沙地话、HN01 海宁硖石、HY01 海盐县城、HZ02 湖州市区、JD01 嘉定城厢、JS01 嘉善魏塘镇、JS02 金山朱泾、JW01 江湾、JX01 嘉兴城区、KS01 昆山市区玉山镇、LP01 临平五杭、LT01 练塘、MH01 闵行、PH01 平湖城关、QP01 青浦商榻、SH01 上海市区、SJ01 松江镇、SJ02 泗泾、SL01 三林、SZ01 苏州城区、TC01 太仓沙溪、TC02 太仓城厢、TX01 桐乡城区、WJ01 吴江市松陵、WJ02 吴江芦墟、WX02 吴县光福镇、XZ01 莘庄、ZP01 周浦
K,2,分立型,全不等,全对立,False,26,0.3170731707317073,BL01 北仑、CX01 慈溪逍林、CZ01 常州、DB01 郎溪梅渚镇定埠、DS01 岱山岱西镇、DY01 丹阳、FH01 奉化西坞、FY01 富阳城关、HM02 海门四甲、HZ01 杭州城区、JJ01 靖江城区、JT01 金坛、JY01 江阴城区澄江镇、LY01 溧阳、NB01 宁波市区、NT01 南通金沙镇、QD01 启东吕四、SZ02 嵊州长乐、XC01 新昌城关、YX01 宜兴、YX02 鄞县中区、YY01 余姚城关、ZJ01 诸暨城关、ZJ02 诸暨璜山镇、ZJ03 诸暨直埠镇、ZS01 舟山定海
K,3,合流型,单一合并,S1=S2,False,9,0.10975609756097561,KQ01 柯桥、LA01 临安城区、PB01 彭埠镇、SX01 绍兴城区东头埭、SY02 上虞百官镇、SZ03 嵊州崇仁镇、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇
K,4,合流型,单一合并,S2=S3,False,9,0.10975609756097561,BZ01 堡镇、FX01 奉贤、FY02 富阳东梓关、GQ01 高桥、NH01 南汇惠南镇、TL01 桐庐镇、XD01 新登下港、YQ01 於潜、ZR01 真如
K,5,合流型,单一合并,S0=S1,False,3,0.036585365853658534,AJ01 安吉安城、CS02 常熟虞山镇、WX01 无锡城区
M,1,合流型,单一合并,S2=S3,False,46,0.5609756097560976,BL01 北仑、BS01 宝山、BZ01 堡镇、CM01 崇明城桥、CS01 川沙浦东、CX01 慈溪逍林、CZ01 常州、DB01 郎溪梅渚镇定埠、DQ01 德清乾元、DS01 岱山岱西镇、FH01 奉化西坞、FJ01 枫泾镇、FY01 富阳城关、FY02 富阳东梓关、GQ01 高桥、HM01 海门镇沙地话、HM02 海门四甲、HN01 海宁硖石、HZ01 杭州城区、JD01 嘉定城厢、JJ01 靖江城区、JS01 嘉善魏塘镇、JT01 金坛、JW01 江湾、JX01 嘉兴城区、JY01 江阴城区澄江镇、LP01 临平五杭、LT01 练塘、LY01 溧阳、NB01 宁波市区、NH01 南汇惠南镇、SH01 上海市区、SL01 三林、SZ02 嵊州长乐、TL01 桐庐镇、WX01 无锡城区、XC01 新昌城关、XD01 新登下港、YQ01 於潜、YX02 鄞县中区、YY01 余姚城关、ZJ01 诸暨城关、ZJ02 诸暨璜山镇、ZP01 周浦、ZR01 真如、ZS01 舟山定海
M,2,合流型,多元合并,S1=S2=S3,False,25,0.3048780487804878,AJ01 安吉安城、CS02 常熟虞山镇、CX02 长兴、FC01 奉城、FX01 奉贤、HY01 海盐县城、JS02 金山朱泾、KS01 昆山市区玉山镇、LA01 临安城区、MH01 闵行、PB01 彭埠镇、PH01 平湖城关、QD01 启东吕四、QP01 青浦商榻、SJ01 松江镇、SZ01 苏州城区、TC01 太仓沙溪、TC02 太仓城厢、WJ01 吴江市松陵、WJ02 吴江芦墟、WX02 吴县光福镇、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇、XZ01 莘庄
M,3,合流型,单一合并,S1=S2,False,5,0.06097560975609756,HZ02 湖州市区、KQ01 柯桥、SX01 绍兴城区东头埭、SY02 上虞百官镇、SZ03 嵊州崇仁镇
M,4,分立型,全不等,全对立,False,3,0.036585365853658534,NT01 南通金沙镇、YX01 宜兴、ZJ03 诸暨直埠镇
M,5,合流型,多元合并,S0=S1，S2=S3,False,2,0.024390243902439025,DY01 丹阳、TX01 桐乡城区
M,6,合流型,单一合并,S1=S3 [越级],True,1,0.012195121951219513,SJ02 泗泾
P,1,合流型,单一合并,S2=S3,False,48,0.5853658536585366,AJ01 安吉安城、BS01 宝山、BZ01 堡镇、CM01 崇明城桥、CS01 川沙浦东、CX02 长兴、DQ01 德清乾元、FC01 奉城、FJ01 枫泾镇、FX01 奉贤、FY01 富阳城关、FY02 富阳东梓关、HM01 海门镇沙地话、HN01 海宁硖石、HY01 海盐县城、HZ02 湖州市区、JD01 嘉定城厢、JJ01 靖江城区、JS01 嘉善魏塘镇、JS02 金山朱泾、JW01 江湾、JX01 嘉兴城区、JY01 江阴城区澄江镇、KS01 昆山市区玉山镇、LP01 临平五杭、LT01 练塘、MH01 闵行、NH01 南汇惠南镇、PH01 平湖城关、QP01 青浦商榻、SH01 上海市区、SJ01 松江镇、SJ02 泗泾、SL01 三林、SZ01 苏州城区、TC01 太仓沙溪、TC02 太仓城厢、TL01 桐庐镇、TX01 桐乡城区、WJ01 吴江市松陵、WJ02 吴江芦墟、WX01 无锡城区、WX02 吴县光福镇、XD01 新登下港、XZ01 莘庄、YQ01 於潜、ZP01 周浦、ZR01 真如
P,2,分立型,全不等,全对立,False,21,0.25609756097560976,BL01 北仑、CX01 慈溪逍林、CZ01 常州、DB01 郎溪梅渚镇定埠、DS01 岱山岱西镇、FH01 奉化西坞、HM02 海门四甲、HZ01 杭州城区、JT01 金坛、LY01 溧阳、NB01 宁波市区、NT01 南通金沙镇、SZ02 嵊州长乐、XC01 新昌城关、YX01 宜兴、YX02 鄞县中区、YY01 余姚城关、ZJ01 诸暨城关、ZJ02 诸暨璜山镇、ZJ03 诸暨直埠镇、ZS01 舟山定海
P,3,合流型,单一合并,S1=S2,False,10,0.12195121951219512,KQ01 柯桥、LA01 临安城区、PB01 彭埠镇、QD01 启东吕四、SX01 绍兴城区东头埭、SY02 上虞百官镇、SZ03 嵊州崇仁镇、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇
P,4,合流型,单一合并,S0=S1,False,1,0.012195121951219513,DY01 丹阳
P,5,合流型,多元合并,S0=S1，S2=S3,False,1,0.012195121951219513,GQ01 高桥
P,6,合流型,多元合并,S1=S2=S3,False,1,0.012195121951219513,CS02 常熟虞山镇
TS,1,合流型,单一合并,S2=S3,False,49,0.5975609756097561,BS01 宝山、BZ01 堡镇、CM01 崇明城桥、CS01 川沙浦东、CS02 常熟虞山镇、CX01 慈溪逍林、CX02 长兴、DQ01 德清乾元、FC01 奉城、FJ01 枫泾镇、FX01 奉贤、FY01 富阳城关、FY02 富阳东梓关、GQ01 高桥、HM01 海门镇沙地话、HN01 海宁硖石、HY01 海盐县城、HZ01 杭州城区、HZ02 湖州市区、JD01 嘉定城厢、JS01 嘉善魏塘镇、JS02 金山朱泾、JW01 江湾、JX01 嘉兴城区、JY01 江阴城区澄江镇、KS01 昆山市区玉山镇、LP01 临平五杭、LT01 练塘、MH01 闵行、NH01 南汇惠南镇、PH01 平湖城关、QP01 青浦商榻、SH01 上海市区、SJ01 松江镇、SJ02 泗泾、SL01 三林、SZ01 苏州城区、TC01 太仓沙溪、TC02 太仓城厢、TL01 桐庐镇、TX01 桐乡城区、WJ01 吴江市松陵、WJ02 吴江芦墟、WX02 吴县光福镇、XD01 新登下港、XZ01 莘庄、YQ01 於潜、ZP01 周浦、ZR01 真如
TS,2,分立型,全不等,全对立,False,20,0.24390243902439024,BL01 北仑、CZ01 常州、DB01 郎溪梅渚镇定埠、DS01 岱山岱西镇、FH01 奉化西坞、HM02 海门四甲、JJ01 靖江城区、JT01 金坛、LY01 溧阳、NB01 宁波市区、NT01 南通金沙镇、QD01 启东吕四、XC01 新昌城关、YX01 宜兴、YX02 鄞县中区、YY01 余姚城关、ZJ01 诸暨城关、ZJ02 诸暨璜山镇、ZJ03 诸暨直埠镇、ZS01 舟山定海
TS,3,合流型,单一合并,S1=S2,False,11,0.13414634146341464,AJ01 安吉安城、KQ01 柯桥、LA01 临安城区、PB01 彭埠镇、SX01 绍兴城区东头埭、SY02 上虞百官镇、SZ02 嵊州长乐、SZ03 嵊州崇仁镇、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇
TS,4,合流型,单一合并,S0=S1,False,1,0.012195121951219513,DY01 丹阳
TS,5,合流型,多元合并,S1=S2=S3,False,1,0.012195121951219513,WX01 无锡城区
Ø,1,合流型,单一合并,S2=S3,False,45,0.5487804878048781,AJ01 安吉安城、BS01 宝山、BZ01 堡镇、CM01 崇明城桥、CS01 川沙浦东、CX02 长兴、DQ01 德清乾元、FC01 奉城、FJ01 枫泾镇、FX01 奉贤、FY01 富阳城关、FY02 富阳东梓关、GQ01 高桥、HM01 海门镇沙地话、HN01 海宁硖石、HY01 海盐县城、JD01 嘉定城厢、JS01 嘉善魏塘镇、JS02 金山朱泾、JW01 江湾、JX01 嘉兴城区、KS01 昆山市区玉山镇、LP01 临平五杭、LT01 练塘、MH01 闵行、NH01 南汇惠南镇、PH01 平湖城关、QP01 青浦商榻、SH01 上海市区、SJ01 松江镇、SJ02 泗泾、SL01 三林、SZ01 苏州城区、TC01 太仓沙溪、TC02 太仓城厢、TL01 桐庐镇、TX01 桐乡城区、WJ01 吴江市松陵、WJ02 吴江芦墟、WX02 吴县光福镇、XD01 新登下港、XZ01 莘庄、YQ01 於潜、ZP01 周浦、ZR01 真如
Ø,2,分立型,全不等,全对立,False,26,0.3170731707317073,BL01 北仑、CX01 慈溪逍林、CZ01 常州、DB01 郎溪梅渚镇定埠、DS01 岱山岱西镇、DY01 丹阳、FH01 奉化西坞、HM02 海门四甲、HZ01 杭州城区、HZ02 湖州市区、JJ01 靖江城区、JT01 金坛、JY01 江阴城区澄江镇、LY01 溧阳、NB01 宁波市区、NT01 南通金沙镇、QD01 启东吕四、SZ02 嵊州长乐、XC01 新昌城关、YX01 宜兴、YX02 鄞县中区、YY01 余姚城关、ZJ01 诸暨城关、ZJ02 诸暨璜山镇、ZJ03 诸暨直埠镇、ZS01 舟山定海
Ø,3,合流型,单一合并,S1=S2,False,9,0.10975609756097561,KQ01 柯桥、LA01 临安城区、PB01 彭埠镇、SX01 绍兴城区东头埭、SY02 上虞百官镇、SZ03 嵊州崇仁镇、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇
Ø,4,合流型,单一合并,S1=S3 [越级],True,2,0.024390243902439025,CS02 常熟虞山镇、WX01 无锡城区
