char,outlier_frequency
涯,60
佳,59
大,51
皆,49
晒,48
他,46
崖,43
械,40
钗,40
哪,30
阶,27
豺,24
届,20
可,20
挪,19
拿,19
骇,19
谐,18
错,18
那,17
懈,17
破,17
罢,17
稗,17
隘,15
朵,15
个,15
拖,15
亚,14
左,14
介,13
萝,13
阿,12
埋,12
模,12
磨,12
雅,11
霞,11
下,11
姥,10
奶,10
偕,10
魔,10
夏,10
洒,10
摩,10
搓,9
瘸,9
爸,9
挨,9
何,9
哥,9
我,8
五,8
解,8
荷,7
贾,7
斋,7
驾,6
躲,6
河,6
妈,6
丫,6
唾,6
哑,5
贺,5
簸,5
界,5
莎,5
蓑,5
差,5
虾,5
鸦,4
摹,4
屙,4
蘑,4
芥,3
慕,3
做,3
马,3
婆,3
薄,3
暮,3
娑,3
吾,3
窝,3
午,3
厦,3
莴,3
尬,2
拜,2
遐,2
唆,2
卖,2
买,2
枷,2
歌,2
瑕,2
柴,2
蟆,2
街,2
巴,2
讹,2
卧,2
梧,2
募,2
恶,2
筛,2
鹅,2
墓,2
和,2
暇,1
砣,1
爬,1
戈,1
肚,1
稼,1
伙,1
火,1
柯,1
伍,1
螺,1
芭,1
剁,1
诈,1
派,1
楷,1
货,1
悟,1
揢,1
家,1
赂,1
倭,1
吴,1
蟹,1
假,1
琐,1
稭,1
捱,1
伢,1
塑,1
牙,1
素,1
苏,1
诉,1
酥,1
虏,1
戒,1
骡,1
摆,1
锁,1
糯,1
葡,1
排,1
乌,1
污,1
涂,1
纱,1
债,1
堕,1
妥,1
椭,1
睦,1
嚇,1
袈,1
窠,1
