point_id,point_name,subbranch,core_slots,monophthong_values,monophthong_value_size,monophthong_token_count,monophthong_nuclei,monophthong_nucleus_size,monophthong_nucleus_counts,back_monophthong_values,back_monophthong_value_size,back_monophthong_token_count,back_monophthong_nuclei,back_monophthong_nucleus_size,back_monophthong_nucleus_counts,hao_slot_in_data,hao_value_counts,hao_total_token_count,hao_monophthong_token_count,hao_monophthong_token_share,hao_dominant_value,hao_dominant_value_class,hao_dominant_token_count,hao_dominant_token_share,hao_status,hao_monophthong_values,hao_monophthong_nuclei,hao_back_monophthong_nuclei,hao_diphthong_or_glide_values,hao_other_values,hao_monophthong_nuclei_in_core,hao_monophthong_nuclei_in_core_back,hao_monophthong_nuclei_not_in_core,hao_core_relation
AJ01,安吉安城,太湖片-苕溪小片,S0+S1+S2+S3,"a, e, u, ɔ, ɷ",5,295,"a, e, u, ɔ, ɷ",5,"u(126), ɷ(98), a(69), e(1), ɔ(1)","u, ɔ, ɷ",3,225,"u, ɔ, ɷ",3,"u(126), ɷ(98), ɔ(1)",S5,ɔ(98),98,98,1.0,ɔ,monophthong,98,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
BL01,北仑城关,太湖片-甬江小片,S0+S1+S2+S3,"a, e, o, u, ɛ",5,208,"a, e, o, u, ɛ",5,"u(103), o(54), a(44), e(6), ɛ(1)","o, u",2,157,"o, u",2,"u(103), o(54)",S5,"ɔ(88), a(1)",89,89,1.0,ɔ,monophthong,88,0.9887640449438202,monophthong_only,"a, ɔ","a, ɔ",ɔ,,,a,,ɔ,partial_hao_mono_in_core_inventory
BS01,宝山,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ᴀ, ᴇ",4,277,"o, u, ᴀ, ᴇ",4,"u(184), ᴀ(54), o(35), ᴇ(4)","o, u",2,219,"o, u",2,"u(184), o(35)",S5,ɔ(77),77,77,1.0,ɔ,monophthong,77,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
BZ01,堡镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɑ, ɔ, ɛ",6,236,"i, o, u, ɑ, ɔ, ɛ",6,"u(157), ɑ(45), o(31), i(1), ɔ(1), ɛ(1)","o, u, ɑ, ɔ",4,234,"o, u, ɑ, ɔ",4,"u(157), ɑ(45), o(31), ɔ(1)",S5,ɔ(70),70,70,1.0,ɔ,monophthong,70,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
CM01,崇明城关,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, æ, ɑ, ɔ, ɛ",7,323,"i, o, u, æ, ɑ, ɔ, ɛ",7,"u(207), ɑ(60), o(48), ɛ(5), i(1), æ(1), ɔ(1)","o, u, ɑ, ɔ",4,316,"o, u, ɑ, ɔ",4,"u(207), ɑ(60), o(48), ɔ(1)",S5,"ɔ(97), u(1)",98,98,1.0,ɔ,monophthong,97,0.9897959183673469,monophthong_only,"u, ɔ","u, ɔ","u, ɔ",,,"u, ɔ","u, ɔ",,all_hao_mono_in_core_back_inventory
CS01,川沙浦东,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɔ, ɛ, ɤ, ᴀ",6,294,"o, u, ɔ, ɛ, ɤ, ᴀ",6,"u(200), ᴀ(63), o(18), ɔ(11), ɤ(1), ɛ(1)","o, u, ɔ, ɤ",4,230,"o, u, ɔ, ɤ",4,"u(200), o(18), ɔ(11), ɤ(1)",S5,ɔ(87),87,87,1.0,ɔ,monophthong,87,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
CS02,常熟虞山镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, u, ɛ, ɯ, ᴀ",5,268,"i, u, ɛ, ɯ, ᴀ",5,"ɯ(113), u(105), ᴀ(47), ɛ(2), i(1)","u, ɯ",2,218,"u, ɯ",2,"ɯ(113), u(105)",S5,ɔ(83),83,83,1.0,ɔ,monophthong,83,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
CX01,慈溪逍林,太湖片-临绍小片,S0+S1+S2+S3,"a, e, o, u, ø",5,197,"a, e, o, u, ø",5,"u(91), o(62), a(42), ø(1), e(1)","o, u",2,153,"o, u",2,"u(91), o(62)",S5,ɔ(88),88,88,1.0,ɔ,monophthong,88,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
CX02,长兴,太湖片-苕溪小片,S0+S1+S2+S3,"a, o, u",3,140,"a, o, u",3,"a(56), o(47), u(37)","o, u",2,84,"o, u",2,"o(47), u(37)",S5,ɔ(81),81,81,1.0,ɔ,monophthong,81,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
CZ01,常州,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u",3,201,"a, o, u",3,"u(99), o(59), a(43)","o, u",2,158,"o, u",2,"u(99), o(59)",S5,aɤ(98),98,0,0.0,aɤ,diphthong_or_glide,98,1.0,diphthong_or_glide_only,,,,aɤ,,,,,no_hao_monophthong
