point_id,point_name,mainlayer_onset_rows,S0_major_value,S0_major_support,S0_all_values,S1_major_value,S1_major_support,S1_all_values,S2_major_value,S2_major_support,S2_all_values,S3_major_value,S3_major_support,S3_all_values,major_chain,major_chain_has_tie,dominant_onset_chain,dominant_onset_chain_support,onset_chain_count,unplaced_mainlayer_values,major_pattern_point_count,major_pattern_share
AJ01,安吉安城,5,a,5,a(5),ɷ,3,ɷ(3)、a(1)、u(1),u,3,u(3)、ɷ(2),u,5,u(5),a → ɷ → u → u,False,a → ɷ → u → u,2,4,,1,0.012195121951219513
BL01,北仑,5,a,5,a(5),o,4,o(4)、uo(1),au,5,au(5),u,4,u(4)、au(1),a → o → au → u,False,a → o → au → u,3,3,,2,0.024390243902439025
BS01,宝山,5,ᴀ,5,ᴀ(5),o,3,o(3)、ᴀ(1)、ia(1),u,5,u(5),u,5,u(5),ᴀ → o → u → u,False,ᴀ → o → u → u,3,3,,11,0.13414634146341464
BZ01,堡镇,5,ɑ,4,ɑ(4)、iɑ(1),o,4,o(4)、ɑ(1),u,5,u(5),u,5,u(5),ɑ → o → u → u,False,ɑ → o → u → u,4,2,,10,0.12195121951219512
CM01,崇明城桥,5,ɑ,5,ɑ(5),o,4,o(4)、ɑ(1),u,5,u(5),u,5,u(5),ɑ → o → u → u,False,ɑ → o → u → u,4,2,,10,0.12195121951219512
CS01,川沙浦东,5,ᴀ,5,ᴀ(5),o,2,o(2)、ᴀ(1)、iɔ(1)、ɔ(1),u,5,u(5),u,5,u(5),ᴀ → o → u → u,False,ᴀ → o → u → u,2,4,,11,0.13414634146341464
CS02,常熟虞山镇,5,ᴀ,5,ᴀ(5),u,4,u(4)、ᴀ(1),ɯ,3,ɯ(3)、u(2),u,4,u(4)、ɯ(1),ᴀ → u → ɯ → u,False,ᴀ → u → u → u,2,4,,1,0.012195121951219513
CX01,慈溪逍林,5,a,5,a(5),o,5,o(5),ou,5,ou(5),u,3,u(3)、ou(2),a → o → ou → u,False,a → o → ou → u,3,2,,3,0.036585365853658534
CX02,长兴,5,a,5,a(5),o,4,o(4)、a(1),u / əu,2,əu(2)、u(2)、o(1),u / əu,2,əu(2)、u(2)、o(1),a → o → u / əu → u / əu,True,a → o → u → u,2,4,,3,0.036585365853658534
CZ01,常州,5,a,5,a(5),o,3,o(3)、ia(2),ɤɯ,5,ɤɯ(5),u,3,u(3)、ɤɯ(1)、ɥ(1),a → o → ɤɯ → u,False,a → ia → ɤɯ → u,2,4,TS:S3=ɥ,1,0.012195121951219513
DB01,郎溪梅渚镇定埠,5,ᴇ,5,ᴇ(5),ɑ,5,ɑ(5),ɷ,5,ɷ(5),u,3,u(3)、ɷ(1)、ʮ(1),ᴇ → ɑ → ɷ → u,False,ᴇ → ɑ → ɷ → u,3,3,TS:S3=ʮ,1,0.012195121951219513
DQ01,德清乾元,5,a,5,a(5),ɔ,4,ɔ(4)、a(1),u,5,u(5),u,5,u(5),a → ɔ → u → u,False,a → ɔ → u → u,4,2,,1,0.012195121951219513
DS01,岱山岱西镇,5,a,5,a(5),o,5,o(5),ɐu,5,ɐu(5),u,4,u(4)、ɐu(1),a → o → ɐu → u,False,a → o → ɐu → u,4,2,,1,0.012195121951219513
DY01,丹阳,5,ɑ,5,ɑ(5),ɑ,3,ɑ(3)、iɑ(2),ə,5,ə(5),u,4,u(4)、ə(1),ɑ → ɑ → ə → u,False,ɑ → iɑ → ə → u | ɑ → ɑ → ə → u,2,3,,1,0.012195121951219513
FC01,奉城,5,ɑ,5,ɑ(5),o,3,o(3)、ɑ(1)、ɔ(1),u,4,u(4)、o(1),u,4,u(4)、o(1),ɑ → o → u → u,False,ɑ → o → u → u,2,4,,10,0.12195121951219512
FH01,奉化西坞,5,a,5,a(5),o,5,o(5),əu,5,əu(5),u,4,u(4)、əu(1),a → o → əu → u,False,a → o → əu → u,4,2,,4,0.04878048780487805
FJ01,枫泾镇,5,ᴀ,5,ᴀ(5),o,4,o(4)、ᴀ(1),u,4,u(4)、əu(1),u,4,u(4)、əu(1),ᴀ → o → u → u,False,ᴀ → o → u → u,4,2,,11,0.13414634146341464
FX01,奉贤,5,ɑ,4,ɑ(4)、iɑ(1),o,3,o(3)、ɑ(1)、iɑ(1),u,4,u(4)、o(1),u,4,u(4)、o(1),ɑ → o → u → u,False,ɑ → o → u → u,2,4,,10,0.12195121951219512
FY01,富阳城关,5,a,5,a(5),o,5,o(5),ʊ,3,ʊ(3)、u(2),u,3,u(3)、ʊ(2),a → o → ʊ → u,False,a → o → u → u | a → o → ʊ → ʊ,2,3,,1,0.012195121951219513
FY02,富阳东梓关,5,a,4,a(4)、ia(1),uo,5,uo(5),u,5,u(5),u,5,u(5),a → uo → u → u,False,a → uo → u → u,4,2,,3,0.036585365853658534
GQ01,高桥,5,ᴀ,4,ᴀ(4)、iᴀ(1),o,3,o(3)、ᴀ(2),u,5,u(5),u,5,u(5),ᴀ → o → u → u,False,ᴀ → o → u → u,3,3,,11,0.13414634146341464
