point_id,point_name,onset_class,S0,S1,S2,S3,exact_chain,slot_distinct_count,一级分类,二级分类,三级分类(详细模式),is_leapfrog,unplaced_values
AJ01,安吉安城,K,a,a,ɷ,u,a → a → ɷ → u,3,合流型,单一合并,S0=S1,False,
BL01,北仑,K,a,o,au,u,a → o → au → u,4,分立型,全不等,全对立,False,
BS01,宝山,K,ᴀ,ᴀ,u,u,ᴀ → ᴀ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
BZ01,堡镇,K,iɑ,ɑ,u,u,iɑ → ɑ → u → u,3,合流型,单一合并,S2=S3,False,
CM01,崇明城桥,K,ɑ,ɑ,u,u,ɑ → ɑ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
CS01,川沙浦东,K,ᴀ,ᴀ,u,u,ᴀ → ᴀ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
CS02,常熟虞山镇,K,ᴀ,ᴀ,ɯ,u,ᴀ → ᴀ → ɯ → u,3,合流型,单一合并,S0=S1,False,
CX01,慈溪逍林,K,a,o,ou,u,a → o → ou → u,4,分立型,全不等,全对立,False,
CX02,长兴,K,a,a,əu,əu,a → a → əu → əu,2,合流型,多元合并,S0=S1，S2=S3,False,
CZ01,常州,K,a,ia,ɤɯ,u,a → ia → ɤɯ → u,4,分立型,全不等,全对立,False,
DB01,郎溪梅渚镇定埠,K,ᴇ,ɑ,ɷ,u,ᴇ → ɑ → ɷ → u,4,分立型,全不等,全对立,False,
DQ01,德清乾元,K,a,a,u,u,a → a → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
DS01,岱山岱西镇,K,a,o,ɐu,u,a → o → ɐu → u,4,分立型,全不等,全对立,False,
DY01,丹阳,K,ɑ,iɑ,ə,u,ɑ → iɑ → ə → u,4,分立型,全不等,全对立,False,
FC01,奉城,K,ɑ,ɑ,u,u,ɑ → ɑ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
FH01,奉化西坞,K,a,o,əu,u,a → o → əu → u,4,分立型,全不等,全对立,False,
FJ01,枫泾镇,K,ᴀ,ᴀ,əu,əu,ᴀ → ᴀ → əu → əu,2,合流型,多元合并,S0=S1，S2=S3,False,
FX01,奉贤,K,iɑ,ɑ,u,u,iɑ → ɑ → u → u,3,合流型,单一合并,S2=S3,False,
FY01,富阳城关,K,a,o,ʊ,u,a → o → ʊ → u,4,分立型,全不等,全对立,False,
FY02,富阳东梓关,K,a,uo,u,u,a → uo → u → u,3,合流型,单一合并,S2=S3,False,
GQ01,高桥,K,iᴀ,ᴀ,u,u,iᴀ → ᴀ → u → u,3,合流型,单一合并,S2=S3,False,
HM01,海门镇沙地话,K,ɑ,ɑ,u,u,ɑ → ɑ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
HM02,海门四甲,K,ɑ,iɑ,ɤ,ɯ,ɑ → iɑ → ɤ → ɯ,4,分立型,全不等,全对立,False,
HN01,海宁硖石,K,a,a,u,u,a → a → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
HY01,海盐县城,K,ɑ,ɑ,u,u,ɑ → ɑ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
HZ01,杭州城区,K,iɛ,ia,o,u,iɛ → ia → o → u,4,分立型,全不等,全对立,False,
HZ02,湖州市区,K,a,a,əu,əu,a → a → əu → əu,2,合流型,多元合并,S0=S1，S2=S3,False,
JD01,嘉定城厢,K,ᴀ,ᴀ,u,u,ᴀ → ᴀ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
JJ01,靖江城区,K,æ,iɑ,ʌɤ,u,æ → iɑ → ʌɤ → u,4,分立型,全不等,全对立,False,
JS01,嘉善魏塘镇,K,a,a,u,u,a → a → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
JS02,金山朱泾,K,ᴀ,ᴀ,u,u,ᴀ → ᴀ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
JT01,金坛,K,ia,o,əu,u,ia → o → əu → u,4,分立型,全不等,全对立,False,
JW01,江湾,K,ɑ,ɑ,u,u,ɑ → ɑ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
JX01,嘉兴城区,K,ɑ,ɑ,u,u,ɑ → ɑ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
JY01,江阴城区澄江镇,K,æ,a,əɯ,u,æ → a → əɯ → u,4,分立型,全不等,全对立,False,
KQ01,柯桥,K,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
KS01,昆山市区玉山镇,K,a,a,əu,əu,a → a → əu → əu,2,合流型,多元合并,S0=S1，S2=S3,False,
LA01,临安城区,K,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
LP01,临平五杭,K,a,a,u,u,a → a → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
LT01,练塘,K,a,a,u,u,a → a → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
LY01,溧阳,K,ᴀ,o,ʌɯ,u,ᴀ → o → ʌɯ → u,4,分立型,全不等,全对立,False,
MH01,闵行,K,a,a,u,u,a → a → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
NB01,宁波市区,K,a,o,əu,u,a → o → əu → u,4,分立型,全不等,全对立,False,
NH01,南汇惠南镇,K,ia,a,u,u,ia → a → u → u,3,合流型,单一合并,S2=S3,False,
NT01,南通金沙镇,K,æ,uo,ɤɯ,u,æ → uo → ɤɯ → u,4,分立型,全不等,全对立,False,
PB01,彭埠镇,K,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
PH01,平湖城关,K,a,a,u,u,a → a → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
QD01,启东吕四,K,a,yo,ɤ,u,a → yo → ɤ → u,4,分立型,全不等,全对立,False,
QP01,青浦商榻,K,ɒ,ɒ,əu,əu,ɒ → ɒ → əu → əu,2,合流型,多元合并,S0=S1，S2=S3,False,
SH01,上海市区,K,ᴀ,ᴀ,u,u,ᴀ → ᴀ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
SJ01,松江镇,K,ɑ,ɑ,u,u,ɑ → ɑ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
SJ02,泗泾,K,ɑ,ɑ,əu,əu,ɑ → ɑ → əu → əu,2,合流型,多元合并,S0=S1，S2=S3,False,
SL01,三林,K,ᴀ,ᴀ,u,u,ᴀ → ᴀ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
SX01,绍兴城区东头埭,K,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
SY02,上虞百官镇,K,ɐ,o,o,u,ɐ → o → o → u,3,合流型,单一合并,S1=S2,False,
SZ01,苏州城区,K,ɑ,ɑ,əu,əu,ɑ → ɑ → əu → əu,2,合流型,多元合并,S0=S1，S2=S3,False,
SZ02,嵊州长乐,K,a,ɔ,o,u,a → ɔ → o → u,4,分立型,全不等,全对立,False,
SZ03,嵊州崇仁镇,K,a,ɤ,ɤ,u,a → ɤ → ɤ → u,3,合流型,单一合并,S1=S2,False,
TC01,太仓沙溪,K,a,a,əu,əu,a → a → əu → əu,2,合流型,多元合并,S0=S1，S2=S3,False,
TC02,太仓城厢,K,a,a,əu,əu,a → a → əu → əu,2,合流型,多元合并,S0=S1，S2=S3,False,
TL01,桐庐镇,K,a,uo,u,u,a → uo → u → u,3,合流型,单一合并,S2=S3,False,
TX01,桐乡城区,K,a,a,u,u,a → a → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
WJ01,吴江市松陵,K,ɔ,ɔ,əu,əu,ɔ → ɔ → əu → əu,2,合流型,多元合并,S0=S1，S2=S3,False,
WJ02,吴江芦墟,K,ɔ,ɔ,əu,əu,ɔ → ɔ → əu → əu,2,合流型,多元合并,S0=S1，S2=S3,False,
WX01,无锡城区,K,a,a,əɯ,u,a → a → əɯ → u,3,合流型,单一合并,S0=S1,False,
WX02,吴县光福镇,K,a,a,əu,əu,a → a → əu → əu,2,合流型,多元合并,S0=S1，S2=S3,False,
XC01,新昌城关,K,a,o̞,o,u,a → o̞ → o → u,4,分立型,全不等,全对立,False,
XD01,新登下港,K,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
XH02,萧山城厢,K,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
XS01,象山丹城,K,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
XS03,萧山南阳镇,K,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
XZ01,莘庄,K,ᴀ,ᴀ,u,u,ᴀ → ᴀ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
YQ01,於潜,K,a,ia,u,u,a → ia → u → u,3,合流型,单一合并,S2=S3,False,
YX01,宜兴,K,ia,o,ɷ,u,ia → o → ɷ → u,4,分立型,全不等,全对立,False,
YX02,鄞县中区,K,a,o,əu,u,a → o → əu → u,4,分立型,全不等,全对立,False,
YY01,余姚城关,K,a,o,ou,u,a → o → ou → u,4,分立型,全不等,全对立,False,
ZJ01,诸暨城关,K,a,o,ɔi,u,a → o → ɔi → u,4,分立型,全不等,全对立,False,
ZJ02,诸暨璜山镇,K,a,ʊ,ɤɯ,u,a → ʊ → ɤɯ → u,4,分立型,全不等,全对立,False,
ZJ03,诸暨直埠镇,K,a,o,ou,u,a → o → ou → u,4,分立型,全不等,全对立,False,
ZP01,周浦,K,ᴀ,ᴀ,u,u,ᴀ → ᴀ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
ZR01,真如,K,iᴀ,ᴀ,u,u,iᴀ → ᴀ → u → u,3,合流型,单一合并,S2=S3,False,
ZS01,舟山定海,K,a,o,au,u,a → o → au → u,4,分立型,全不等,全对立,False,
AJ01,安吉安城,M,a,u,u,u,a → u → u → u,2,合流型,多元合并,S1=S2=S3,False,
BL01,北仑,M,a,o,au,au,a → o → au → au,3,合流型,单一合并,S2=S3,False,
BS01,宝山,M,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
BZ01,堡镇,M,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
CM01,崇明城桥,M,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
CS01,川沙浦东,M,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
CS02,常熟虞山镇,M,ᴀ,u,u,u,ᴀ → u → u → u,2,合流型,多元合并,S1=S2=S3,False,
CX01,慈溪逍林,M,a,o,ou,ou,a → o → ou → ou,3,合流型,单一合并,S2=S3,False,
CX02,长兴,M,a,o,o,o,a → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
CZ01,常州,M,a,o,ɤɯ,ɤɯ,a → o → ɤɯ → ɤɯ,3,合流型,单一合并,S2=S3,False,
