point_id,point_name,onset_inequality
AJ01,安吉安城,K(0.6) > TS(0.6) > T(0.5714) > M(0.4667) > P(0.4667) > Ø(0.4667) > N(0.4286)
BL01,北仑城关,N(0.7143) > K(0.625) > T(0.5714) > TS(0.5) > P(0.375) > Ø(0.375) > M(0.3125)
BS01,宝山,T(1) > N(0.6667) > Ø(0.6667) > K(0.5833) > TS(0.5833) > M(0.4167) > P(0.4167)
BZ01,堡镇,T(0.75) > TS(0.6154) > K(0.5385) > N(0.5) > Ø(0.4615) > M(0.3846) > P(0.3846)
CM01,崇明城关,K(0.6842) > Ø(0.4211) > TS(0.3684) > N(0.3333) > T(0.3333) > M(0.3158) > P(0.3158)
CS01,川沙浦东,K(0.5625) > N(0.5) > T(0.5) > Ø(0.5) > TS(0.4375) > M(0.3125) > P(0.3125)
CS02,常熟虞山镇,TS(0.6429) > Ø(0.6429) > K(0.5714) > M(0.4286) > T(0.4286) > P(0.3571) > N(0.2857)
CX01,慈溪逍林,T(1) > K(0.6667) > P(0.5333) > TS(0.5333) > Ø(0.5333) > N(0.4) > M(0.2667)
CX02,长兴,K(0.6923) > T(0.5714) > Ø(0.5385) > TS(0.4615) > N(0.4286) > M(0.3846) > P(0.3846)
CZ01,常州,Ø(0.6) > TS(0.5333) > T(0.5) > K(0.4667) > M(0.4667) > P(0.4) > N(0.375)
DB01,郎溪梅渚镇定埠,K(0.5833) > TS(0.5833) > T(0.5714) > P(0.5) > Ø(0.5) > N(0.4286) > M(0.3333)
DQ01,德清乾元,K(0.625) > N(0.5) > T(0.5) > Ø(0.5) > P(0.4375) > TS(0.375) > M(0.3125)
DS01,岱山岱西镇,K(0.6316) > N(0.625) > T(0.625) > TS(0.4211) > Ø(0.4211) > M(0.3158) > P(0.3158)
DY01,丹阳,K(0.7692) > N(0.7143) > Ø(0.6154) > T(0.5714) > TS(0.4615) > M(0.3846) > P(0.3846)
FC01,奉城,K(0.6) > TS(0.5333) > T(0.5) > Ø(0.4) > M(0.3333) > P(0.3333) > N(0.25)
FH01,奉化西坞,N(0.7143) > K(0.625) > T(0.5714) > P(0.4375) > TS(0.4375) > Ø(0.4375) > M(0.3125)
FJ01,枫泾镇,K(0.625) > T(0.5) > TS(0.5) > Ø(0.5) > M(0.375) > P(0.3125) > N(0.25)
FX01,奉贤,Ø(0.5882) > K(0.5294) > T(0.5) > TS(0.4706) > M(0.2941) > P(0.2941) > N(0.25)
FY01,富阳城关,N(0.625) > K(0.6) > Ø(0.6) > P(0.4667) > M(0.4) > TS(0.4) > T(0.375)
FY02,富阳东梓关,N(0.7143) > TS(0.6667) > K(0.5333) > P(0.4667) > Ø(0.4667) > T(0.4286) > M(0.3333)
GQ01,高桥,T(0.6) > K(0.5333) > TS(0.5333) > Ø(0.4667) > N(0.4) > M(0.3333) > P(0.3333)
HM01,海门镇沙地话,Ø(0.8462) > N(0.75) > T(0.75) > K(0.6154) > P(0.5385) > TS(0.5385) > M(0.4615)
HM02,海门四甲,N(0.8333) > K(0.6667) > T(0.6667) > Ø(0.5333) > TS(0.4) > M(0.3333) > P(0.3333)
HN01,海宁城关,K(0.6923) > T(0.6667) > TS(0.6154) > Ø(0.4615) > M(0.3846) > P(0.3846) > N(0.3333)
HY01,海盐县城,K(0.5882) > T(0.5) > Ø(0.4706) > M(0.4118) > TS(0.4118) > N(0.375) > P(0.3529)
HZ01,杭州城区,N(0.8) > K(0.6667) > T(0.6) > Ø(0.5833) > TS(0.5) > P(0.4167) > M(0.3333)
HZ02,湖州市区,K(0.6) > Ø(0.6) > T(0.5556) > TS(0.4) > M(0.3333) > P(0.3333) > N(0.2222)
JD01,嘉定城关,N(0.8) > T(0.6) > Ø(0.6) > K(0.5333) > TS(0.5333) > M(0.4) > P(0.3333)
JJ01,靖江城区,T(1) > N(0.6667) > K(0.5714) > Ø(0.5) > P(0.3571) > TS(0.3571) > M(0.2857)
JS01,嘉善魏塘镇,T(0.5714) > K(0.5625) > TS(0.5625) > Ø(0.5625) > N(0.4286) > M(0.375) > P(0.375)
JS02,金山,TS(0.5556) > K(0.5) > T(0.5) > Ø(0.5) > M(0.3333) > P(0.2778) > N(0.25)
JT01,金坛,Ø(0.65) > K(0.55) > T(0.5455) > N(0.4545) > TS(0.4) > M(0.35) > P(0.25)
JW01,江湾,T(0.75) > TS(0.6429) > K(0.5) > N(0.5) > Ø(0.4286) > M(0.3571) > P(0.3571)
JX01,嘉兴城区,T(0.75) > K(0.7273) > Ø(0.7273) > TS(0.6364) > N(0.5) > M(0.4545) > P(0.3636)
JY01,江阴城区澄江镇,K(0.7692) > N(0.5714) > Ø(0.5385) > T(0.4286) > M(0.3846) > P(0.3846) > TS(0.3846)
KQ01,柯桥城关,K(0.75) > N(0.5) > P(0.5) > T(0.5) > Ø(0.5) > M(0.4375) > TS(0.4375)
KS01,昆山市区玉山镇,Ø(0.625) > K(0.5625) > TS(0.5) > M(0.375) > T(0.3333) > P(0.3125) > N(0.2222)
