point_id,point_name,onset_class,valid_slots,onset_inventory_size,slot_inventory_size,ratio,S0_onset_size,S0_slot_size,S0_ratio,S1_onset_size,S1_slot_size,S1_ratio,S2_onset_size,S2_slot_size,S2_ratio,S3_onset_size,S3_slot_size,S3_ratio
AJ01,安吉安城,K,S0+S1+S2+S3,9,15,0.6,2,4,0.5,2,4,0.5,4,4,1.0,1,3,0.3333333333333333
AJ01,安吉安城,M,S0+S1+S2+S3,7,15,0.4666666666666667,1,4,0.25,3,4,0.75,1,4,0.25,2,3,0.6666666666666666
AJ01,安吉安城,N,S2+S3,3,7,0.42857142857142855,,,,,,,2,4,0.5,1,3,0.3333333333333333
AJ01,安吉安城,P,S0+S1+S2+S3,7,15,0.4666666666666667,2,4,0.5,2,4,0.5,2,4,0.5,1,3,0.3333333333333333
AJ01,安吉安城,T,S2+S3,4,7,0.5714285714285714,,,,,,,3,4,0.75,1,3,0.3333333333333333
AJ01,安吉安城,TS,S0+S1+S2+S3,9,15,0.6,3,4,0.75,2,4,0.5,2,4,0.5,2,3,0.6666666666666666
AJ01,安吉安城,Ø,S0+S1+S2+S3,7,15,0.4666666666666667,2,4,0.5,2,4,0.5,2,4,0.5,1,3,0.3333333333333333
BL01,北仑城关,K,S0+S1+S2+S3,10,16,0.625,3,4,0.75,2,5,0.4,3,4,0.75,2,3,0.6666666666666666
BL01,北仑城关,M,S0+S1+S2+S3,5,16,0.3125,2,4,0.5,1,5,0.2,1,4,0.25,1,3,0.3333333333333333
BL01,北仑城关,N,S2+S3,5,7,0.7142857142857143,,,,,,,3,4,0.75,2,3,0.6666666666666666
BL01,北仑城关,P,S0+S1+S2+S3,6,16,0.375,1,4,0.25,2,5,0.4,2,4,0.5,1,3,0.3333333333333333
BL01,北仑城关,T,S2+S3,4,7,0.5714285714285714,,,,,,,3,4,0.75,1,3,0.3333333333333333
BL01,北仑城关,TS,S0+S1+S2+S3,8,16,0.5,2,4,0.5,2,5,0.4,2,4,0.5,2,3,0.6666666666666666
BL01,北仑城关,Ø,S0+S1+S2+S3,6,16,0.375,2,4,0.5,2,5,0.4,1,4,0.25,1,3,0.3333333333333333
BS01,宝山,K,S0+S1+S2+S3,7,12,0.5833333333333334,2,5,0.4,2,4,0.5,2,2,1.0,1,1,1.0
BS01,宝山,M,S0+S1+S2+S3,5,12,0.4166666666666667,1,5,0.2,2,4,0.5,1,2,0.5,1,1,1.0
BS01,宝山,N,S2+S3,2,3,0.6666666666666666,,,,,,,1,2,0.5,1,1,1.0
BS01,宝山,P,S0+S1+S2+S3,5,12,0.4166666666666667,1,5,0.2,2,4,0.5,1,2,0.5,1,1,1.0
BS01,宝山,T,S2+S3,3,3,1.0,,,,,,,2,2,1.0,1,1,1.0
BS01,宝山,TS,S0+S1+S2+S3,7,12,0.5833333333333334,3,5,0.6,2,4,0.5,1,2,0.5,1,1,1.0
BS01,宝山,Ø,S0+S1+S2+S3,8,12,0.6666666666666666,3,5,0.6,2,4,0.5,2,2,1.0,1,1,1.0
BZ01,堡镇,K,S0+S1+S2+S3,7,13,0.5384615384615384,2,4,0.5,2,5,0.4,2,3,0.6666666666666666,1,1,1.0
BZ01,堡镇,M,S0+S1+S2+S3,5,13,0.38461538461538464,1,4,0.25,2,5,0.4,1,3,0.3333333333333333,1,1,1.0
BZ01,堡镇,N,S2+S3,2,4,0.5,,,,,,,1,3,0.3333333333333333,1,1,1.0
BZ01,堡镇,P,S0+S1+S2+S3,5,13,0.38461538461538464,1,4,0.25,2,5,0.4,1,3,0.3333333333333333,1,1,1.0
BZ01,堡镇,T,S2+S3,3,4,0.75,,,,,,,2,3,0.6666666666666666,1,1,1.0
BZ01,堡镇,TS,S0+S1+S2+S3,8,13,0.6153846153846154,3,4,0.75,2,5,0.4,2,3,0.6666666666666666,1,1,1.0
BZ01,堡镇,Ø,S0+S1+S2+S3,6,13,0.46153846153846156,1,4,0.25,3,5,0.6,1,3,0.3333333333333333,1,1,1.0
CM01,崇明城关,K,S0+S1+S2+S3,13,19,0.6842105263157895,4,5,0.8,2,5,0.4,5,6,0.8333333333333334,2,3,0.6666666666666666
CM01,崇明城关,M,S0+S1+S2+S3,6,19,0.3157894736842105,1,5,0.2,2,5,0.4,1,6,0.16666666666666666,2,3,0.6666666666666666
CM01,崇明城关,N,S2+S3,3,9,0.3333333333333333,,,,,,,2,6,0.3333333333333333,1,3,0.3333333333333333
CM01,崇明城关,P,S0+S1+S2+S3,6,19,0.3157894736842105,2,5,0.4,2,5,0.4,1,6,0.16666666666666666,1,3,0.3333333333333333
CM01,崇明城关,T,S2+S3,3,9,0.3333333333333333,,,,,,,2,6,0.3333333333333333,1,3,0.3333333333333333
CM01,崇明城关,TS,S0+S1+S2+S3,7,19,0.3684210526315789,2,5,0.4,2,5,0.4,2,6,0.3333333333333333,1,3,0.3333333333333333
CM01,崇明城关,Ø,S0+S1+S2+S3,8,19,0.42105263157894735,3,5,0.6,3,5,0.6,1,6,0.16666666666666666,1,3,0.3333333333333333
CS01,川沙浦东,K,S0+S1+S2+S3,9,16,0.5625,2,4,0.5,2,6,0.3333333333333333,4,4,1.0,1,2,0.5
CS01,川沙浦东,M,S0+S1+S2+S3,5,16,0.3125,1,4,0.25,2,6,0.3333333333333333,1,4,0.25,1,2,0.5
CS01,川沙浦东,N,S2+S3,3,6,0.5,,,,,,,2,4,0.5,1,2,0.5
CS01,川沙浦东,P,S0+S1+S2+S3,5,16,0.3125,1,4,0.25,2,6,0.3333333333333333,1,4,0.25,1,2,0.5
CS01,川沙浦东,T,S2+S3,3,6,0.5,,,,,,,2,4,0.5,1,2,0.5
CS01,川沙浦东,TS,S0+S1+S2+S3,7,16,0.4375,2,4,0.5,2,6,0.3333333333333333,1,4,0.25,2,2,1.0
CS01,川沙浦东,Ø,S0+S1+S2+S3,8,16,0.5,2,4,0.5,3,6,0.5,2,4,0.5,1,2,0.5
CS02,常熟虞山镇,K,S0+S1+S2+S3,8,14,0.5714285714285714,2,4,0.5,2,3,0.6666666666666666,2,5,0.4,2,2,1.0
CS02,常熟虞山镇,M,S0+S1+S2+S3,6,14,0.42857142857142855,2,4,0.5,2,3,0.6666666666666666,1,5,0.2,1,2,0.5
CS02,常熟虞山镇,N,S2+S3,2,7,0.2857142857142857,,,,,,,1,5,0.2,1,2,0.5
CS02,常熟虞山镇,P,S0+S1+S2+S3,5,14,0.35714285714285715,1,4,0.25,2,3,0.6666666666666666,1,5,0.2,1,2,0.5
CS02,常熟虞山镇,T,S2+S3,3,7,0.42857142857142855,,,,,,,2,5,0.4,1,2,0.5
CS02,常熟虞山镇,TS,S0+S1+S2+S3,9,14,0.6428571428571429,2,4,0.5,2,3,0.6666666666666666,3,5,0.6,2,2,1.0
CS02,常熟虞山镇,Ø,S0+S1+S2+S3,9,14,0.6428571428571429,2,4,0.5,2,3,0.6666666666666666,4,5,0.8,1,2,0.5
CX01,慈溪逍林,K,S0+S1+S2+S3,10,15,0.6666666666666666,2,6,0.3333333333333333,3,4,0.75,3,3,1.0,2,2,1.0
CX01,慈溪逍林,M,S0+S1+S2+S3,4,15,0.26666666666666666,1,6,0.16666666666666666,1,4,0.25,1,3,0.3333333333333333,1,2,0.5
CX01,慈溪逍林,N,S2+S3,2,5,0.4,,,,,,,1,3,0.3333333333333333,1,2,0.5
CX01,慈溪逍林,P,S0+S1+S2+S3,8,15,0.5333333333333333,3,6,0.5,2,4,0.5,2,3,0.6666666666666666,1,2,0.5
CX01,慈溪逍林,T,S2+S3,5,5,1.0,,,,,,,3,3,1.0,2,2,1.0
CX01,慈溪逍林,TS,S0+S1+S2+S3,8,15,0.5333333333333333,3,6,0.5,2,4,0.5,2,3,0.6666666666666666,1,2,0.5
CX01,慈溪逍林,Ø,S0+S1+S2+S3,8,15,0.5333333333333333,2,6,0.3333333333333333,3,4,0.75,2,3,0.6666666666666666,1,2,0.5
CX02,长兴,K,S0+S1+S2+S3,9,13,0.6923076923076923,2,3,0.6666666666666666,2,3,0.6666666666666666,3,4,0.75,2,3,0.6666666666666666
CX02,长兴,M,S0+S1+S2+S3,5,13,0.38461538461538464,1,3,0.3333333333333333,2,3,0.6666666666666666,1,4,0.25,1,3,0.3333333333333333
CX02,长兴,N,S2+S3,3,7,0.42857142857142855,,,,,,,2,4,0.5,1,3,0.3333333333333333
CX02,长兴,P,S0+S1+S2+S3,5,13,0.38461538461538464,1,3,0.3333333333333333,2,3,0.6666666666666666,1,4,0.25,1,3,0.3333333333333333
CX02,长兴,T,S2+S3,4,7,0.5714285714285714,,,,,,,3,4,0.75,1,3,0.3333333333333333
CX02,长兴,TS,S0+S1+S2+S3,6,13,0.46153846153846156,2,3,0.6666666666666666,1,3,0.3333333333333333,2,4,0.5,1,3,0.3333333333333333
CX02,长兴,Ø,S0+S1+S2+S3,7,13,0.5384615384615384,1,3,0.3333333333333333,2,3,0.6666666666666666,2,4,0.5,2,3,0.6666666666666666
CZ01,常州,K,S0+S1+S2+S3,7,15,0.4666666666666667,2,4,0.5,2,3,0.6666666666666666,2,3,0.6666666666666666,1,5,0.2
CZ01,常州,M,S0+S1+S2+S3,7,15,0.4666666666666667,1,4,0.25,2,3,0.6666666666666666,2,3,0.6666666666666666,2,5,0.4
CZ01,常州,N,S2+S3,3,8,0.375,,,,,,,2,3,0.6666666666666666,1,5,0.2
CZ01,常州,P,S0+S1+S2+S3,6,15,0.4,2,4,0.5,2,3,0.6666666666666666,1,3,0.3333333333333333,1,5,0.2
CZ01,常州,T,S2+S3,4,8,0.5,,,,,,,2,3,0.6666666666666666,2,5,0.4
