point_id,point_name,rhyme_modern,rhyme_phonetic_set
AJ01,安吉安城,佳,"a, aʔ, ia, ɷ"
AJ01,安吉安城,戈,"a, u, ɷ"
AJ01,安吉安城,模,"u, ɔ, ɷ"
AJ01,安吉安城,歌,"a, e, u, ɷ"
AJ01,安吉安城,皆,"a, aʔ, ia"
AJ01,安吉安城,麻,"a, ia, u, ɷ"
BL01,北仑城关,佳,"a, e, ia"
BL01,北仑城关,戈,"au, o, øy"
BL01,北仑城关,模,"au, u, ŋ"
BL01,北仑城关,歌,"a, au, o"
BL01,北仑城关,皆,"a, e, ɛ"
BL01,北仑城关,麻,"a, ia, o, uo, øy"
BS01,宝山,佳,"iᴀ, o, ᴀ"
BS01,宝山,戈,u
BS01,宝山,模,u
BS01,宝山,歌,"u, ᴀ"
BS01,宝山,皆,"iᴇ, ᴀ, ᴇ"
BS01,宝山,麻,"ia, o, ᴀ, ᴇ"
BZ01,堡镇,佳,"iɑ, o, ɑ"
BZ01,堡镇,戈,u
BZ01,堡镇,模,u
BZ01,堡镇,歌,"i, u, ɑ"
BZ01,堡镇,皆,"iɑ, ɑ, ɛ"
BZ01,堡镇,麻,"iɑ, o, uo, ɑ, ɔ"
CM01,崇明城关,佳,"iɑ, iɛ, o, ɑ, ɛ"
CM01,崇明城关,戈,"o, u, uo, ŋ"
CM01,崇明城关,模,"u, ŋ, ɔ"
CM01,崇明城关,歌,"i, u, ŋ, ɑ"
CM01,崇明城关,皆,"iɛ, ɑ, ɛ"
CM01,崇明城关,麻,"iɑ, o, uo, æ, ɑ"
CS01,川沙浦东,佳,"iɔ, iᴀ, ᴀ"
CS01,川沙浦东,戈,u
CS01,川沙浦东,模,"iɔ, u"
CS01,川沙浦东,歌,"o, u, ɤ, ᴀ"
CS01,川沙浦东,皆,"iɛ, iᴀ, ᴀ"
CS01,川沙浦东,麻,"iɔ, iᴀ, o, ɔ, ɛ, ᴀ"
CS02,常熟虞山镇,佳,"iᴀ, u, ᴀ"
CS02,常熟虞山镇,戈,"ioʔ, u, ɯ"
CS02,常熟虞山镇,模,"u, ɯ"
CS02,常熟虞山镇,歌,"i, ɯ, ᴀ"
CS02,常熟虞山镇,皆,"ɛ, ᴀ"
