point_id,point_name,token_count,unique_vowel_count,repeat_load,repeat_ratio,unique_vowel_set,S0_unique_vowel_count,S0_vowel_set,S1_unique_vowel_count,S1_vowel_set,S2_unique_vowel_count,S2_vowel_set,S3_unique_vowel_count,S3_vowel_set,subbranch,lat,lon
CX01,慈溪逍林,20,4,16,0.8,"a, o, ou, u",1,a,1,o,1,ou,2,"ou, u",太湖片-临绍小片,30.176553474815535,121.32252733323982
FY01,富阳城关,20,4,16,0.8,"a, o, u, ʊ",1,a,1,o,2,"u, ʊ",2,"u, ʊ",太湖片-临绍小片,30.016640485311385,119.98190231282108
FY02,富阳东梓关,20,4,16,0.8,"a, ia, u, uo",2,"a, ia",1,uo,1,u,1,u,太湖片-临绍小片,29.888746645740536,119.82322508571217
KQ01,柯桥城关,20,3,17,0.85,"a, o, u",1,a,1,o,1,o,1,u,太湖片-临绍小片,29.748521349147794,120.55618144462922
LA01,临安城区,20,3,17,0.85,"a, o, u",1,a,1,o,1,o,2,"o, u",太湖片-临绍小片,30.23315912669765,119.72499020110224
SX01,绍兴城区东头埭,20,3,17,0.85,"a, o, u",1,a,1,o,1,o,1,u,太湖片-临绍小片,29.993518344339964,120.58871374901304
SY02,上虞百官镇,20,4,16,0.8,"o, u, y, ɐ",1,ɐ,1,o,1,o,2,"u, y",太湖片-临绍小片,30.03284284378913,120.86882647540976
SZ02,嵊州长乐,20,4,16,0.8,"a, o, u, ɔ",1,a,1,ɔ,2,"o, ɔ",2,"o, u",太湖片-临绍小片,29.462161931063488,120.6134354682932
SZ03,嵊州崇仁镇,20,3,17,0.85,"a, u, ɤ",1,a,1,ɤ,1,ɤ,1,u,太湖片-临绍小片,29.597058890479932,120.71305579108136
TL01,桐庐镇,20,4,16,0.8,"a, u, uo, yo",1,a,2,"uo, yo",1,u,1,u,太湖片-临绍小片,29.7884967854026,119.68688228167676
XC01,新昌城关,20,4,16,0.8,"a, o, o̞, u",1,a,1,o̞,1,o,2,"o, u",太湖片-临绍小片,29.51218962718775,120.90152839470582
XD01,新登下港,20,5,15,0.75,"a, ia, o, u, yo",2,"a, ia",2,"o, yo",1,u,1,u,太湖片-临绍小片,30.05504419208193,119.70643910381924
