point_id,point_name,unique_vowel_count,token_vowel_count,unique_vowel_set,slot_coverage,S0_slot_unique_vowel_count,S1_slot_unique_vowel_count,S2_slot_unique_vowel_count,S3_slot_unique_vowel_count,S0_slot_token_vowel_count,S1_slot_token_vowel_count,S2_slot_token_vowel_count,S3_slot_token_vowel_count,subbranch,lat,lon
CX01,慈溪逍林,8,295,"a, e, i, ia, o, ou, u, ø","S0,S1,S2,S3",6,4,4,2,44,68,81,102,太湖片-临绍小片,30.176553474815535,121.32252733323982
FY01,富阳城关,8,326,"a, i, ia, o, u, ua, y, ʊ","S0,S1,S2,S3",3,3,8,2,42,68,98,118,太湖片-临绍小片,30.016640485311385,119.98190231282108
FY02,富阳东梓关,7,298,"a, i, ia, o, u, uo, ɔ","S0,S1,S2,S3",4,3,6,1,43,64,83,108,太湖片-临绍小片,29.888746645740536,119.82322508571217
KQ01,柯桥城关,8,361,"a, e, ia, io, o, u, y, ɒ","S0,S1,S2,S3",4,4,4,4,51,76,106,128,太湖片-临绍小片,29.748521349147794,120.55618144462922
LA01,临安城区,4,312,"a, ia, o, u","S0,S1,S2,S3",3,3,3,2,46,66,82,118,太湖片-临绍小片,30.23315912669765,119.72499020110224
SX01,绍兴城区东头埭,9,389,"a, ia, ie, iia, io, o, u, y, ɒ","S0,S1,S2,S3",6,3,5,3,50,76,118,145,太湖片-临绍小片,29.993518344339964,120.58871374901304
SY02,上虞百官镇,7,318,"iɐ, o, u, uo, y, ɐ, ᴇ","S0,S1,S2,S3",4,3,6,3,45,62,94,117,太湖片-临绍小片,30.03284284378913,120.86882647540976
SZ02,嵊州长乐,9,320,"a, i, ia, iɔ, iᴇ, o, u, ɔ, ᴇ","S0,S1,S2,S3",6,3,4,2,42,63,99,116,太湖片-临绍小片,29.462161931063488,120.6134354682932
SZ03,嵊州崇仁镇,4,318,"a, e, u, ɤ","S0,S1,S2,S3",2,2,2,1,42,64,96,116,太湖片-临绍小片,29.597058890479932,120.71305579108136
TL01,桐庐镇,8,298,"a, i, ia, u, uo, y, yo, ɔ","S0,S1,S2,S3",5,5,6,1,43,63,84,108,太湖片-临绍小片,29.7884967854026,119.68688228167676
XC01,新昌城关,5,282,"a, ia, o, o̞, u","S0,S1,S2,S3",3,4,5,2,40,58,84,100,太湖片-临绍小片,29.51218962718775,120.90152839470582
XD01,新登下港,10,334,"a, ai, ia, ie, o, u, ua, y, yo, ɔ","S0,S1,S2,S3",6,5,6,1,46,71,101,116,太湖片-临绍小片,30.05504419208193,119.70643910381924
XH02,萧山城厢,6,322,"a, e, ia, io, o, u","S0,S1,S2,S3",4,4,4,2,45,72,89,116,太湖片-临绍小片,30.184673237617087,120.26218610190767
XS03,萧山南阳镇,4,274,"a, ia, o, u","S0,S1,S2,S3",2,3,2,2,30,63,76,105,太湖片-临绍小片,30.264074721662567,120.44397314596198
YQ01,於潜,5,318,"a, ia, o, u, uo","S0,S1,S2,S3",3,3,3,1,36,74,90,118,太湖片-临绍小片,30.187905243932583,119.39323745469882
YY01,余姚城关,8,334,"a, ia, io, o, ou, u, y, ɥ","S0,S1,S2,S3",2,4,4,4,46,75,96,117,太湖片-临绍小片,30.03828439897687,121.15542443185122
ZJ01,诸暨城关,7,270,"a, ia, io, o, u, y, ɔi","S0,S1,S2,S3",3,5,6,2,35,65,82,88,太湖片-临绍小片,29.7117133107683,120.24004681294583
ZJ02,诸暨璜山镇,8,316,"a, ia, ie, iʊ, u, y, ɤɯ, ʊ","S0,S1,S2,S3",5,4,5,2,44,68,83,121,太湖片-临绍小片,29.571826761282235,120.33308245398152
ZJ03,诸暨直埠镇,5,228,"a, ia, o, ou, u","S0,S1,S2,S3",3,3,4,3,29,48,60,91,太湖片-临绍小片,29.830264930206425,120.2501858189284
HZ01,杭州城区,6,281,"a, i, ia, o, u, y","S0,S1,S2,S3",3,2,5,2,23,66,82,110,太湖片-杭州小片,30.28706827929675,120.1526233988192
PB01,彭埠镇,5,269,"a, ia, o, u, ø","S0,S1,S2,S3",3,3,4,2,28,53,81,107,太湖片-杭州小片,30.289632692039433,120.22871521662924
CZ01,常州,10,322,"a, aɤ, ia, io, o, u, æi, ɔ, ɤɯ, ɥ","S0,S1,S2,S3",4,3,5,5,42,69,99,112,太湖片-毗陵小片,31.817299970768328,119.98167946067193
DB01,郎溪梅渚镇定埠,9,304,"a, iɑ, u, uɤɪ, ɑ, ə, ɷ, ʮ, ᴇ","S0,S1,S2,S3",3,2,5,3,40,70,80,114,太湖片-毗陵小片,31.26422864475738,119.21214886627472
DY01,丹阳,8,258,"ie, iɑ, u, yɑ, æ, ɑ, ɔ, ə","S0,S1,S2,S3",4,2,6,2,29,19,96,114,太湖片-毗陵小片,32.00504378566424,119.60890125492249
HM02,海门四甲,8,343,"i, iɑ, o, yo, ɑ, ɤ, ɯ, ɯo","S0,S1,S2,S3",3,5,4,2,36,70,116,121,太湖片-毗陵小片,32.01135207980153,121.27357135188068
