point_id,point_name,subbranch,core_slots,monophthong_values,monophthong_value_size,monophthong_token_count,monophthong_nuclei,monophthong_nucleus_size,monophthong_nucleus_counts,back_monophthong_values,back_monophthong_value_size,back_monophthong_token_count,back_monophthong_nuclei,back_monophthong_nucleus_size,back_monophthong_nucleus_counts
AJ01,安吉安城,太湖片-苕溪小片,S0+S1+S2+S3,"a, e, u, ɔ, ɷ",5,295,"a, e, u, ɔ, ɷ",5,"u(126), ɷ(98), a(69), e(1), ɔ(1)","u, ɔ, ɷ",3,225,"u, ɔ, ɷ",3,"u(126), ɷ(98), ɔ(1)"
BL01,北仑城关,太湖片-甬江小片,S0+S1+S2+S3,"a, e, o, u, ɛ",5,208,"a, e, o, u, ɛ",5,"u(103), o(54), a(44), e(6), ɛ(1)","o, u",2,157,"o, u",2,"u(103), o(54)"
BS01,宝山,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ᴀ, ᴇ",4,277,"o, u, ᴀ, ᴇ",4,"u(184), ᴀ(54), o(35), ᴇ(4)","o, u",2,219,"o, u",2,"u(184), o(35)"
BZ01,堡镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɑ, ɔ, ɛ",6,236,"i, o, u, ɑ, ɔ, ɛ",6,"u(157), ɑ(45), o(31), i(1), ɔ(1), ɛ(1)","o, u, ɑ, ɔ",4,234,"o, u, ɑ, ɔ",4,"u(157), ɑ(45), o(31), ɔ(1)"
CM01,崇明城关,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, æ, ɑ, ɔ, ɛ",7,323,"i, o, u, æ, ɑ, ɔ, ɛ",7,"u(207), ɑ(60), o(48), ɛ(5), i(1), æ(1), ɔ(1)","o, u, ɑ, ɔ",4,316,"o, u, ɑ, ɔ",4,"u(207), ɑ(60), o(48), ɔ(1)"
CS01,川沙浦东,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɔ, ɛ, ɤ, ᴀ",6,294,"o, u, ɔ, ɛ, ɤ, ᴀ",6,"u(200), ᴀ(63), o(18), ɔ(11), ɤ(1), ɛ(1)","o, u, ɔ, ɤ",4,230,"o, u, ɔ, ɤ",4,"u(200), o(18), ɔ(11), ɤ(1)"
CS02,常熟虞山镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, u, ɛ, ɯ, ᴀ",5,268,"i, u, ɛ, ɯ, ᴀ",5,"ɯ(113), u(105), ᴀ(47), ɛ(2), i(1)","u, ɯ",2,218,"u, ɯ",2,"ɯ(113), u(105)"
CX01,慈溪逍林,太湖片-临绍小片,S0+S1+S2+S3,"a, e, o, u, ø",5,197,"a, e, o, u, ø",5,"u(91), o(62), a(42), ø(1), e(1)","o, u",2,153,"o, u",2,"u(91), o(62)"
CX02,长兴,太湖片-苕溪小片,S0+S1+S2+S3,"a, o, u",3,140,"a, o, u",3,"a(56), o(47), u(37)","o, u",2,84,"o, u",2,"o(47), u(37)"
CZ01,常州,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u",3,201,"a, o, u",3,"u(99), o(59), a(43)","o, u",2,158,"o, u",2,"u(99), o(59)"
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,S0+S1+S2+S3,"a, u, ɑ, ɷ, ᴇ",5,278,"a, u, ɑ, ɷ, ᴇ",5,"ɷ(103), u(73), ɑ(66), ᴇ(35), a(1)","u, ɑ, ɷ",3,242,"u, ɑ, ɷ",3,"ɷ(103), u(73), ɑ(66)"
DQ01,德清乾元,太湖片-苕溪小片,S0+S1+S2+S3,"a, u, ɔ, ᴇ",4,307,"a, u, ɔ, ᴇ",4,"u(199), a(56), ɔ(49), ᴇ(3)","u, ɔ",2,248,"u, ɔ",2,"u(199), ɔ(49)"
DS01,岱山岱西镇,太湖片-甬江小片,S0+S1+S2+S3,"a, e, o, u, ɔ, ɵ, ᴇ",7,228,"a, e, o, u, ɔ, ɵ, ᴇ",7,"u(113), o(59), a(47), ɔ(3), ᴇ(3), ɵ(2), e(1)","o, u, ɔ",3,175,"o, u, ɔ",3,"u(113), o(59), ɔ(3)"
DY01,丹阳,太湖片-毗陵小片,S0+S1+S2+S3,"u, æ, ɑ, ɔ, ə",5,284,"u, æ, ɑ, ɔ, ə",5,"ə(101), u(101), ɑ(65), æ(16), ɔ(1)","u, ɑ, ɔ",3,167,"u, ɑ, ɔ",3,"u(101), ɑ(65), ɔ(1)"
FC01,奉城,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɑ, ɔ, ɯ",6,237,"i, o, u, ɑ, ɔ, ɯ",6,"u(142), ɑ(46), o(41), ɔ(6), i(1), ɯ(1)","o, u, ɑ, ɔ, ɯ",5,236,"o, u, ɑ, ɔ, ɯ",5,"u(142), ɑ(46), o(41), ɔ(6), ɯ(1)"
FH01,奉化西坞,太湖片-甬江小片,S0+S1+S2+S3,"a, o, u, y, ɛ",5,204,"a, o, u, y, ɛ",5,"u(100), o(61), a(38), y(4), ɛ(1)","o, u",2,161,"o, u",2,"u(100), o(61)"
FJ01,枫泾镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɔ, ɛ, ɤ, ᴀ",6,212,"o, u, ɔ, ɛ, ɤ, ᴀ",6,"u(115), ᴀ(56), o(36), ɔ(2), ɛ(2), ɤ(1)","o, u, ɔ, ɤ",4,154,"o, u, ɔ, ɤ",4,"u(115), o(36), ɔ(2), ɤ(1)"
