point_id,point_name,subbranch,core_slots,monophthong_values,monophthong_value_size,monophthong_token_count,monophthong_nuclei,monophthong_nucleus_size,monophthong_nucleus_counts,back_monophthong_values,back_monophthong_value_size,back_monophthong_token_count,back_monophthong_nuclei,back_monophthong_nucleus_size,back_monophthong_nucleus_counts,s4_slot_in_data,s4_rhyme_in_data,s4_initial,s4_value_counts,s4_total_token_count,s4_monophthong_token_count,s4_monophthong_token_share,s4_dominant_value,s4_dominant_value_class,s4_dominant_nucleus,s4_dominant_nucleus_category,s4_dominant_token_count,s4_dominant_token_share,s4_status,s4_monophthong_values,s4_monophthong_nuclei,s4_back_monophthong_nuclei,s4_diphthong_or_glide_values,s4_other_values,s4_monophthong_nuclei_in_core,s4_monophthong_nuclei_in_core_back,s4_monophthong_nuclei_not_in_core,s4_core_relation,s4_map_category
AJ01,安吉安城,太湖片-苕溪小片,S0+S1+S2+S3,"a, e, u, ɔ, ɷ",5,295,"a, e, u, ɔ, ɷ",5,"u(126), ɷ(98), a(69), e(1), ɔ(1)","u, ɔ, ɷ",3,225,"u, ɔ, ɷ",3,"u(126), ɷ(98), ɔ(1)",S4,侯,*əu,e(56),56,56,1.0,e,monophthong,e,e_like,56,1.0,monophthong_only,e,e,,,,e,,,all_s4_mono_in_core_inventory,e类单音化
BL01,北仑城关,太湖片-甬江小片,S0+S1+S2+S3,"a, e, o, u, ɛ",5,208,"a, e, o, u, ɛ",5,"u(103), o(54), a(44), e(6), ɛ(1)","o, u",2,157,"o, u",2,"u(103), o(54)",S4,侯,*əu,øy(55),55,0,0.0,øy,diphthong_or_glide,,,55,1.0,diphthong_or_glide_only,,,,øy,,,,,no_s4_monophthong,未单音化
BS01,宝山,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ᴀ, ᴇ",4,277,"o, u, ᴀ, ᴇ",4,"u(184), ᴀ(54), o(35), ᴇ(4)","o, u",2,219,"o, u",2,"u(184), o(35)",S4,侯,*əu,"ɤe(35), ɤ(10)",45,10,0.2222222222222222,ɤe,diphthong_or_glide,,,35,0.7777777777777778,mixed_mono_and_diphthong,ɤ,ɤ,ɤ,ɤe,,,,ɤ,s4_mono_outside_core_inventory,混合
BZ01,堡镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɑ, ɔ, ɛ",6,236,"i, o, u, ɑ, ɔ, ɛ",6,"u(157), ɑ(45), o(31), i(1), ɔ(1), ɛ(1)","o, u, ɑ, ɔ",4,234,"o, u, ɑ, ɔ",4,"u(157), ɑ(45), o(31), ɔ(1)",S4,侯,*əu,ɵ(42),42,42,1.0,ɵ,monophthong,ɵ,front_rounded,42,1.0,monophthong_only,ɵ,ɵ,,,,,,ɵ,s4_mono_outside_core_inventory,ø/ɵ/y类单音化
CM01,崇明城关,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, æ, ɑ, ɔ, ɛ",7,323,"i, o, u, æ, ɑ, ɔ, ɛ",7,"u(207), ɑ(60), o(48), ɛ(5), i(1), æ(1), ɔ(1)","o, u, ɑ, ɔ",4,316,"o, u, ɑ, ɔ",4,"u(207), ɑ(60), o(48), ɔ(1)",S4,侯,*əu,ɵ(62),62,62,1.0,ɵ,monophthong,ɵ,front_rounded,62,1.0,monophthong_only,ɵ,ɵ,,,,,,ɵ,s4_mono_outside_core_inventory,ø/ɵ/y类单音化
CS01,川沙浦东,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɔ, ɛ, ɤ, ᴀ",6,294,"o, u, ɔ, ɛ, ɤ, ᴀ",6,"u(200), ᴀ(63), o(18), ɔ(11), ɤ(1), ɛ(1)","o, u, ɔ, ɤ",4,230,"o, u, ɔ, ɤ",4,"u(200), o(18), ɔ(11), ɤ(1)",S4,侯,*əu,ɤ(56),56,56,1.0,ɤ,monophthong,ɤ,back_unrounded,56,1.0,monophthong_only,ɤ,ɤ,ɤ,,,ɤ,ɤ,,all_s4_mono_in_core_back_inventory,ɤ/ɯ类单音化
CS02,常熟虞山镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, u, ɛ, ɯ, ᴀ",5,268,"i, u, ɛ, ɯ, ᴀ",5,"ɯ(113), u(105), ᴀ(47), ɛ(2), i(1)","u, ɯ",2,218,"u, ɯ",2,"ɯ(113), u(105)",S4,侯,*əu,ᴇ(49),49,49,1.0,ᴇ,monophthong,ᴇ,e_like,49,1.0,monophthong_only,ᴇ,ᴇ,,,,,,ᴇ,s4_mono_outside_core_inventory,e类单音化
CX01,慈溪逍林,太湖片-临绍小片,S0+S1+S2+S3,"a, e, o, u, ø",5,197,"a, e, o, u, ø",5,"u(91), o(62), a(42), ø(1), e(1)","o, u",2,153,"o, u",2,"u(91), o(62)",S4,侯,*əu,"ø(43), iø(1)",44,43,0.9772727272727273,ø,monophthong,ø,front_rounded,43,0.9772727272727273,mixed_mono_and_diphthong,ø,ø,,iø,,ø,,,all_s4_mono_in_core_inventory,混合
CX02,长兴,太湖片-苕溪小片,S0+S1+S2+S3,"a, o, u",3,140,"a, o, u",3,"a(56), o(47), u(37)","o, u",2,84,"o, u",2,"o(47), u(37)",S4,侯,*əu,ei(32),32,0,0.0,ei,diphthong_or_glide,,,32,1.0,diphthong_or_glide_only,,,,ei,,,,,no_s4_monophthong,未单音化
CZ01,常州,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u",3,201,"a, o, u",3,"u(99), o(59), a(43)","o, u",2,158,"o, u",2,"u(99), o(59)",S4,侯,*əu,"ei(55), eu(1)",56,0,0.0,ei,diphthong_or_glide,,,55,0.9821428571428571,diphthong_or_glide_only,,,,"ei, eu",,,,,no_s4_monophthong,未单音化
