point_id,point_name,onset_class,chain_slot,phonetic_frequency
AJ01,安吉安城, K,S0,"a(13), ia(4)"
AJ01,安吉安城, K,S1,"a(16), ia(4)"
AJ01,安吉安城, K,S2,"ɷ(13), u(3), a(1), e(1)"
AJ01,安吉安城, K,S3,u(7)
AJ01,安吉安城, M,S0,a(3)
AJ01,安吉安城, M,S1,"u(5), a(2), ɷ(1)"
AJ01,安吉安城, M,S2,u(3)
AJ01,安吉安城, M,S3,"u(2), ɔ(1)"
AJ01,安吉安城, N,S0,a(1)
AJ01,安吉安城, N,S1,"a(1), ɷ(1)"
AJ01,安吉安城, N,S2,"ɷ(15), a(2)"
AJ01,安吉安城, N,S3,ɷ(6)
AJ01,安吉安城, P,S0,"a(6), ɷ(2)"
AJ01,安吉安城, P,S1,"ɷ(11), a(8)"
AJ01,安吉安城, P,S2,"u(12), a(1)"
AJ01,安吉安城, P,S3,u(19)
AJ01,安吉安城, T,S2,"ɷ(11), u(6), a(1)"
AJ01,安吉安城, T,S3,u(21)
AJ01,安吉安城, Ø,S0,"a(5), aʔ(1)"
AJ01,安吉安城, Ø,S1,"ɷ(9), ia(4)"
AJ01,安吉安城, Ø,S2,u(14)
AJ01,安吉安城, Ø,S3,u(19)
AJ01,安吉安城,TS,S1,ɷ(2)
AJ01,安吉安城,TS,S2,"ɷ(8), u(3)"
AJ01,安吉安城,TS,S3,"u(12), ɷ(4)"
AJ01,安吉安城,TS*,S0,"a(8), ɷ(1), aʔ(1)"
AJ01,安吉安城,TS*,S1,"ɷ(14), a(1)"
BL01,北仑城关, K,S0,"a(13), e(3), ia(3)"
BL01,北仑城关, K,S1,"o(14), ia(3)"
BL01,北仑城关, K,S2,"au(23), o(1)"
BL01,北仑城关, K,S3,"u(25), ŋ(1)"
BL01,北仑城关, M,S0,"a(2), ɛ(1)"
BL01,北仑城关, M,S1,o(6)
BL01,北仑城关, M,S2,au(5)
BL01,北仑城关, M,S3,au(7)
BL01,北仑城关, N,S0,a(2)
BL01,北仑城关, N,S2,"au(11), a(2), o(1)"
BL01,北仑城关, N,S3,"u(13), au(1)"
BL01,北仑城关, P,S0,a(7)
BL01,北仑城关, P,S1,"o(12), øy(1)"
BL01,北仑城关, P,S2,"au(10), øy(1)"
BL01,北仑城关, P,S3,u(17)
BL01,北仑城关, T,S2,"au(12), a(3), o(3)"
BL01,北仑城关, T,S3,u(20)
BL01,北仑城关, Ø,S0,"a(6), e(2)"
BL01,北仑城关, Ø,S1,"uo(12), ia(3)"
BL01,北仑城关, Ø,S2,au(17)
BL01,北仑城关, Ø,S3,u(17)
BL01,北仑城关,TS,S1,o(2)
BL01,北仑城关,TS,S2,"au(10), o(1)"
BL01,北仑城关,TS,S3,"u(11), au(2)"
BL01,北仑城关,TS*,S0,"a(8), e(1)"
BL01,北仑城关,TS*,S1,"o(14), a(1)"
BS01,宝山, K,S0,"ᴀ(13), iᴀ(1)"
BS01,宝山, K,S1,"ᴀ(15), ia(1)"
BS01,宝山, K,S2,u(19)
BS01,宝山, K,S3,u(25)
BS01,宝山, M,S0,ᴀ(3)
BS01,宝山, M,S1,"o(5), ᴀ(1)"
BS01,宝山, M,S2,u(4)
BS01,宝山, M,S3,u(6)
BS01,宝山, N,S0,ᴀ(1)
BS01,宝山, N,S1,ᴇ(1)
BS01,宝山, N,S2,u(8)
BS01,宝山, N,S3,u(12)
BS01,宝山, P,S0,ᴀ(7)
BS01,宝山, P,S1,"o(11), ᴀ(1)"
BS01,宝山, P,S2,u(9)
BS01,宝山, P,S3,u(18)
BS01,宝山, T,S2,"u(13), ᴀ(1)"
BS01,宝山, T,S3,u(20)
BS01,宝山, Ø,S0,"ᴀ(5), iᴇ(1), ᴇ(1)"
BS01,宝山, Ø,S1,"ia(6), o(6)"
