point_id,point_name,onset_class,S0,S1,S2,S3
AJ01,安吉安城,K,"a(13), ia(4)","a(16), ia(4)","ɷ(14), u(3), a(2), e(1)",u(7)
AJ01,安吉安城,M,a(3),"u(5), a(2), ɷ(1)",u(3),"u(2), ɔ(1)"
AJ01,安吉安城,N,,,"ɷ(15), a(2)",ɷ(6)
AJ01,安吉安城,P,"a(6), ɷ(2)","ɷ(11), a(8)","u(12), a(1)",u(19)
AJ01,安吉安城,T,,,"ɷ(11), u(6), a(1)",u(21)
AJ01,安吉安城,TS,"a(8), aʔ(1), ɷ(1)","ɷ(16), a(1)","ɷ(8), u(3)","u(12), ɷ(4)"
AJ01,安吉安城,Ø,"a(5), aʔ(1)","ɷ(9), ia(4)","u(14), i(1)",u(19)
BL01,北仑,K,"a(13), e(3), ia(3)","o(14), ia(3)","au(23), e(1), o(1)","u(25), ŋ(1)"
BL01,北仑,M,"a(2), ɛ(1)",o(6),au(5),au(7)
BL01,北仑,N,,,"au(11), a(2), o(1)","u(13), au(1)"
BL01,北仑,P,a(7),"o(12), øy(1)","au(10), øy(1)",u(17)
BL01,北仑,T,,,"au(12), a(3), o(3)",u(20)
BL01,北仑,TS,"a(8), e(1)","o(16), a(1)","au(10), o(1)","u(11), au(2)"
BL01,北仑,Ø,"a(6), e(2)","uo(12), ia(3)",au(17),u(17)
BS01,宝山,K,"ᴀ(13), iᴀ(1)","ᴀ(15), ia(1)","u(19), ᴀ(1)",u(25)
BS01,宝山,M,ᴀ(3),"o(5), ᴀ(1)",u(4),u(6)
BS01,宝山,N,,,u(8),u(12)
BS01,宝山,P,ᴀ(7),"o(11), ᴀ(1)",u(9),u(18)
BS01,宝山,T,,,"u(13), ᴀ(1)",u(20)
BS01,宝山,TS,"ᴀ(6), ᴇ(2), o(1)","o(12), ᴀ(1)",u(8),u(13)
BS01,宝山,Ø,"ᴀ(5), iᴇ(1), ᴇ(1)","ia(6), o(6)","u(13), y(1)",u(16)
BZ01,堡镇,K,"iɑ(5), ɑ(5)","ɑ(12), iɑ(4)","u(19), ɑ(1)",u(23)
BZ01,堡镇,M,ɑ(3),"o(5), ɑ(1)",u(5),u(6)
BZ01,堡镇,N,,,u(6),u(10)
BZ01,堡镇,P,ɑ(7),"o(8), ɑ(1)",u(5),u(14)
BZ01,堡镇,T,,,"u(7), ɑ(3)",u(20)
BZ01,堡镇,TS,"ɑ(5), o(2), ɛ(1)","o(11), ɑ(1)","u(8), i(1)",u(11)
BZ01,堡镇,Ø,ɑ(6),"o(5), iɑ(3), uo(1)",u(12),u(11)
CM01,崇明城桥,K,"ɑ(14), iɑ(3), iɛ(1), ɛ(1)","ɑ(12), iɑ(1)","u(19), ŋ(7), o(1), uo(1), ɑ(1)","u(24), ŋ(2)"
CM01,崇明城桥,M,ɑ(3),"o(6), ɑ(1)",u(4),"u(7), ɔ(1)"
CM01,崇明城桥,N,,,"u(11), ɑ(3)",u(17)
CM01,崇明城桥,P,"ɑ(7), o(1)","o(14), ɑ(1)",u(9),u(17)
CM01,崇明城桥,T,,,"u(19), ɑ(4)",u(20)
CM01,崇明城桥,TS,"ɑ(6), o(1)","o(18), ɑ(1)","u(11), i(1)",u(13)
CM01,崇明城桥,Ø,"ɑ(6), ɛ(4), iɛ(2)","o(7), iɑ(4), uo(2)",u(15),u(21)
CS01,川沙浦东,K,"ᴀ(13), iᴀ(4)","ᴀ(16), iᴀ(1)","u(21), o(1), ɤ(1), ᴀ(1)",u(25)
CS01,川沙浦东,M,ᴀ(3),"o(4), ᴀ(1)",u(4),u(7)
CS01,川沙浦东,N,,,"u(9), ᴀ(2)",u(14)
CS01,川沙浦东,P,ᴀ(7),"o(12), ᴀ(1)",u(9),u(18)
CS01,川沙浦东,T,,,"u(13), ᴀ(4)",u(21)
CS01,川沙浦东,TS,"ᴀ(8), iɔ(1)","iɔ(15), ᴀ(1)",u(12),"u(12), iɔ(1)"
CS01,川沙浦东,Ø,"ᴀ(6), iɛ(1)","ɔ(10), iᴀ(3), o(1)","u(16), iu(1)",u(19)
CS02,常熟虞山镇,K,"ᴀ(8), iᴀ(2)","ᴀ(13), iᴀ(3)","ɯ(21), ᴀ(1)","u(17), ɯ(1)"
CS02,常熟虞山镇,M,"ᴀ(2), ɛ(1)","u(5), ᴀ(1)",u(4),u(4)
CS02,常熟虞山镇,N,,,ɯ(10),ɯ(11)
CS02,常熟虞山镇,P,ᴀ(8),"u(10), ᴀ(2)",u(7),u(16)
CS02,常熟虞山镇,T,,,"ɯ(14), ᴀ(1)",ɯ(19)
CS02,常熟虞山镇,TS,"ᴀ(4), u(2)","u(16), ᴀ(1)","ɯ(11), i(1), u(1)","ɯ(12), u(1)"
CS02,常熟虞山镇,Ø,"ᴀ(6), ɛ(1)","u(8), iᴀ(6)","ɯ(14), ioʔ(1), iɯ(1), y(1)",u(13)
CX01,慈溪逍林,K,"a(11), ia(5)","o(12), ia(5), a(1)","ou(20), a(1), iɛ(1)","u(20), ou(2)"
CX01,慈溪逍林,M,a(3),o(7),ou(5),ou(7)
CX01,慈溪逍林,N,,,ou(8),u(14)
CX01,慈溪逍林,P,"a(6), ou(1), u(1)","o(13), a(1)","ou(9), a(1)",u(18)
CX01,慈溪逍林,T,,,"ou(8), a(2), o(1)","u(20), ou(2)"
CX01,慈溪逍林,TS,"a(8), e(1), o(1)","o(15), a(2)","ou(7), o(4)",ou(3)
CX01,慈溪逍林,Ø,"a(6), ia(2)","o(8), ia(3), ø(1)","ou(15), o(1)",u(18)
CX02,长兴,K,"a(10), ia(5)","a(11), ia(2)","əu(13), a(1), o(1)","əu(13), u(4)"
CX02,长兴,M,a(3),"a(3), o(3)",o(3),o(4)
CX02,长兴,N,,,"əu(7), a(2)",əu(11)
CX02,长兴,P,a(7),"o(11), a(2)",u(8),u(16)
CX02,长兴,T,,,"əu(9), a(2), o(2)",əu(18)
CX02,长兴,TS,"a(8), o(1)",o(15),"əu(8), a(2)",əu(11)
CX02,长兴,Ø,a(3),"o(7), ia(3)","u(2), əu(2)","u(7), əu(1)"
CZ01,常州,K,"a(10), ia(7)","ia(17), o(10)","ɤɯ(23), ia(1)",u(28)
CZ01,常州,M,a(3),"o(6), a(2)","ɤɯ(4), o(1)","ɤɯ(4), aɤ(1)"
CZ01,常州,N,,,"ɤɯ(12), a(2)",u(16)
CZ01,常州,P,"a(7), o(1)","o(13), a(1)",ɤɯ(12),u(17)
CZ01,常州,T,,,"ɤɯ(17), a(2)","u(20), ɤɯ(1)"
CZ01,常州,TS,"a(8), o(1), æi(1)","o(19), a(1)",ɤɯ(9),"ɥ(7), ɤɯ(2)"
CZ01,常州,Ø,"a(6), ia(4), æi(1)","ia(8), o(7)","ɤɯ(15), io(1)","u(18), ɔʔ(1)"
DB01,郎溪梅渚镇定埠,K,"ᴇ(11), iɑ(2)","ɑ(11), iɑ(4)","ɷ(17), əʔ(1)",u(25)
DB01,郎溪梅渚镇定埠,M,ᴇ(3),ɑ(7),ɷ(5),ɷ(7)
DB01,郎溪梅渚镇定埠,N,,,"ɷ(9), ɑ(2)",u(13)
DB01,郎溪梅渚镇定埠,P,"ᴇ(5), ɑ(2)",ɑ(15),"ɷ(9), əʔ(1)",u(17)
DB01,郎溪梅渚镇定埠,T,,,"ɷ(11), a(1), ɑ(1)",ɷ(20)
DB01,郎溪梅渚镇定埠,TS,"ᴇ(8), ɑ(1)","ɑ(17), iɑ(1)",ɷ(10),"ʮ(11), ɷ(3)"
DB01,郎溪梅渚镇定埠,Ø,ᴇ(7),"ɑ(9), iɑ(5)","ɷ(12), uɤɪ(1)",u(18)
DQ01,德清乾元,K,"a(10), ia(6)","a(14), ia(5), ɔ(1)","u(21), a(1), oʔ(1), ɔ(1)",u(22)
DQ01,德清乾元,M,a(3),"ɔ(6), u(1)",u(5),u(7)
DQ01,德清乾元,N,,,"u(10), aʔ(1), ɔ(1)",u(13)
DQ01,德清乾元,P,"a(8), ɔ(1)","ɔ(12), a(1)","u(9), ᴇ(2)",u(17)
DQ01,德清乾元,T,,,"u(15), a(3), ɔ(1)",u(20)
DQ01,德清乾元,TS,a(8),"ɔ(17), a(1)",u(11),"u(12), oʔ(1)"
DQ01,德清乾元,Ø,"a(6), ia(1)","ɔ(8), ia(4)","u(18), a(1), i(1)",u(18)
DS01,岱山岱西镇,K,"a(12), ia(3), ᴇ(1)","o(9), ia(6), a(1), ɵ(1)","ɐu(19), a(1), o(1), ɵ(1)",u(25)
DS01,岱山岱西镇,M,a(2),"o(7), a(1), ɔ(1)",ɐu(5),ɐu(7)
DS01,岱山岱西镇,N,,,"ɐu(10), a(3), ɔ(2)","u(14), ɐu(2)"
DS01,岱山岱西镇,P,"a(7), o(1)","o(13), a(1)",ɐu(11),u(20)
DS01,岱山岱西镇,T,,,"ɐu(11), a(2), o(2), u(1)",u(21)
DS01,岱山岱西镇,TS,"a(7), ᴇ(2), o(1)","o(15), a(3)",ɐu(11),"u(10), ɐu(2)"
DS01,岱山岱西镇,Ø,"a(6), iᴇ(1)","o(9), ia(4)","ɐu(12), o(1), u(1)",u(21)
DY01,丹阳,K,"ɑ(9), ie(4), iɑ(3), æ(2)","iɑ(16), ɑ(1)","ə(21), iɑ(1), æʔ(1)",u(24)
DY01,丹阳,M,"æ(3), ɑ(3)",ɑ(6),ə(4),ə(8)
DY01,丹阳,N,,,"ə(15), ɑ(2), ɔ(1)","u(13), ə(1)"
DY01,丹阳,P,"ɑ(6), æ(5)",ɑ(9),ə(10),u(16)
