point_id,point_name,rhyme_modern,phonetic,char_count,example_chars
AJ01,安吉安城,佳,a,21,共 21 个例字
AJ01,安吉安城,佳,aʔ,1,柴
AJ01,安吉安城,佳,ia,1,佳
AJ01,安吉安城,佳,ɷ,3,稗 / 罢 / 钗
AJ01,安吉安城,戈,a,1,破
AJ01,安吉安城,戈,u,33,共 33 个例字
AJ01,安吉安城,戈,ɷ,19,共 19 个例字
AJ01,安吉安城,模,u,74,共 74 个例字
AJ01,安吉安城,模,ɔ,1,姥
AJ01,安吉安城,模,ɷ,10,共 10 个例字
AJ01,安吉安城,歌,a,4,他 / 哥 / 哪 / 那
AJ01,安吉安城,歌,e,1,个
AJ01,安吉安城,歌,u,5,共 5 个例字
AJ01,安吉安城,歌,ɷ,27,共 27 个例字
AJ01,安吉安城,皆,a,13,共 13 个例字
AJ01,安吉安城,皆,aʔ,1,骇
AJ01,安吉安城,皆,ia,3,皆 / 稭 / 阶
AJ01,安吉安城,麻,a,27,共 27 个例字
AJ01,安吉安城,麻,ia,8,共 8 个例字
AJ01,安吉安城,麻,u,5,共 5 个例字
AJ01,安吉安城,麻,ɷ,35,共 35 个例字
BL01,北仑城关,佳,a,23,共 23 个例字
BL01,北仑城关,佳,e,2,懈 / 捱
BL01,北仑城关,佳,ia,3,佳 / 崖 / 涯
BL01,北仑城关,戈,au,54,共 54 个例字
BL01,北仑城关,戈,o,3,朵 / 蓑 / 躲
BL01,北仑城关,戈,øy,1,婆
BL01,北仑城关,模,au,9,共 9 个例字
BL01,北仑城关,模,u,99,共 99 个例字
BL01,北仑城关,模,ŋ,1,五
BL01,北仑城关,歌,a,5,共 5 个例字
BL01,北仑城关,歌,au,28,共 28 个例字
BL01,北仑城关,歌,o,3,哪 / 大 / 我
BL01,北仑城关,皆,a,13,共 13 个例字
BL01,北仑城关,皆,e,4,斋 / 械 / 皆 / 骇
BL01,北仑城关,皆,ɛ,1,埋
BL01,北仑城关,麻,a,1,洒
BL01,北仑城关,麻,ia,6,共 6 个例字
BL01,北仑城关,麻,o,46,共 46 个例字
BL01,北仑城关,麻,uo,10,共 10 个例字
BL01,北仑城关,麻,øy,1,巴
BS01,宝山,佳,iᴀ,1,佳
BS01,宝山,佳,o,1,晒
BS01,宝山,佳,ᴀ,21,共 21 个例字
BS01,宝山,戈,u,43,共 43 个例字
BS01,宝山,模,u,104,共 104 个例字
BS01,宝山,歌,u,26,共 26 个例字
BS01,宝山,歌,ᴀ,1,他
BS01,宝山,皆,iᴇ,1,械
BS01,宝山,皆,ᴀ,12,共 12 个例字
BS01,宝山,皆,ᴇ,3,挨 / 斋 / 豺
BS01,宝山,麻,ia,7,共 7 个例字
BS01,宝山,麻,o,31,共 31 个例字
BS01,宝山,麻,ᴀ,17,共 17 个例字
BS01,宝山,麻,ᴇ,1,拿
BZ01,堡镇,佳,iɑ,2,佳 / 涯
BZ01,堡镇,佳,o,2,晒 / 钗
BZ01,堡镇,佳,ɑ,17,共 17 个例字
BZ01,堡镇,戈,u,36,共 36 个例字
BZ01,堡镇,模,u,90,共 90 个例字
BZ01,堡镇,歌,i,1,左
BZ01,堡镇,歌,u,22,共 22 个例字
BZ01,堡镇,歌,ɑ,3,他 / 大 / 拖
BZ01,堡镇,皆,iɑ,3,届 / 皆 / 阶
BZ01,堡镇,皆,ɑ,8,共 8 个例字
BZ01,堡镇,皆,ɛ,1,豺
BZ01,堡镇,麻,iɑ,7,共 7 个例字
BZ01,堡镇,麻,o,26,共 26 个例字
BZ01,堡镇,麻,uo,1,丫
BZ01,堡镇,麻,ɑ,14,共 14 个例字
BZ01,堡镇,麻,ɔ,1,拿
CM01,崇明城关,佳,iɑ,3,佳 / 崖 / 涯
CM01,崇明城关,佳,iɛ,1,懈
CM01,崇明城关,佳,o,2,晒 / 罢
CM01,崇明城关,佳,ɑ,20,共 20 个例字
CM01,崇明城关,佳,ɛ,2,懈 / 隘
CM01,崇明城关,戈,o,1,讹
CM01,崇明城关,戈,u,55,共 55 个例字
CM01,崇明城关,戈,uo,1,讹
CM01,崇明城关,戈,ŋ,1,卧
CM01,崇明城关,模,u,113,共 113 个例字
CM01,崇明城关,模,ŋ,2,吾 / 梧
CM01,崇明城关,模,ɔ,1,姥
CM01,崇明城关,歌,i,1,左
CM01,崇明城关,歌,u,27,共 27 个例字
CM01,崇明城关,歌,ŋ,6,共 6 个例字
CM01,崇明城关,歌,ɑ,7,共 7 个例字
CM01,崇明城关,皆,iɛ,2,械 / 谐
CM01,崇明城关,皆,ɑ,16,共 16 个例字
CM01,崇明城关,皆,ɛ,3,械 / 谐 / 骇
CM01,崇明城关,麻,iɑ,5,共 5 个例字
CM01,崇明城关,麻,o,41,共 41 个例字
CM01,崇明城关,麻,uo,2,丫 / 鸦
CM01,崇明城关,麻,æ,1,拿
CM01,崇明城关,麻,ɑ,14,共 14 个例字
