rule_group,antecedent,consequent,total_point_count,antecedent_point_count,joint_point_count,confidence,exception_count,exception_points
onset,Ø声母条件有清晰裂化,K声母条件有清晰裂化,82,26,26,1.0,0,
onset,N声母条件有清晰裂化,K声母条件有清晰裂化,82,25,25,1.0,0,
onset,N声母条件有清晰裂化,T声母条件有清晰裂化,82,25,25,1.0,0,
onset,N声母条件有清晰裂化,TS声母条件有清晰裂化,82,25,25,1.0,0,
onset,N声母条件有清晰裂化,Ø声母条件有清晰裂化,82,25,25,1.0,0,
onset,T声母条件有清晰裂化,K声母条件有清晰裂化,82,25,25,1.0,0,
onset,T声母条件有清晰裂化,N声母条件有清晰裂化,82,25,25,1.0,0,
onset,T声母条件有清晰裂化,TS声母条件有清晰裂化,82,25,25,1.0,0,
onset,T声母条件有清晰裂化,Ø声母条件有清晰裂化,82,25,25,1.0,0,
onset,TS声母条件有清晰裂化,K声母条件有清晰裂化,82,25,25,1.0,0,
onset,TS声母条件有清晰裂化,N声母条件有清晰裂化,82,25,25,1.0,0,
onset,TS声母条件有清晰裂化,T声母条件有清晰裂化,82,25,25,1.0,0,
onset,TS声母条件有清晰裂化,Ø声母条件有清晰裂化,82,25,25,1.0,0,
onset,M声母条件有清晰裂化,K声母条件有清晰裂化,82,17,17,1.0,0,
onset,M声母条件有清晰裂化,N声母条件有清晰裂化,82,17,17,1.0,0,
onset,M声母条件有清晰裂化,T声母条件有清晰裂化,82,17,17,1.0,0,
onset,M声母条件有清晰裂化,TS声母条件有清晰裂化,82,17,17,1.0,0,
onset,M声母条件有清晰裂化,Ø声母条件有清晰裂化,82,17,17,1.0,0,
onset,P声母条件有清晰裂化,K声母条件有清晰裂化,82,13,13,1.0,0,
onset,P声母条件有清晰裂化,M声母条件有清晰裂化,82,13,13,1.0,0,
onset,P声母条件有清晰裂化,N声母条件有清晰裂化,82,13,13,1.0,0,
onset,P声母条件有清晰裂化,T声母条件有清晰裂化,82,13,13,1.0,0,
onset,P声母条件有清晰裂化,TS声母条件有清晰裂化,82,13,13,1.0,0,
onset,P声母条件有清晰裂化,Ø声母条件有清晰裂化,82,13,13,1.0,0,
onset,Ø声母条件有清晰裂化,N声母条件有清晰裂化,82,26,25,0.9615384615384616,1,HM02:海门四甲
onset,Ø声母条件有清晰裂化,T声母条件有清晰裂化,82,26,25,0.9615384615384616,1,HM02:海门四甲
onset,Ø声母条件有清晰裂化,TS声母条件有清晰裂化,82,26,25,0.9615384615384616,1,HM02:海门四甲
onset,K声母条件有清晰裂化,Ø声母条件有清晰裂化,82,28,26,0.9285714285714286,2,FJ01:枫泾镇 | SJ02:泗泾
onset,K声母条件有清晰裂化,N声母条件有清晰裂化,82,28,25,0.8928571428571429,3,FJ01:枫泾镇 | HM02:海门四甲 | SJ02:泗泾
onset,K声母条件有清晰裂化,T声母条件有清晰裂化,82,28,25,0.8928571428571429,3,FJ01:枫泾镇 | HM02:海门四甲 | SJ02:泗泾
onset,K声母条件有清晰裂化,TS声母条件有清晰裂化,82,28,25,0.8928571428571429,3,FJ01:枫泾镇 | HM02:海门四甲 | SJ02:泗泾
slot,S3有清晰裂化,S2有清晰裂化,82,27,27,1.0,0,
slot,S2有清晰裂化,S3有清晰裂化,82,27,27,1.0,0,
slot,S0有清晰裂化,S2有清晰裂化,82,1,1,1.0,0,
slot,S0有清晰裂化,S3有清晰裂化,82,1,1,1.0,0,
slot,S0或S1有清晰裂化,S2有清晰裂化,82,3,2,0.6666666666666666,1,HM02:海门四甲
slot,S0或S1有清晰裂化,S3有清晰裂化,82,3,2,0.6666666666666666,1,HM02:海门四甲
slot,S1有清晰裂化,S2有清晰裂化,82,2,1,0.5,1,HM02:海门四甲
slot,S1有清晰裂化,S3有清晰裂化,82,2,1,0.5,1,HM02:海门四甲
slot,S2或S3有清晰裂化,S0或S1有清晰裂化,82,27,2,0.07407407407407407,25,CX02:长兴 | CZ01:常州 | DS01:岱山岱西镇 | FH01:奉化西坞 | FJ01:枫泾镇 | HZ02:湖州市区 | JJ01:靖江城区 | JT01:金坛 | JY01:江阴城区澄江镇 | KS01:昆山市区玉山镇 | LY01:溧阳 | NB01:宁波市区 | NT01:南通金沙镇 | QP01:青浦商榻 | SJ02:泗泾 | SZ01:苏州城区 | TC01:太仓沙溪 | TC02:太仓城厢 | WJ01:吴江市松陵 | WJ02:吴江芦墟 | WX02:吴县光福镇 | YX02:鄞县中区 | YY01:余姚城关 | ZJ02:诸暨璜山镇 | ZJ03:诸暨直埠镇
