point_id,point_name,subbranch,onset_class,total_tokens,eligible_tokens,clear_split_tokens,i_medial_tokens,i_offglide_tokens,non_core_diphthong_tokens,medial_pending_tokens,checked_or_coda_tokens,monophthong_tokens,point_count,value_types,clear_split_values,clear_split_rate,raw_clear_split_share,medial_pending_share,i_offglide_share,non_core_diphthong_share
AJ01,安吉安城,太湖片-苕溪小片,K,62,54,0,8,0,0,0,0,54,1,5,,0.0,0.0,0.0,0.0,0.0
AJ01,安吉安城,太湖片-苕溪小片,M,17,17,0,0,0,0,0,0,17,1,4,,0.0,0.0,0.0,0.0,0.0
AJ01,安吉安城,太湖片-苕溪小片,N,23,23,0,0,0,0,0,0,23,1,2,,0.0,0.0,0.0,0.0,0.0
AJ01,安吉安城,太湖片-苕溪小片,P,59,59,0,0,0,0,0,0,59,1,3,,0.0,0.0,0.0,0.0,0.0
AJ01,安吉安城,太湖片-苕溪小片,T,39,39,0,0,0,0,0,0,39,1,3,,0.0,0.0,0.0,0.0,0.0
AJ01,安吉安城,太湖片-苕溪小片,TS,54,53,0,0,0,0,0,1,53,1,4,,0.0,0.0,0.0,0.0,0.0
AJ01,安吉安城,太湖片-苕溪小片,Ø,52,47,0,4,0,0,0,1,47,1,5,,0.0,0.0,0.0,0.0,0.0
BL01,北仑城关,太湖片-甬江小片,K,86,56,0,6,0,23,0,0,56,1,7,,0.0,0.0,0.0,0.0,0.26744186046511625
BL01,北仑城关,太湖片-甬江小片,M,21,9,0,0,0,12,0,0,9,1,4,,0.0,0.0,0.0,0.0,0.5714285714285714
BL01,北仑城关,太湖片-甬江小片,N,28,16,0,0,0,12,0,0,16,1,4,,0.0,0.0,0.0,0.0,0.42857142857142855
BL01,北仑城关,太湖片-甬江小片,P,48,36,0,0,0,10,2,0,36,1,5,,0.0,0.0,0.041666666666666664,0.0,0.20833333333333334
BL01,北仑城关,太湖片-甬江小片,T,38,26,0,0,0,12,0,0,26,1,4,,0.0,0.0,0.0,0.0,0.3157894736842105
BL01,北仑城关,太湖片-甬江小片,TS,50,38,0,0,0,12,0,0,38,1,5,,0.0,0.0,0.0,0.0,0.24
BL01,北仑城关,太湖片-甬江小片,Ø,57,25,0,3,0,17,12,0,25,1,6,,0.0,0.0,0.21052631578947367,0.0,0.2982456140350877
BS01,宝山,太湖片-苏沪嘉小片,K,74,72,0,2,0,0,0,0,72,1,4,,0.0,0.0,0.0,0.0,0.0
BS01,宝山,太湖片-苏沪嘉小片,M,19,19,0,0,0,0,0,0,19,1,3,,0.0,0.0,0.0,0.0,0.0
BS01,宝山,太湖片-苏沪嘉小片,N,20,20,0,0,0,0,0,0,20,1,1,,0.0,0.0,0.0,0.0,0.0
BS01,宝山,太湖片-苏沪嘉小片,P,46,46,0,0,0,0,0,0,46,1,3,,0.0,0.0,0.0,0.0,0.0
BS01,宝山,太湖片-苏沪嘉小片,T,34,34,0,0,0,0,0,0,34,1,2,,0.0,0.0,0.0,0.0,0.0
BS01,宝山,太湖片-苏沪嘉小片,TS,43,43,0,0,0,0,0,0,43,1,4,,0.0,0.0,0.0,0.0,0.0
BS01,宝山,太湖片-苏沪嘉小片,Ø,48,41,0,7,0,0,0,0,41,1,6,,0.0,0.0,0.0,0.0,0.0
BZ01,堡镇,太湖片-苏沪嘉小片,K,68,59,0,9,0,0,0,0,59,1,3,,0.0,0.0,0.0,0.0,0.0
BZ01,堡镇,太湖片-苏沪嘉小片,M,20,20,0,0,0,0,0,0,20,1,3,,0.0,0.0,0.0,0.0,0.0
BZ01,堡镇,太湖片-苏沪嘉小片,N,16,16,0,0,0,0,0,0,16,1,1,,0.0,0.0,0.0,0.0,0.0
BZ01,堡镇,太湖片-苏沪嘉小片,P,35,35,0,0,0,0,0,0,35,1,3,,0.0,0.0,0.0,0.0,0.0
BZ01,堡镇,太湖片-苏沪嘉小片,T,30,30,0,0,0,0,0,0,30,1,2,,0.0,0.0,0.0,0.0,0.0
BZ01,堡镇,太湖片-苏沪嘉小片,TS,40,40,0,0,0,0,0,0,40,1,5,,0.0,0.0,0.0,0.0,0.0
BZ01,堡镇,太湖片-苏沪嘉小片,Ø,38,34,0,3,0,0,1,0,34,1,5,,0.0,0.0,0.02631578947368421,0.0,0.0
CM01,崇明城关,太湖片-苏沪嘉小片,K,86,71,0,5,0,0,1,0,71,1,8,,0.0,0.0,0.011627906976744186,0.0,0.0
CM01,崇明城关,太湖片-苏沪嘉小片,M,22,22,0,0,0,0,0,0,22,1,4,,0.0,0.0,0.0,0.0,0.0
CM01,崇明城关,太湖片-苏沪嘉小片,N,31,31,0,0,0,0,0,0,31,1,2,,0.0,0.0,0.0,0.0,0.0
CM01,崇明城关,太湖片-苏沪嘉小片,P,49,49,0,0,0,0,0,0,49,1,3,,0.0,0.0,0.0,0.0,0.0
CM01,崇明城关,太湖片-苏沪嘉小片,T,43,43,0,0,0,0,0,0,43,1,2,,0.0,0.0,0.0,0.0,0.0
CM01,崇明城关,太湖片-苏沪嘉小片,TS,51,51,0,0,0,0,0,0,51,1,4,,0.0,0.0,0.0,0.0,0.0
CM01,崇明城关,太湖片-苏沪嘉小片,Ø,61,53,0,6,0,0,2,0,53,1,7,,0.0,0.0,0.03278688524590164,0.0,0.0
CS01,川沙浦东,太湖片-苏沪嘉小片,K,82,77,0,5,0,0,0,0,77,1,5,,0.0,0.0,0.0,0.0,0.0
CS01,川沙浦东,太湖片-苏沪嘉小片,M,19,19,0,0,0,0,0,0,19,1,3,,0.0,0.0,0.0,0.0,0.0
CS01,川沙浦东,太湖片-苏沪嘉小片,N,25,25,0,0,0,0,0,0,25,1,2,,0.0,0.0,0.0,0.0,0.0
CS01,川沙浦东,太湖片-苏沪嘉小片,P,47,47,0,0,0,0,0,0,47,1,3,,0.0,0.0,0.0,0.0,0.0
CS01,川沙浦东,太湖片-苏沪嘉小片,T,38,38,0,0,0,0,0,0,38,1,2,,0.0,0.0,0.0,0.0,0.0
CS01,川沙浦东,太湖片-苏沪嘉小片,TS,50,33,0,17,0,0,0,0,33,1,3,,0.0,0.0,0.0,0.0,0.0
CS01,川沙浦东,太湖片-苏沪嘉小片,Ø,56,52,0,4,0,0,0,0,52,1,6,,0.0,0.0,0.0,0.0,0.0
CS02,常熟虞山镇,太湖片-苏沪嘉小片,K,65,60,0,5,0,0,0,0,60,1,4,,0.0,0.0,0.0,0.0,0.0
CS02,常熟虞山镇,太湖片-苏沪嘉小片,M,17,17,0,0,0,0,0,0,17,1,3,,0.0,0.0,0.0,0.0,0.0
