point_id,point_name,subbranch,chain_slot,total_tokens,eligible_tokens,clear_split_tokens,i_medial_tokens,i_offglide_tokens,non_core_diphthong_tokens,medial_pending_tokens,checked_or_coda_tokens,monophthong_tokens,point_count,value_types,clear_split_values,clear_split_rate,raw_clear_split_share,medial_pending_share,i_offglide_share,non_core_diphthong_share
AJ01,安吉安城,太湖片-苕溪小片,S0,44,38,0,4,0,0,0,2,38,1,4,,0.0,0.0,0.0,0.0,0.0
AJ01,安吉安城,太湖片-苕溪小片,S1,77,69,0,8,0,0,0,0,69,1,4,,0.0,0.0,0.0,0.0,0.0
AJ01,安吉安城,太湖片-苕溪小片,S2,94,94,0,0,0,0,0,0,94,1,4,,0.0,0.0,0.0,0.0,0.0
AJ01,安吉安城,太湖片-苕溪小片,S3,91,91,0,0,0,0,0,0,91,1,3,,0.0,0.0,0.0,0.0,0.0
BL01,北仑城关,太湖片-甬江小片,S0,46,43,0,3,0,0,0,0,43,1,4,,0.0,0.0,0.0,0.0,0.0
BL01,北仑城关,太湖片-甬江小片,S1,68,49,0,6,0,0,13,0,49,1,5,,0.0,0.0,0.19117647058823528,0.0,0.0
BL01,北仑城关,太湖片-甬江小片,S2,100,11,0,0,0,88,1,0,11,1,4,,0.0,0.0,0.01,0.0,0.88
BL01,北仑城关,太湖片-甬江小片,S3,114,103,0,0,0,10,0,0,103,1,3,,0.0,0.0,0.0,0.0,0.08771929824561403
BS01,宝山,太湖片-苏沪嘉小片,S0,40,38,0,2,0,0,0,0,38,1,5,,0.0,0.0,0.0,0.0,0.0
BS01,宝山,太湖片-苏沪嘉小片,S1,59,52,0,7,0,0,0,0,52,1,3,,0.0,0.0,0.0,0.0,0.0
BS01,宝山,太湖片-苏沪嘉小片,S2,75,75,0,0,0,0,0,0,75,1,2,,0.0,0.0,0.0,0.0,0.0
BS01,宝山,太湖片-苏沪嘉小片,S3,110,110,0,0,0,0,0,0,110,1,1,,0.0,0.0,0.0,0.0,0.0
BZ01,堡镇,太湖片-苏沪嘉小片,S0,34,29,0,5,0,0,0,0,29,1,4,,0.0,0.0,0.0,0.0,0.0
BZ01,堡镇,太湖片-苏沪嘉小片,S1,52,44,0,7,0,0,1,0,44,1,4,,0.0,0.0,0.019230769230769232,0.0,0.0
BZ01,堡镇,太湖片-苏沪嘉小片,S2,66,66,0,0,0,0,0,0,66,1,3,,0.0,0.0,0.0,0.0,0.0
