onset_class,chain_slot,total_tokens,eligible_tokens,clear_split_tokens,i_medial_tokens,i_offglide_tokens,non_core_diphthong_tokens,medial_pending_tokens,checked_or_coda_tokens,monophthong_tokens,point_count,value_types,clear_split_values,clear_split_rate,raw_clear_split_share,medial_pending_share,i_offglide_share,non_core_diphthong_share
K,S0,1194,834,0,359,1,0,0,0,834,82,26,,0.0,0.0,0.0,0.0008375209380234506,0.0
K,S1,1369,995,6,323,0,0,51,0,989,82,22,ɯo,0.006030150753768844,0.004382761139517896,0.03725346968590212,0.0,0.0
K,S2,1731,1651,545,1,19,45,4,3,1106,82,27,"ou, ɐu, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.3301029678982435,0.3148469093009821,0.002310803004043905,0.01097631426920855,0.025996533795493933
K,S3,1964,1949,250,0,0,0,0,0,1699,82,9,"ou, əu",0.12827090815802974,0.12729124236252545,0.0,0.0,0.0
M,S0,252,251,0,0,1,0,0,0,251,82,11,,0.0,0.0,0.0,0.003968253968253968,0.0
M,S1,556,535,0,0,0,0,21,0,535,82,12,,0.0,0.0,0.03776978417266187,0.0,0.0
M,S2,363,346,58,0,5,12,0,0,288,82,16,"ou, ɐu, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.1676300578034682,0.15977961432506887,0.0,0.013774104683195593,0.03305785123966942
M,S3,515,490,72,0,5,19,0,1,418,82,21,"ou, ɐu, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.1469387755102041,0.13980582524271845,0.0,0.009708737864077669,0.036893203883495145
N,S2,921,885,234,1,7,23,3,2,651,82,29,"ou, ɐu, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.26440677966101694,0.254071661237785,0.003257328990228013,0.00760043431053203,0.0249728555917481
N,S3,1076,1074,179,0,0,1,0,1,895,82,14,"ɐu, əu, əɯ, ɤɯ, ʌɤ",0.16666666666666666,0.16635687732342008,0.0,0.0,0.0009293680297397769
P,S0,607,604,1,0,0,0,3,0,603,82,14,ou,0.0016556291390728477,0.0016474464579901153,0.004942339373970346,0.0,0.0
P,S1,1048,1009,0,0,0,0,39,0,1009,82,15,,0.0,0.0,0.03721374045801527,0.0,0.0
P,S2,737,685,115,0,11,27,1,2,570,82,24,"ou, ɐu, əu, əɯ, ɤɯ, ʌɯ",0.1678832116788321,0.1560379918588874,0.0013568521031207597,0.014925373134328358,0.036635006784260515
P,S3,1377,1356,19,0,0,0,0,1,1337,82,6,əɯ,0.014011799410029498,0.013798111837327523,0.0,0.0,0.0
T,S2,1241,1203,308,0,13,24,1,0,895,82,26,"ou, ɐu, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.25602660016625106,0.24818694601128122,0.0008058017727639,0.010475423045930701,0.019339242546333603
T,S3,1623,1623,246,0,0,0,0,0,1377,82,11,"ou, əu, əɯ, ɤɯ, ʌɤ",0.15157116451016636,0.15157116451016636,0.0,0.0,0.0
TS,S0,691,665,0,11,4,0,10,1,665,82,23,,0.0,0.0,0.01447178002894356,0.005788712011577424,0.0
TS,S1,1350,1203,15,38,0,0,109,0,1188,82,20,əɯ,0.012468827930174564,0.011111111111111112,0.08074074074074074,0.0,0.0
TS,S2,833,801,225,3,7,21,1,0,576,82,25,"ou, ɐu, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.2808988764044944,0.27010804321728693,0.0012004801920768306,0.008403361344537815,0.025210084033613446
TS,S3,1003,968,167,1,2,4,0,1,801,82,19,"ou, ɐu, əu, əɯ, ɤɯ",0.1725206611570248,0.16650049850448653,0.0,0.0019940179461615153,0.003988035892323031
Ø,S0,600,512,0,82,3,0,1,2,512,82,27,,0.0,0.0,0.0016666666666666668,0.005,0.0
Ø,S1,1011,627,9,320,0,0,63,1,618,82,23,ɯo,0.014354066985645933,0.008902077151335312,0.06231454005934718,0.0,0.0
Ø,S2,1179,1125,267,3,12,30,6,3,858,82,29,"ou, ɐu, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.23733333333333334,0.22646310432569974,0.005089058524173028,0.010178117048346057,0.02544529262086514
Ø,S3,1374,1369,81,0,1,0,0,2,1288,82,8,əu,0.0591672753834916,0.05895196506550218,0.0,0.000727802037845706,0.0
