phonetic,split_category,vowel_sequence,token_count,point_count,slot_counts,onset_counts,example_points
oʔ,checked_or_coda,o,4,2,"S2(2), S3(2)","K(1), TS(1), P(1), Ø(1)",DQ01:德清乾元 | YX01:宜兴
əʔ,checked_or_coda,ə,4,3,"S2(2), S3(1), S1(1)","P(2), K(1), Ø(1)",DB01:郎溪梅渚镇定埠 | HY01:海盐县城 | JT01:金坛
aʔ,checked_or_coda,a,3,2,"S0(2), S2(1)","Ø(1), TS(1), N(1)",AJ01:安吉安城 | DQ01:德清乾元
ɔʔ,checked_or_coda,ɔ,2,2,S3(2),"Ø(1), M(1)",CZ01:常州 | JT01:金坛
ieʔ,checked_or_coda,ie,1,1,S0(1),Ø(1),SX01:绍兴城区东头埭
ioʔ,checked_or_coda,io,1,1,S2(1),Ø(1),CS02:常熟虞山镇
iøʔ,checked_or_coda,iø,1,1,S3(1),N(1),QP01:青浦商榻
iɑʔ,checked_or_coda,iɑ,1,1,S2(1),Ø(1),NT01:南通金沙镇
oŋ,checked_or_coda,o,1,1,S2(1),N(1),LP01:临平五杭
yəʔ,checked_or_coda,yə,1,1,S2(1),Ø(1),WX01:无锡城区
æʔ,checked_or_coda,æ,1,1,S2(1),K(1),DY01:丹阳
əu,clear_split,əu,1770,16,"S2(957), S3(813)","K(573), T(378), N(281), TS(260), Ø(203), M(39), P(36)",CX02:长兴 | FH01:奉化西坞 | FJ01:枫泾镇 | HZ02:湖州市区 | JT01:金坛 | KS01:昆山市区玉山镇 | NB01:宁波市区 | QP01:青浦商榻 | SJ02:泗泾 | SZ01:苏州城区 | TC01:太仓沙溪 | TC02:太仓城厢
əɯ,clear_split,əɯ,320,2,"S2(176), S3(129), S1(15)","T(74), TS(61), N(55), K(46), Ø(32), P(31), M(21)",JY01:江阴城区澄江镇 | WX01:无锡城区
ou,clear_split,ou,248,3,"S2(218), S3(29), S0(1)","K(66), Ø(41), T(33), TS(32), M(28), N(24), P(24)",CX01:慈溪逍林 | YY01:余姚城关 | ZJ03:诸暨直埠镇
ɤɯ,clear_split,ɤɯ,243,3,"S2(222), S3(21)","K(63), Ø(39), T(37), N(30), TS(29), P(25), M(20)",CZ01:常州 | NT01:南通金沙镇 | ZJ02:诸暨璜山镇
ɐu,clear_split,ɐu,90,1,"S2(79), S3(11)","K(19), TS(13), N(12), Ø(12), M(12), T(11), P(11)",DS01:岱山岱西镇
ʌɯ,clear_split,ʌɯ,57,1,"S2(54), S3(3)","K(14), T(10), Ø(10), P(8), TS(6), M(5), N(4)",LY01:溧阳
ʌɤ,clear_split,ʌɤ,54,1,"S2(46), S3(8)","K(14), T(11), Ø(11), N(7), TS(6), M(5)",JJ01:靖江城区
ɯo,clear_split,ɯo,15,1,S1(15),"Ø(9), K(6)",HM02:海门四甲
v,consonantal_or_other,,31,1,"S3(20), S2(11)",P(31),SZ01:苏州城区
ŋ,consonantal_or_other,,21,9,"S3(13), S2(8)",K(21),BL01:北仑城关 | CM01:崇明城关 | HN01:海宁城关 | JT01:金坛 | LY01:溧阳 | MH01:闵行 | WX01:无锡城区 | YX01:宜兴 | YY01:余姚城关
ɥ,consonantal_or_other,,16,2,S3(16),TS(16),CZ01:常州 | YY01:余姚城关
ʮ,consonantal_or_other,,11,1,S3(11),TS(11),DB01:郎溪梅渚镇定埠
n,consonantal_or_other,,2,2,S3(2),K(2),HY01:海盐县城 | KS01:昆山市区玉山镇
w,consonantal_or_other,,2,1,S3(2),Ø(2),HZ02:湖州市区
ia,i_medial_excluded,ia,557,49,"S1(338), S0(217), S2(2)","K(361), Ø(182), TS(14)",AJ01:安吉安城 | BL01:北仑城关 | BS01:宝山 | CX01:慈溪逍林 | CX02:长兴 | CZ01:常州 | DQ01:德清乾元 | DS01:岱山岱西镇 | FH01:奉化西坞 | FY01:富阳城关 | FY02:富阳东梓关 | HN01:海宁城关
iɑ,i_medial_excluded,iɑ,229,17,"S1(166), S0(62), S2(1)","K(143), Ø(85), TS(1)",BZ01:堡镇 | CM01:崇明城关 | DB01:郎溪梅渚镇定埠 | DY01:丹阳 | FC01:奉城 | FX01:奉贤 | HM01:海门镇沙地话 | HM02:海门四甲 | HY01:海盐县城 | JJ01:靖江城区 | JW01:江湾 | JX01:嘉兴城区
iᴀ,i_medial_excluded,iᴀ,125,12,"S1(79), S0(46)","K(78), Ø(47)",BS01:宝山 | CS01:川沙浦东 | CS02:常熟虞山镇 | FJ01:枫泾镇 | GQ01:高桥 | JD01:嘉定城关 | JS02:金山 | SH01:上海市区 | SL01:三林 | XZ01:莘庄 | ZP01:周浦 | ZR01:真如
iɔ,i_medial_excluded,iɔ,58,6,"S1(43), S0(14), S3(1)","TS(35), K(16), Ø(7)",CS01:川沙浦东 | SL01:三林 | SZ02:嵊州长乐 | WJ01:吴江市松陵 | WJ02:吴江芦墟 | ZP01:周浦
iɛ,i_medial_excluded,iɛ,55,15,"S0(54), S2(1)","Ø(27), K(27), N(1)",CM01:崇明城关 | CS01:川沙浦东 | FX01:奉贤 | FY01:富阳城关 | FY02:富阳东梓关 | HM01:海门镇沙地话 | HM02:海门四甲 | HN01:海宁城关 | HY01:海盐县城 | HZ01:杭州城区 | JS02:金山 | JT01:金坛
io,i_medial_excluded,io,43,11,"S1(39), S2(2), S0(2)","Ø(29), K(13), TS(1)",KQ01:柯桥城关 | LY01:溧阳 | SX01:绍兴城区东头埭 | SZ01:苏州城区 | TC02:太仓城厢 | WJ01:吴江市松陵 | WX02:吴县光福镇 | XH02:萧山城厢 | YX01:宜兴 | YY01:余姚城关 | ZJ01:诸暨城关
ie,i_medial_excluded,ie,28,7,"S0(26), S1(2)","K(19), Ø(9)",DY01:丹阳 | FH01:奉化西坞 | LY01:溧阳 | NB01:宁波市区 | XD01:新登下港 | YX02:鄞县中区 | ZJ02:诸暨璜山镇
iɒ,i_medial_excluded,iɒ,16,1,"S1(10), S0(6)","K(10), Ø(5), TS(1)",QP01:青浦商榻
iɐ,i_medial_excluded,iɐ,12,1,"S0(9), S1(2), S2(1)","K(8), Ø(3), TS(1)",SY02:上虞百官镇
iᴇ,i_medial_excluded,iᴇ,7,5,S0(7),"Ø(4), K(3)",BS01:宝山 | DS01:岱山岱西镇 | JD01:嘉定城关 | SH01:上海市区 | SZ02:嵊州长乐
iɪ,i_medial_excluded,iɪ,5,2,S0(5),"Ø(3), K(2)",JS01:嘉善魏塘镇 | TC01:太仓沙溪
iʊ,i_medial_excluded,iʊ,3,1,"S1(2), S0(1)","Ø(2), K(1)",ZJ02:诸暨璜山镇
iæ,i_medial_excluded,iæ,2,1,S0(2),"K(1), Ø(1)",JJ01:靖江城区
iia,i_medial_excluded,iia,1,1,S0(1),Ø(1),SX01:绍兴城区东头埭
iəu,i_medial_excluded,iəu,1,1,S2(1),K(1),QP01:青浦商榻
ɔi,i_offglide_excluded,ɔi,82,1,"S2(74), S3(8)","K(19), T(13), Ø(13), P(11), M(10), TS(9), N(7)",ZJ01:诸暨城关
ɛi,i_offglide_excluded,ɛi,6,2,S0(6),"TS(3), Ø(2), M(1)",FH01:奉化西坞 | JT01:金坛
æi,i_offglide_excluded,æi,2,1,S0(2),"TS(1), Ø(1)",CZ01:常州
ai,i_offglide_excluded,ai,1,1,S0(1),K(1),XD01:新登下港
uo,medial_pending,uo,222,11,"S1(202), S2(12), S0(8)","Ø(59), TS(55), K(42), P(41), M(21), N(3), T(1)",BL01:北仑城关 | BZ01:堡镇 | CM01:崇明城关 | FY02:富阳东梓关 | HM01:海门镇沙地话 | LP01:临平五杭 | NB01:宁波市区 | NT01:南通金沙镇 | SY02:上虞百官镇 | TL01:桐庐镇 | YQ01:於潜
yo,medial_pending,yo,84,5,"S1(79), S0(5)","TS(65), K(13), Ø(6)",HM02:海门四甲 | NB01:宁波市区 | QD01:启东吕四 | TL01:桐庐镇 | XD01:新登下港
ua,medial_pending,ua,3,3,"S2(2), S1(1)",Ø(3),FY01:富阳城关 | KS01:昆山市区玉山镇 | XD01:新登下港
øy,medial_pending,øy,2,1,"S2(1), S1(1)",P(2),BL01:北仑城关
uᴇ,medial_pending,uᴇ,1,1,S0(1),Ø(1),SZ01:苏州城区
yɑ,medial_pending,yɑ,1,1,S2(1),Ø(1),DY01:丹阳
