point_id,point_name,subbranch,chain_slot,onset_class,phonetic,token_count,char_count,example_chars
FY01,富阳城关,太湖片-临绍小片,S2,Ø,ua,1,1,瘸
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,S2,Ø,ua,1,1,瘸
XD01,新登下港,太湖片-临绍小片,S1,Ø,ua,1,1,鸦
BL01,北仑,太湖片-甬江小片,S1,Ø,uo,12,10,下 / 丫 / 厦 / 哑 / 夏 / 暇 / 桠 / 虾 / 霞 / 鸦
CM01,崇明城桥,太湖片-苏沪嘉小片,S1,Ø,uo,2,2,丫 / 鸦
CM01,崇明城桥,太湖片-苏沪嘉小片,S2,K,uo,1,1,讹
FY02,富阳东梓关,太湖片-临绍小片,S0,P,uo,1,1,稗
FY02,富阳东梓关,太湖片-临绍小片,S0,TS,uo,2,2,晒 / 钗
FY02,富阳东梓关,太湖片-临绍小片,S1,K,uo,13,12,价 / 假 / 加 / 嫁 / 家 / 揢 / 架 / 枷 / 牙 / 芽 / 衙 / 袈
FY02,富阳东梓关,太湖片-临绍小片,S1,M,uo,7,7,玛 / 码 / 蚂 / 蟆 / 马 / 骂 / 麻
FY02,富阳东梓关,太湖片-临绍小片,S1,P,uo,11,11,坝 / 巴 / 怕 / 把 / 杷 / 爬 / 琶 / 疤 / 耙 / 芭 / 霸
FY02,富阳东梓关,太湖片-临绍小片,S1,TS,uo,16,15,叉 / 岔 / 差 / 搽 / 杈 / 查 / 楂 / 榨 / 沙 / 渣 / 炸 / 痧
FY02,富阳东梓关,太湖片-临绍小片,S1,Ø,uo,7,5,下 / 丫 / 哑 / 夏 / 虾
FY02,富阳东梓关,太湖片-临绍小片,S2,N,uo,2,2,哪 / 挪
FY02,富阳东梓关,太湖片-临绍小片,S2,TS,uo,1,1,蓑
HM01,海门镇沙地话,太湖片-苏沪嘉小片,S1,Ø,uo,1,1,丫
LP01,临平五杭,太湖片-苕溪小片,S0,TS,uo,2,2,晒 / 钗
LP01,临平五杭,太湖片-苕溪小片,S1,K,uo,1,1,揢
LP01,临平五杭,太湖片-苕溪小片,S1,TS,uo,14,13,叉 / 岔 / 差 / 杈 / 查 / 榨 / 沙 / 渣 / 炸 / 痧 / 砂 / 纱
LP01,临平五杭,太湖片-苕溪小片,S1,Ø,uo,9,7,下 / 丫 / 哑 / 夏 / 桠 / 虾 / 鸦
LP01,临平五杭,太湖片-苕溪小片,S2,N,uo,1,1,哪
LP01,临平五杭,太湖片-苕溪小片,S2,T,uo,1,1,朵
NB01,宁波市区,太湖片-甬江小片,S1,Ø,uo,1,1,虾
NT01,南通金沙镇,太湖片-毗陵小片,S1,K,uo,6,6,假 / 加 / 家 / 牙 / 贾 / 雅
NT01,南通金沙镇,太湖片-毗陵小片,S1,M,uo,1,1,马
NT01,南通金沙镇,太湖片-毗陵小片,S1,P,uo,3,3,巴 / 怕 / 爬
NT01,南通金沙镇,太湖片-毗陵小片,S1,TS,uo,5,5,岔 / 查 / 榨 / 沙 / 茶
NT01,南通金沙镇,太湖片-毗陵小片,S1,Ø,uo,5,4,下 / 哑 / 桠 / 虾
SY02,上虞百官镇,太湖片-临绍小片,S2,Ø,uo,2,2,倭 / 窝
TL01,桐庐镇,太湖片-临绍小片,S0,P,uo,1,1,稗
TL01,桐庐镇,太湖片-临绍小片,S1,K,uo,13,12,价 / 假 / 傢 / 加 / 嘉 / 嫁 / 家 / 架 / 牙 / 芽 / 衙 / 雅
TL01,桐庐镇,太湖片-临绍小片,S1,M,uo,5,5,痲 / 码 / 马 / 骂 / 麻
TL01,桐庐镇,太湖片-临绍小片,S1,P,uo,11,11,坝 / 巴 / 怕 / 把 / 杷 / 爬 / 琶 / 疤 / 耙 / 芭 / 霸
TL01,桐庐镇,太湖片-临绍小片,S1,Ø,uo,9,7,下 / 丫 / 哑 / 夏 / 桠 / 虾 / 鸦
TL01,桐庐镇,太湖片-临绍小片,S2,K,uo,3,3,可 / 我 / 柯
TL01,桐庐镇,太湖片-临绍小片,S2,Ø,uo,1,1,窝
SZ01,苏州城区,太湖片-苏沪嘉小片,S0,Ø,uᴇ,1,1,挨
