point_id,point_name,onset_class,S1,S2,S3,type,type_formula,一级分类_S1_S3,二级分类_S1_S3
AJ01,安吉安城,K,a,ɷ,u,T1,歌≠麻≠模,分立型,分立
AJ01,安吉安城,M,u,u,u,T2,歌=麻=模,合流型,全合并
AJ01,安吉安城,P,ɷ,u,u,T3,歌=模≠麻,合流型,单一合并
AJ01,安吉安城,TS,ɷ,ɷ,u,T4,歌=麻≠模,合流型,单一合并
AJ01,安吉安城,Ø,ɷ,u,u,T3,歌=模≠麻,合流型,单一合并
BL01,北仑,K,o,au,u,T1,歌≠麻≠模,分立型,分立
BL01,北仑,M,o,au,au,T3,歌=模≠麻,合流型,单一合并
BL01,北仑,P,o,au,u,T1,歌≠麻≠模,分立型,分立
BL01,北仑,TS,o,au,u,T1,歌≠麻≠模,分立型,分立
BL01,北仑,Ø,uo,au,u,T1,歌≠麻≠模,分立型,分立
BS01,宝山,K,ᴀ,u,u,T3,歌=模≠麻,合流型,单一合并
BS01,宝山,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
BS01,宝山,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
BS01,宝山,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
BS01,宝山,Ø,ia,u,u,T3,歌=模≠麻,合流型,单一合并
BZ01,堡镇,K,ɑ,u,u,T3,歌=模≠麻,合流型,单一合并
BZ01,堡镇,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
BZ01,堡镇,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
BZ01,堡镇,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
BZ01,堡镇,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
CM01,崇明城桥,K,ɑ,u,u,T3,歌=模≠麻,合流型,单一合并
CM01,崇明城桥,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
CM01,崇明城桥,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
CM01,崇明城桥,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
CM01,崇明城桥,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
