summary_type,group,subgroup,point_count,mean_s4_monophthong_share,median_s4_monophthong_share,mean_s0s1_merge,median_s0s1_merge,s5_monophthong_only_point_count,s5_has_monophthong_point_count
overall,all,all,82,0.5427,0.7446,0.1523,0.1569,74,76
s4_map_category,e类单音化,all,8,1.0,1.0,0.1734,0.1724,8,8
s4_map_category,u/o类单音化,all,1,1.0,1.0,0.2132,0.2132,1,1
s4_map_category,ø/ɵ/y类单音化,all,4,1.0,1.0,0.1784,0.1792,4,4
s4_map_category,ɤ/ɯ类单音化,all,18,1.0,1.0,0.1803,0.167,18,18
s4_map_category,未单音化,all,4,0.0,0.0,0.1063,0.0922,3,4
s4_map_category,混合,all,47,0.2873,0.0882,0.1385,0.1241,40,41
s4_status,diphthong_or_glide_only,all,4,0.0,0.0,0.1063,0.0922,3,4
s4_status,mixed_mono_and_diphthong,all,36,0.3062,0.0999,0.128,0.1198,31,32
s4_status,mixed_with_other,all,11,0.2254,0.0682,0.1726,0.1959,9,9
s4_status,monophthong_only,all,31,1.0,1.0,0.1793,0.174,31,31
s5_status,diphthong_or_glide_only,all,6,0.2094,0.0403,0.0867,0.067,0,0
s5_status,mixed_mono_and_diphthong,all,2,0.0328,0.0328,0.1309,0.1309,0,2
s5_status,monophthong_only,all,74,0.5835,0.8351,0.1582,0.1608,74,74
s4_map_category_x_s5_status,e类单音化,monophthong_only,8,1.0,1.0,0.1734,0.1724,8,8
s4_map_category_x_s5_status,u/o类单音化,monophthong_only,1,1.0,1.0,0.2132,0.2132,1,1
s4_map_category_x_s5_status,ø/ɵ/y类单音化,monophthong_only,4,1.0,1.0,0.1784,0.1792,4,4
s4_map_category_x_s5_status,ɤ/ɯ类单音化,monophthong_only,18,1.0,1.0,0.1803,0.167,18,18
s4_map_category_x_s5_status,未单音化,mixed_mono_and_diphthong,1,0.0,0.0,0.1618,0.1618,0,1
s4_map_category_x_s5_status,未单音化,monophthong_only,3,0.0,0.0,0.0879,0.0839,3,3
s4_map_category_x_s5_status,混合,diphthong_or_glide_only,6,0.2094,0.0403,0.0867,0.067,0,0
s4_map_category_x_s5_status,混合,mixed_mono_and_diphthong,1,0.0656,0.0656,0.1001,0.1001,0,1
s4_map_category_x_s5_status,混合,monophthong_only,40,0.3045,0.0999,0.1472,0.1263,40,40
s4_status_x_s5_status,diphthong_or_glide_only,mixed_mono_and_diphthong,1,0.0,0.0,0.1618,0.1618,0,1
s4_status_x_s5_status,diphthong_or_glide_only,monophthong_only,3,0.0,0.0,0.0879,0.0839,3,3
s4_status_x_s5_status,mixed_mono_and_diphthong,diphthong_or_glide_only,4,0.2989,0.0982,0.0691,0.0526,0,0
s4_status_x_s5_status,mixed_mono_and_diphthong,mixed_mono_and_diphthong,1,0.0656,0.0656,0.1001,0.1001,0,1
s4_status_x_s5_status,mixed_mono_and_diphthong,monophthong_only,31,0.3149,0.1014,0.1365,0.1241,31,31
s4_status_x_s5_status,mixed_with_other,diphthong_or_glide_only,2,0.0303,0.0303,0.122,0.122,0,0
s4_status_x_s5_status,mixed_with_other,monophthong_only,9,0.2688,0.0789,0.1839,0.21,9,9
s4_status_x_s5_status,monophthong_only,monophthong_only,31,1.0,1.0,0.1793,0.174,31,31
