s4_value,value_class,nucleus,nucleus_category,point_count,token_count,example_points
ei,diphthong_or_glide,,,14,626,CX02:长兴 | CZ01:常州 | FY01:富阳城关 | HZ01:杭州城区 | JT01:金坛 | JY01:江阴城区澄江镇 | KS01:昆山市区玉山镇 | LY01:溧阳 | QD01:启东吕四 | TC01:太仓沙溪 | WX01:无锡城区 | WX02:吴县光福镇
əu,diphthong_or_glide,,,4,126,FH01:奉化西坞 | HM01:海门镇沙地话 | NB01:宁波市区 | YX01:宜兴
iəu,diphthong_or_glide,,,3,152,QP01:青浦商榻 | WJ01:吴江市松陵 | WJ02:吴江芦墟
ɤɯ,diphthong_or_glide,,,3,117,HN01:海宁城关 | JW01:江湾 | ZJ02:诸暨璜山镇
əɯ,diphthong_or_glide,,,3,44,JY01:江阴城区澄江镇 | TX01:桐乡城区 | WX01:无锡城区
iø,diphthong_or_glide,,,3,15,CX01:慈溪逍林 | XS03:萧山南阳镇 | YY01:余姚城关
øy,diphthong_or_glide,,,2,103,BL01:北仑城关 | SZ02:嵊州长乐
œʏ,diphthong_or_glide,,,2,95,NB01:宁波市区 | YX02:鄞县中区
io,diphthong_or_glide,,,2,62,PB01:彭埠镇 | XH02:萧山城厢
ou,diphthong_or_glide,,,2,55,FH01:奉化西坞 | XS01:象山丹城
iʊ,diphthong_or_glide,,,2,42,FY01:富阳城关 | XD01:新登下港
øʏ,diphthong_or_glide,,,1,65,SZ01:苏州城区
iu,diphthong_or_glide,,,1,55,YQ01:於潜
əw,diphthong_or_glide,,,1,54,PH01:平湖城关
ai,diphthong_or_glide,,,1,53,ZS01:舟山定海
ɐy,diphthong_or_glide,,,1,50,DS01:岱山岱西镇
øʉ,diphthong_or_glide,,,1,47,HZ02:湖州市区
iɯ,diphthong_or_glide,,,1,40,XC01:新昌城关
ɤe,diphthong_or_glide,,,1,35,BS01:宝山
əʊ,diphthong_or_glide,,,1,33,XD01:新登下港
ɛi,diphthong_or_glide,,,1,23,FH01:奉化西坞
øɤ,diphthong_or_glide,,,1,20,JJ01:靖江城区
iɤ,diphthong_or_glide,,,1,17,KQ01:柯桥城关
iɵ,diphthong_or_glide,,,1,13,FY02:富阳东梓关
iøy,diphthong_or_glide,,,1,10,SZ02:嵊州长乐
ʌɤ,diphthong_or_glide,,,1,9,JJ01:靖江城区
iʉ,diphthong_or_glide,,,1,5,HZ02:湖州市区
eu,diphthong_or_glide,,,1,1,CZ01:常州
ie,diphthong_or_glide,,,1,1,QD01:启东吕四
iə,diphthong_or_glide,,,1,1,SY02:上虞百官镇
iʏ,diphthong_or_glide,,,1,1,SZ03:嵊州崇仁镇
ɤɪ,diphthong_or_glide,,,1,1,DB01:郎溪梅渚镇定埠
ʌɯ,diphthong_or_glide,,,1,1,LY01:溧阳
ɤ,monophthong,ɤ,back_unrounded,15,686,BS01:宝山 | CS01:川沙浦东 | FJ01:枫泾镇 | GQ01:高桥 | JS01:嘉善魏塘镇 | JS02:金山 | KQ01:柯桥城关 | MH01:闵行 | NH01:南汇惠南镇 | SH01:上海市区 | SL01:三林 | SX01:绍兴城区东头埭
ø,monophthong,ø,front_rounded,8,366,CX01:慈溪逍林 | DQ01:德清乾元 | JD01:嘉定城关 | LA01:临安城区 | LP01:临平五杭 | PB01:彭埠镇 | XS03:萧山南阳镇 | YY01:余姚城关
ɯ,monophthong,ɯ,back_unrounded,7,268,DB01:郎溪梅渚镇定埠 | FC01:奉城 | FX01:奉贤 | LT01:练塘 | SJ01:松江镇 | SJ02:泗泾 | XC01:新昌城关
e,monophthong,e,e_like,6,312,AJ01:安吉安城 | DY01:丹阳 | HM02:海门四甲 | HY01:海盐县城 | JX01:嘉兴城区 | TL01:桐庐镇
y,monophthong,y,front_rounded,5,53,DB01:郎溪梅渚镇定埠 | DQ01:德清乾元 | JD01:嘉定城关 | ZJ01:诸暨城关 | ZJ03:诸暨直埠镇
u,monophthong,u,u_o_like,5,5,QP01:青浦商榻 | SJ01:松江镇 | TC01:太仓沙溪 | TC02:太仓城厢 | XD01:新登下港
ɵ,monophthong,ɵ,front_rounded,3,138,BZ01:堡镇 | CM01:崇明城关 | FY02:富阳东梓关
ʏ,monophthong,ʏ,front_rounded,2,81,SZ03:嵊州崇仁镇 | ZJ02:诸暨璜山镇
ᴇ,monophthong,ᴇ,e_like,2,71,CS02:常熟虞山镇 | NT01:南通金沙镇
o,monophthong,o,u_o_like,2,65,PB01:彭埠镇 | TC02:太仓城厢
ə,monophthong,ə,central,1,59,SY02:上虞百官镇
i,monophthong,i,e_like,1,6,LY01:溧阳
ɒ,monophthong,ɒ,other_mono,1,1,XH02:萧山城厢
ɔ,monophthong,ɔ,u_o_like,1,1,DB01:郎溪梅渚镇定埠
ɛ,monophthong,ɛ,e_like,1,1,XD01:新登下港
ʊ,monophthong,ʊ,u_o_like,1,1,FY01:富阳城关
