point_id,point_name,onset_class,S0,S1,S2,S3
AJ01,安吉安城, K,a,a,ɷ,u
AJ01,安吉安城, M,a,u,u,u
AJ01,安吉安城, N,a,a,ɷ,ɷ
AJ01,安吉安城, P,a,ɷ,u,u
AJ01,安吉安城, T,,,ɷ,u
AJ01,安吉安城, Ø,a,ɷ,u,u
AJ01,安吉安城,TS,,ɷ,ɷ,u
AJ01,安吉安城,TS*,a,ɷ,,
BL01,北仑城关, K,a,o,au,u
BL01,北仑城关, M,a,o,au,au
BL01,北仑城关, N,a,,au,u
BL01,北仑城关, P,a,o,au,u
BL01,北仑城关, T,,,au,u
BL01,北仑城关, Ø,a,uo,au,u
BL01,北仑城关,TS,,o,au,u
BL01,北仑城关,TS*,a,o,,
BS01,宝山, K,ᴀ,ᴀ,u,u
BS01,宝山, M,ᴀ,o,u,u
BS01,宝山, N,ᴀ,ᴇ,u,u
BS01,宝山, P,ᴀ,o,u,u
BS01,宝山, T,,,u,u
BS01,宝山, Ø,ᴀ,ia,u,u
BS01,宝山,TS,,o,u,u
BS01,宝山,TS*,ᴀ,o,,
BZ01,堡镇, K,iɑ,ɑ,u,u
BZ01,堡镇, M,ɑ,o,u,u
BZ01,堡镇, N,ɑ,ɔ,u,u
BZ01,堡镇, P,ɑ,o,u,u
BZ01,堡镇, T,,,u,u
BZ01,堡镇, Ø,ɑ,o,u,u
BZ01,堡镇,TS,,o,u,u
BZ01,堡镇,TS*,ɑ,o,,
CM01,崇明城关, K,ɑ,ɑ,u,u
CM01,崇明城关, M,ɑ,o,u,u
CM01,崇明城关, N,ɑ,æ,u,u
CM01,崇明城关, P,ɑ,o,u,u
CM01,崇明城关, T,,,u,u
CM01,崇明城关, Ø,ɑ,o,u,u
CM01,崇明城关,TS,,o,u,u
CM01,崇明城关,TS*,ɑ,o,,
CS01,川沙浦东, K,ᴀ,ᴀ,u,u
CS01,川沙浦东, M,ᴀ,o,u,u
CS01,川沙浦东, N,ᴀ,ɔ,u,u
CS01,川沙浦东, P,ᴀ,o,u,u
CS01,川沙浦东, T,,,u,u
CS01,川沙浦东, Ø,ᴀ,ɔ,u,u
CS01,川沙浦东,TS,,,u,u
CS01,川沙浦东,TS*,ᴀ,iɔ,,
CS02,常熟虞山镇, K,ᴀ,ᴀ,ɯ,u
CS02,常熟虞山镇, M,ᴀ,u,u,u
CS02,常熟虞山镇, N,ᴀ,u,ɯ,ɯ
CS02,常熟虞山镇, P,ᴀ,u,u,u
CS02,常熟虞山镇, T,,,ɯ,ɯ
CS02,常熟虞山镇, Ø,ᴀ,u,ɯ,u
CS02,常熟虞山镇,TS,,u,ɯ,ɯ
CS02,常熟虞山镇,TS*,ᴀ,u,,
CX01,慈溪逍林, K,a,o,ou,u
CX01,慈溪逍林, M,a,o,ou,ou
CX01,慈溪逍林, N,a,,ou,u
CX01,慈溪逍林, P,a,o,ou,u
CX01,慈溪逍林, T,,,ou,u
CX01,慈溪逍林, Ø,a,o,ou,u
CX01,慈溪逍林,TS,,o,ou,ou
CX01,慈溪逍林,TS*,a,o,,
CX02,长兴, K,a,a,əu,əu
CX02,长兴, M,a,o,o,o
CX02,长兴, N,a,a,əu,əu
CX02,长兴, P,a,o,u,u
CX02,长兴, T,,,əu,əu
CX02,长兴, Ø,a,o,u,u
CX02,长兴,TS,,o,əu,əu
CX02,长兴,TS*,a,o,,
CZ01,常州, K,a,ia,ɤɯ,u
CZ01,常州, M,a,o,ɤɯ,ɤɯ
CZ01,常州, N,a,o,ɤɯ,u
CZ01,常州, P,a,o,ɤɯ,u
CZ01,常州, T,,,ɤɯ,u
CZ01,常州, Ø,a,ia,ɤɯ,u
CZ01,常州,TS,,o,ɤɯ,ɥ
CZ01,常州,TS*,a,o,,
DB01,郎溪梅渚镇定埠, K,ᴇ,ɑ,ɷ,u
DB01,郎溪梅渚镇定埠, M,ᴇ,ɑ,ɷ,ɷ
DB01,郎溪梅渚镇定埠, N,ᴇ,ɑ,ɷ,u
DB01,郎溪梅渚镇定埠, P,ᴇ,ɑ,ɷ,u
DB01,郎溪梅渚镇定埠, T,,,ɷ,ɷ
DB01,郎溪梅渚镇定埠, Ø,ᴇ,ɑ,ɷ,u
DB01,郎溪梅渚镇定埠,TS,,ɑ,ɷ,ʮ
DB01,郎溪梅渚镇定埠,TS*,ᴇ,ɑ,,
DQ01,德清乾元, K,a,a,u,u
DQ01,德清乾元, M,a,ɔ,u,u
DQ01,德清乾元, N,a,ɔ,u,u
DQ01,德清乾元, P,a,ɔ,u,u
DQ01,德清乾元, T,,,u,u
DQ01,德清乾元, Ø,a,ɔ,u,u
DQ01,德清乾元,TS,,ɔ,u,u
DQ01,德清乾元,TS*,a,ɔ,,
DS01,岱山岱西镇, K,a,o,ɐu,u
DS01,岱山岱西镇, M,a,o,ɐu,ɐu
DS01,岱山岱西镇, N,a,a,ɐu,u
DS01,岱山岱西镇, P,a,o,ɐu,u
DS01,岱山岱西镇, T,,,ɐu,u
DS01,岱山岱西镇, Ø,a,o,ɐu,u
DS01,岱山岱西镇,TS,,o,ɐu,u
DS01,岱山岱西镇,TS*,a,o,,
DY01,丹阳, K,ɑ,iɑ,ə,u
DY01,丹阳, M,ɑ,ɑ,ə,ə
DY01,丹阳, N,ɑ,ɑ,ə,u
