point_id,point_name,subbranch,lat,lon,rhyme_modern,chain_slot,slot_type_initial,is_free,onset_class,char,phonetic,note_split,vowel_symbol,vowel_class,reading_layer,mainlayer_flag,combo_validity,zero_type,feature_change
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, T,多,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, T,拖,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, T,他,a,,a,a,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, T,驼,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, T,驮,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, T,陀,,,,,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, T,鸵,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, T,沱,,,,,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, T,舵,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, T,大,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, T,驮,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, N,挪,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, N,哪,a,,a,a,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, N,哪,ɷ,～吒,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, N,那,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, N,那,a,,a,a,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, N,罗,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, N,锣,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, N,箩,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, N,萝,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0, N,逻,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0,TS,左,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0,TS,佐,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0,TS,搓,ɷ,,ɷ,ɷ,main,1,1,none,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,S2,*ɑ,0,TS,娑,,,,,main,1,1,none,
