point_id,point_name,onset_class,S0,S1,S2,S3,一级分类,二级分类,三级分类(详细模式),是否越级
AJ01,安吉安城,K,a,a,ɷ,u,合流型,单一合并,S0=S1,False
AJ01,安吉安城,M,a,u,u,u,合流型,多元合并,S1=S2=S3,False
AJ01,安吉安城,P,a,ɷ,u,u,合流型,单一合并,S2=S3,False
AJ01,安吉安城,TS,a,ɷ,ɷ,u,合流型,单一合并,S1=S2,False
AJ01,安吉安城,Ø,a,ɷ,u,u,合流型,单一合并,S2=S3,False
BL01,北仑城关,K,a,o,au,u,分立型,全不等,全对立,False
BL01,北仑城关,M,a,o,au,au,合流型,单一合并,S2=S3,False
BL01,北仑城关,P,a,o,au,u,分立型,全不等,全对立,False
BL01,北仑城关,TS,a,o,au,u,分立型,全不等,全对立,False
BL01,北仑城关,Ø,a,uo,au,u,分立型,全不等,全对立,False
BS01,宝山,K,ᴀ,ᴀ,u,u,合流型,多元合并,S0=S1，S2=S3,False
BS01,宝山,M,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
BS01,宝山,P,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
BS01,宝山,TS,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
BS01,宝山,Ø,ᴀ,ia,u,u,合流型,单一合并,S2=S3,False
BZ01,堡镇,K,iɑ,ɑ,u,u,合流型,单一合并,S2=S3,False
BZ01,堡镇,M,ɑ,o,u,u,合流型,单一合并,S2=S3,False
BZ01,堡镇,P,ɑ,o,u,u,合流型,单一合并,S2=S3,False
BZ01,堡镇,TS,ɑ,o,u,u,合流型,单一合并,S2=S3,False
BZ01,堡镇,Ø,ɑ,o,u,u,合流型,单一合并,S2=S3,False
CM01,崇明城关,K,ɑ,ɑ,u,u,合流型,多元合并,S0=S1，S2=S3,False
CM01,崇明城关,M,ɑ,o,u,u,合流型,单一合并,S2=S3,False
CM01,崇明城关,P,ɑ,o,u,u,合流型,单一合并,S2=S3,False
CM01,崇明城关,TS,ɑ,o,u,u,合流型,单一合并,S2=S3,False
CM01,崇明城关,Ø,ɑ,o,u,u,合流型,单一合并,S2=S3,False
CS01,川沙浦东,K,ᴀ,ᴀ,u,u,合流型,多元合并,S0=S1，S2=S3,False
CS01,川沙浦东,M,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
CS01,川沙浦东,P,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
CS01,川沙浦东,TS,ᴀ,iɔ,u,u,合流型,单一合并,S2=S3,False
CS01,川沙浦东,Ø,ᴀ,ɔ,u,u,合流型,单一合并,S2=S3,False
CS02,常熟虞山镇,K,ᴀ,ᴀ,ɯ,u,合流型,单一合并,S0=S1,False
CS02,常熟虞山镇,M,ᴀ,u,u,u,合流型,多元合并,S1=S2=S3,False
CS02,常熟虞山镇,P,ᴀ,u,u,u,合流型,多元合并,S1=S2=S3,False
CS02,常熟虞山镇,TS,ᴀ,u,ɯ,ɯ,合流型,单一合并,S2=S3,False
