point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,安吉县志/安吉方言调查
AJ01,安吉安城,太湖片-苕溪小片,,,歌,T,多,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,T,拖,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,T,他,a,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,T,驼,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,T,驮,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,T,陀,,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,T,鸵,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,T,沱,,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,T,舵,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,T,大,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,T,驮,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,N,挪,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,N,哪,a/ɷ,/～吒,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,N,那,ɷ/a,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,L,罗,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,L,锣,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,L,箩,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,L,萝,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,L,逻,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,TS,左,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,TS,佐,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,TS,搓,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,TS,娑,,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,K,歌,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,K,哥,ɷ/a,文读/白读,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,K,柯,,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,K,个,e,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,K,轲,,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,K,可,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,K,蛾,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,K,鹅,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,K,俄,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,K,娥,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,K,我,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,K,饿,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,Ø,荷,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,Ø,河,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,Ø,何,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,Ø,荷,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,Ø,贺,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,Ø,阿,u,～胶,
AJ01,安吉安城,太湖片-苕溪小片,,,歌,Ø,屙,,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,K,茄,ɷ/a,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,P,波,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,P,菠,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,P,跛,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,P,簸,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,P,簸,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,P,播,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,P,颇,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,P,坡,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,P,玻,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,P,破,u/a,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,P,婆,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,P,薄,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,M,魔,,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,M,磨,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,M,摩,,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,M,馍,,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,M,蘑,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,M,磨,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,T,朵,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,T,躲,ɷ/u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,T,剁,,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,T,妥,ɷ,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,T,椭,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,T,唾,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,T,砣,,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,T,惰,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,T,垛,u,,
AJ01,安吉安城,太湖片-苕溪小片,,,戈,T,堕,u,,
