point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,北仑方言
BL01,北仑城关,太湖片-甬江小片,,,歌,T,多,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,T,拖,a/au,～鼻涕,
BL01,北仑城关,太湖片-甬江小片,,,歌,T,他,a,,
BL01,北仑城关,太湖片-甬江小片,,,歌,T,驼,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,T,驮,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,T,陀,,,
BL01,北仑城关,太湖片-甬江小片,,,歌,T,鸵,,,
BL01,北仑城关,太湖片-甬江小片,,,歌,T,沱,,,
BL01,北仑城关,太湖片-甬江小片,,,歌,T,舵,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,T,大,a/o/au,文读/～家/白读,
BL01,北仑城关,太湖片-甬江小片,,,歌,T,驮,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,N,挪,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,N,哪,a/o,/～吒,
BL01,北仑城关,太湖片-甬江小片,,,歌,N,那,a,,
BL01,北仑城关,太湖片-甬江小片,,,歌,L,罗,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,L,锣,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,L,箩,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,L,萝,,,
BL01,北仑城关,太湖片-甬江小片,,,歌,L,逻,,,
BL01,北仑城关,太湖片-甬江小片,,,歌,TS,左,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,TS,佐,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,TS,搓,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,TS,娑,,,
BL01,北仑城关,太湖片-甬江小片,,,歌,K,歌,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,K,哥,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,K,柯,,,
BL01,北仑城关,太湖片-甬江小片,,,歌,K,个,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,K,轲,,,
BL01,北仑城关,太湖片-甬江小片,,,歌,K,可,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,K,蛾,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,K,鹅,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,K,俄,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,K,娥,,,
BL01,北仑城关,太湖片-甬江小片,,,歌,K,我,o/au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,K,饿,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,Ø,荷,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,Ø,河,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,Ø,何,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,Ø,荷,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,Ø,贺,au,,
BL01,北仑城关,太湖片-甬江小片,,,歌,Ø,阿,au,～胶,
BL01,北仑城关,太湖片-甬江小片,,,歌,Ø,屙,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,茄,e,,
BL01,北仑城关,太湖片-甬江小片,,,戈,P,波,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,P,菠,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,P,跛,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,P,簸,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,P,簸,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,P,播,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,P,颇,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,P,坡,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,P,玻,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,P,破,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,P,婆,au/øy,/老太～,
BL01,北仑城关,太湖片-甬江小片,,,戈,P,薄,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,M,魔,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,M,磨,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,M,摩,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,M,馍,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,M,蘑,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,M,磨,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,T,朵,o,,
BL01,北仑城关,太湖片-甬江小片,,,戈,T,躲,o,,
BL01,北仑城关,太湖片-甬江小片,,,戈,T,剁,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,T,妥,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,T,椭,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,T,唾,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,T,砣,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,T,惰,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,T,垛,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,T,堕,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,N,挼,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,N,糯,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,N,懦,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,L,骡,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,L,螺,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,L,脶,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,L,啰,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,L,裸,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,L,瘰,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,L,摞,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,TS,锉,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,TS,莝,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,TS,矬,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,TS,坐,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,TS,座,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,TS,蓑,o,,
BL01,北仑城关,太湖片-甬江小片,,,戈,TS,梭,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,TS,唆,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,TS,莎,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,TS,锁,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,TS,琐,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,TS,唢,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,过,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,锅,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,戈,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,果,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,裹,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,餜,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,过,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,科,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,窠,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,棵,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,髁,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,蝌,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,颗,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,课,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,讹,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,K,卧,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,火,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,伙,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,货,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,和,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,禾,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,祸,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,夥,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,和,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,倭,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,踒,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,窝,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,涡,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,莴,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,涴,au,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,瘸,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,靴,,,
BL01,北仑城关,太湖片-甬江小片,,,戈,Ø,�,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,巴,o/øy,/儿化尾～,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,芭,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,疤,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,笆,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,吧,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,把,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,靶,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,霸,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,欛,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,壩,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,坝,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,爸,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,怕,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,帕,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,爬,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,琶,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,杷,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,钯,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,P,耙,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,M,麻,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,M,痲,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,M,蟆,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,M,妈,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,M,马,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,M,码,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,M,玛,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,M,蚂,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,M,骂,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,N,拿,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS,茶,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS,搽,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS,䖳,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,楂,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,渣,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,诈,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,榨,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,炸,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,叉,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,杈,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,差,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,岔,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,差,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,茬,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,查,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,乍,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,沙,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,纱,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,痧,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,砂,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,鲨,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,裟,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,洒,a,,
BL01,北仑城关,太湖片-甬江小片,,,麻,TS*,厦,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,家,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,傢,ia,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,加,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,痂,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,嘉,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,枷,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,袈,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,假,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,贾,ia,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,假,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,架,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,驾,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,嫁,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,稼,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,价,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,揢,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,牙,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,芽,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,衙,o,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,伢,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,蚜,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,雅,ia,,
BL01,北仑城关,太湖片-甬江小片,,,麻,K,砑,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,虾,uo,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,�,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,嚇,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,霞,uo,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,瑕,ia,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,遐,ia,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,蝦,,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,下,uo,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,夏,uo,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,厦,uo,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,下,uo,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,夏,uo,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,暇,uo,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,鸦,uo,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,丫,uo,,
BL01,北仑城关,太湖片-甬江小片,,,麻,Ø,桠,uo,,
