point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,上海地区方言调查研究
BS01,宝山,太湖片-苏沪嘉小片,,,歌,T,多,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,T,拖,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,T,他,ᴀ,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,T,驼,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,T,陀,,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,T,沱,,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,T,舵,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,T,大,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,N,挪,,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,N,哪,,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,N,那,,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,L,箩,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,L,萝,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,L,逻,,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,TS,左,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,TS,佐,,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,TS,搓,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,K,歌,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,K,哥,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,K,柯,,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,K,个,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,K,轲,,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,K,可,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,K,蛾,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,K,鹅,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,K,俄,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,K,娥,,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,K,我,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,K,饿,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,Ø,阿,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,茄,ᴀ,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,P,波,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,P,跛,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,P,播,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,P,破,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,P,薄,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,M,魔,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,M,磨,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,M,摩,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,M,馍,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,M,蘑,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,M,磨,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,T,朵,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,T,躲,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,T,剁,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,T,妥,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,T,椭,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,T,唾,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,T,砣,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,T,惰,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,T,垛,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,T,堕,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,N,挼,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,N,糯,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,N,懦,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,L,骡,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,L,螺,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,L,脶,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,L,啰,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,L,裸,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,L,摞,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,TS,锉,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,TS,坐,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,TS,座,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,TS,蓑,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,TS,梭,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,TS,唆,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,TS,莎,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,TS,锁,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,TS,琐,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,TS,唢,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,过,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,锅,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,戈,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,果,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,裹,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,餜,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,过,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,科,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,窠,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,棵,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,髁,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,蝌,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,颗,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,课,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,讹,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,K,卧,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,火,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,伙,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,货,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,和,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,禾,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,祸,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,夥,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,倭,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,踒,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,窝,u,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,涡,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,莴,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,涴,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,瘸,,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,靴,y,,
BS01,宝山,太湖片-苏沪嘉小片,,,戈,Ø,�,,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,巴,o,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,芭,o,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,疤,o,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,笆,,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,吧,,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,把,o,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,靶,,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,霸,o,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,欛,,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,壩,,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,坝,o,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,爸,ᴀ,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,怕,o,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,帕,o,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,爬,o,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,琶,o,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,杷,o,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,钯,,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,P,耙,,,
BS01,宝山,太湖片-苏沪嘉小片,,,麻,M,麻,o,,
