point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,T,多,u,上海地区方言调查研究
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,T,拖,ɑ/u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,T,他,ɑ,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,T,驼,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,T,驮,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,T,陀,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,T,鸵,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,T,沱,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,T,舵,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,T,大,u/ɑ,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,T,驮,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,N,挪,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,N,哪,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,N,那,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,L,罗,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,L,锣,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,L,箩,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,L,萝,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,L,逻,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,TS,左,u/i,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,TS,佐,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,TS,搓,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,TS,娑,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,K,歌,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,K,哥,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,K,柯,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,K,个,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,K,轲,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,K,可,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,K,蛾,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,K,鹅,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,K,俄,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,K,娥,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,K,我,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,K,饿,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,Ø,河,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,Ø,何,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,Ø,阿,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,歌,Ø,屙,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,K,茄,ɑ,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,P,波,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,P,菠,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,P,跛,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,P,簸,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,P,簸,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,P,播,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,P,颇,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,P,坡,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,P,玻,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,P,破,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,P,婆,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,P,薄,,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,M,魔,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,M,磨,u,
BZ01,堡镇,太湖片-苏沪嘉小片,,,戈,M,摩,u,
