point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,T,多,ɯ,莫娲2016
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,T,拖,ɯ,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,T,他,,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,T,驼,ɯ,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,T,驮,ɯ,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,T,陀,,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,T,鸵,,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,T,沱,,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,T,舵,ɯ,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,T,大,ɯ/ᴀ,白读/文读
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,T,驮,ɯ,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,N,挪,ɯ,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,N,哪,,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,N,那,,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,L,罗,ɯ,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,L,锣,ɯ,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,L,箩,ɯ,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,L,萝,,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,L,逻,,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,TS,左,ɯ/i,文读/白读
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,TS,佐,ɯ,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,TS,搓,ɯ,
CS02,常熟虞山镇,太湖片-苏沪嘉小片,,,歌,TS,娑,,
