point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
CZ01,常州,太湖片-毗陵小片,,,歌,T,多,ɤɯ,江苏省志1998
CZ01,常州,太湖片-毗陵小片,,,歌,T,拖,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,T,他,a,
CZ01,常州,太湖片-毗陵小片,,,歌,T,驼,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,T,驮,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,T,陀,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,T,鸵,,
CZ01,常州,太湖片-毗陵小片,,,歌,T,沱,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,T,舵,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,T,大,ɤɯ/a,
CZ01,常州,太湖片-毗陵小片,,,歌,T,驮,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,N,挪,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,N,哪,a,
CZ01,常州,太湖片-毗陵小片,,,歌,N,那,a,
CZ01,常州,太湖片-毗陵小片,,,歌,L,罗,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,L,锣,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,L,箩,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,L,萝,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,L,逻,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,TS,左,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,TS,佐,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,TS,搓,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,TS,娑,,
CZ01,常州,太湖片-毗陵小片,,,歌,K,歌,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,K,哥,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,K,柯,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,K,个,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,K,轲,,
CZ01,常州,太湖片-毗陵小片,,,歌,K,可,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,K,蛾,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,K,鹅,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,K,俄,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,K,娥,,
CZ01,常州,太湖片-毗陵小片,,,歌,K,我,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,K,饿,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,Ø,荷,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,Ø,河,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,Ø,何,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,Ø,荷,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,Ø,贺,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,歌,Ø,阿,,
CZ01,常州,太湖片-毗陵小片,,,歌,Ø,屙,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,K,茄,ia,
CZ01,常州,太湖片-毗陵小片,,,戈,P,波,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,P,菠,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,P,跛,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,P,簸,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,P,簸,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,P,播,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,P,颇,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,P,坡,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,P,玻,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,P,破,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,P,婆,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,P,薄,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,M,魔,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,M,磨,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,M,摩,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,M,馍,,
CZ01,常州,太湖片-毗陵小片,,,戈,M,蘑,o,
CZ01,常州,太湖片-毗陵小片,,,戈,M,磨,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,T,朵,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,T,躲,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,T,剁,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,T,妥,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,T,椭,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,T,唾,,
CZ01,常州,太湖片-毗陵小片,,,戈,T,砣,,
CZ01,常州,太湖片-毗陵小片,,,戈,T,惰,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,T,垛,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,T,堕,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,N,挼,,
CZ01,常州,太湖片-毗陵小片,,,戈,N,糯,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,N,懦,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,L,骡,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,L,螺,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,L,脶,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,L,啰,,
CZ01,常州,太湖片-毗陵小片,,,戈,L,裸,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,L,瘰,,
CZ01,常州,太湖片-毗陵小片,,,戈,L,摞,,
CZ01,常州,太湖片-毗陵小片,,,戈,TS,锉,,
CZ01,常州,太湖片-毗陵小片,,,戈,TS,莝,,
CZ01,常州,太湖片-毗陵小片,,,戈,TS,矬,,
CZ01,常州,太湖片-毗陵小片,,,戈,TS,坐,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,TS,座,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,TS,蓑,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,TS,梭,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,TS,唆,,
CZ01,常州,太湖片-毗陵小片,,,戈,TS,莎,,
CZ01,常州,太湖片-毗陵小片,,,戈,TS,锁,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,TS,琐,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,TS,唢,,
CZ01,常州,太湖片-毗陵小片,,,戈,K,过,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,K,锅,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,K,戈,ɤɯ,
CZ01,常州,太湖片-毗陵小片,,,戈,K,果,ɤɯ,
