point_id,point_name,subbranch,lat,lon,韵,声组,汉字,奉城,note
FC01,奉城,太湖片-苏沪嘉小片,,,歌,T,多,u,上海地区方言调查研究
FC01,奉城,太湖片-苏沪嘉小片,,,歌,T,拖,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,T,他,ɑ,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,T,驼,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,T,驮,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,T,陀,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,T,鸵,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,T,沱,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,T,舵,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,T,大,u/ɑ,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,T,驮,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,N,挪,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,N,哪,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,N,那,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,L,罗,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,L,锣,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,L,箩,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,L,萝,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,L,逻,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,TS,左,u/i,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,TS,佐,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,TS,搓,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,TS,娑,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,K,歌,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,K,哥,ɯ,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,K,柯,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,K,个,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,K,轲,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,K,可,ɔ,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,K,蛾,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,K,鹅,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,K,俄,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,K,娥,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,K,我,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,K,饿,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,Ø,河,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,Ø,何,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,Ø,阿,,
FC01,奉城,太湖片-苏沪嘉小片,,,歌,Ø,屙,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,K,茄,ɑ,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,P,波,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,P,菠,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,P,跛,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,P,簸,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,P,簸,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,P,播,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,P,颇,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,P,坡,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,P,玻,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,P,破,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,P,婆,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,P,薄,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,M,魔,o,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,M,磨,o,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,M,摩,o,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,M,馍,o,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,M,蘑,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,M,磨,o,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,T,朵,o,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,T,躲,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,T,剁,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,T,妥,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,T,椭,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,T,唾,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,T,砣,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,T,惰,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,T,垛,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,T,堕,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,N,挼,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,N,糯,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,N,懦,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,L,骡,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,L,螺,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,L,脶,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,L,啰,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,L,裸,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,L,瘰,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,L,摞,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,TS,锉,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,TS,莝,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,TS,矬,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,TS,坐,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,TS,座,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,TS,蓑,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,TS,梭,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,TS,唆,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,TS,莎,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,TS,锁,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,TS,琐,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,TS,唢,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,K,过,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,K,锅,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,K,戈,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,K,果,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,K,裹,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,K,餜,,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,K,过,u,
FC01,奉城,太湖片-苏沪嘉小片,,,戈,K,科,u,
