point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,奉化方言同音字汇
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,多,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,拖,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,他,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,驼,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,驮,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,陀,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,鸵,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,沱,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,舵,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,大,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,T,驮,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,N,挪,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,N,哪,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,N,那,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,L,罗,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,L,锣,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,L,箩,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,L,萝,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,L,逻,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,TS,左,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,TS,佐,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,TS,搓,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,TS,娑,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,歌,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,哥,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,柯,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,个,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,轲,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,可,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,蛾,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,鹅,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,俄,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,娥,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,我,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,K,饿,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,Ø,荷,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,Ø,河,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,Ø,何,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,Ø,荷,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,Ø,贺,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,Ø,阿,,,
FH01,奉化西坞,太湖片-甬江小片,,,歌,Ø,屙,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,茄,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,波,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,菠,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,跛,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,簸,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,簸,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,播,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,颇,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,坡,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,玻,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,破,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,婆,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,P,薄,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,M,魔,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,M,磨,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,M,摩,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,M,馍,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,M,蘑,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,M,磨,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,T,朵,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,T,躲,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,T,剁,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,T,妥,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,T,椭,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,T,唾,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,T,砣,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,T,惰,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,T,垛,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,T,堕,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,N,挼,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,N,糯,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,N,懦,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,L,骡,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,L,螺,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,L,脶,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,L,啰,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,L,裸,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,L,瘰,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,L,摞,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,TS,锉,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,TS,莝,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,TS,矬,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,TS,坐,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,TS,座,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,TS,蓑,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,TS,梭,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,TS,唆,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,TS,莎,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,TS,锁,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,TS,琐,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,TS,唢,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,过,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,锅,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,戈,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,果,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,裹,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,餜,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,过,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,科,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,窠,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,棵,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,髁,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,蝌,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,颗,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,课,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,讹,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,K,卧,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,Ø,火,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,Ø,伙,,,
FH01,奉化西坞,太湖片-甬江小片,,,戈,Ø,货,,,
