point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,上海地区方言调查研究
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,T,多,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,T,拖,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,T,他,ɑ,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,T,驼,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,T,驮,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,T,陀,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,T,沱,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,T,舵,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,T,大,u/ɑ,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,T,驮,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,N,挪,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,N,哪,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,N,那,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,L,箩,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,L,萝,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,L,逻,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,TS,左,u/i,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,TS,佐,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,TS,搓,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,K,歌,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,K,哥,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,K,柯,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,K,个,ɯ,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,K,轲,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,K,可,ɔ,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,K,蛾,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,K,鹅,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,K,俄,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,K,娥,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,K,我,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,K,饿,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,Ø,阿,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,K,茄,ɑ,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,P,波,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,P,跛,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,P,簸,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,P,簸,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,P,播,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,P,破,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,P,薄,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,M,魔,o,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,M,摩,o,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,M,馍,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,M,蘑,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,T,朵,u/o,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,T,躲,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,T,剁,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,T,妥,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,T,椭,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,T,唾,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,T,砣,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,T,惰,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,T,垛,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,T,堕,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,N,挼,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,N,糯,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,N,懦,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,L,骡,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,L,螺,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,L,脶,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,L,啰,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,L,裸,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,L,摞,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,TS,锉,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,TS,坐,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,TS,座,u,,
FX01,奉贤,太湖片-苏沪嘉小片,,,戈,TS,蓑,u,,
