point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,富阳方言研究
FY01,富阳城关,太湖片-临绍小片,,,歌,T,多,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,T,拖,a/ʊ,～动/～拉机,
FY01,富阳城关,太湖片-临绍小片,,,歌,T,他,a,,
FY01,富阳城关,太湖片-临绍小片,,,歌,T,驼,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,T,驮,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,T,陀,,,
FY01,富阳城关,太湖片-临绍小片,,,歌,T,鸵,,,
FY01,富阳城关,太湖片-临绍小片,,,歌,T,沱,,,
FY01,富阳城关,太湖片-临绍小片,,,歌,T,舵,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,T,大,a/ʊ,文读/白读,
FY01,富阳城关,太湖片-临绍小片,,,歌,T,驮,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,N,挪,o,,
FY01,富阳城关,太湖片-临绍小片,,,歌,N,哪,a,,
FY01,富阳城关,太湖片-临绍小片,,,歌,N,那,a,,
FY01,富阳城关,太湖片-临绍小片,,,歌,L,罗,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,L,锣,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,L,箩,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,L,萝,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,L,逻,,,
FY01,富阳城关,太湖片-临绍小片,,,歌,TS,左,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,TS,佐,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,TS,搓,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,TS,娑,,,
FY01,富阳城关,太湖片-临绍小片,,,歌,K,歌,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,K,哥,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,K,柯,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,K,个,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,K,轲,,,
FY01,富阳城关,太湖片-临绍小片,,,歌,K,可,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,K,蛾,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,K,鹅,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,K,俄,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,K,娥,,,
FY01,富阳城关,太湖片-临绍小片,,,歌,K,我,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,K,饿,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,歌,Ø,荷,ku/u,薄～/～花,
FY01,富阳城关,太湖片-临绍小片,,,歌,Ø,河,u,,
FY01,富阳城关,太湖片-临绍小片,,,歌,Ø,何,u/a/o,/～里/～事,
FY01,富阳城关,太湖片-临绍小片,,,歌,Ø,荷,ku/u,薄～/～花,
FY01,富阳城关,太湖片-临绍小片,,,歌,Ø,贺,u,,
FY01,富阳城关,太湖片-临绍小片,,,歌,Ø,阿,o,～弥陀佛,
FY01,富阳城关,太湖片-临绍小片,,,歌,Ø,屙,,,
FY01,富阳城关,太湖片-临绍小片,,,戈,K,茄,ia,,
FY01,富阳城关,太湖片-临绍小片,,,戈,P,波,u,,
FY01,富阳城关,太湖片-临绍小片,,,戈,P,菠,u,,
FY01,富阳城关,太湖片-临绍小片,,,戈,P,跛,,,
FY01,富阳城关,太湖片-临绍小片,,,戈,P,簸,u,,
FY01,富阳城关,太湖片-临绍小片,,,戈,P,簸,u,,
FY01,富阳城关,太湖片-临绍小片,,,戈,P,播,,,
FY01,富阳城关,太湖片-临绍小片,,,戈,P,颇,,,
FY01,富阳城关,太湖片-临绍小片,,,戈,P,坡,u,,
FY01,富阳城关,太湖片-临绍小片,,,戈,P,玻,u,,
FY01,富阳城关,太湖片-临绍小片,,,戈,P,破,u/o,文读/东西～,
FY01,富阳城关,太湖片-临绍小片,,,戈,P,婆,u,,
FY01,富阳城关,太湖片-临绍小片,,,戈,P,薄,u,,
FY01,富阳城关,太湖片-临绍小片,,,戈,M,魔,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,戈,M,磨,a/ʊ,{慢移}/动作、工具,
FY01,富阳城关,太湖片-临绍小片,,,戈,M,摩,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,戈,M,馍,,,
FY01,富阳城关,太湖片-临绍小片,,,戈,M,蘑,,,
FY01,富阳城关,太湖片-临绍小片,,,戈,M,磨,a/ʊ,{慢移}/动作、工具,
FY01,富阳城关,太湖片-临绍小片,,,戈,T,朵,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,戈,T,躲,ʊ,,
FY01,富阳城关,太湖片-临绍小片,,,戈,T,剁,,,
