point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,海宁方言志2009
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,T,多,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,T,拖,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,T,他,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,T,驼,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,T,陀,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,T,沱,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,T,舵,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,T,大,u/a,白读/文读,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,T,驮,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,N,挪,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,N,哪,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,N,那,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,L,箩,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,L,萝,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,L,逻,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,TS,左,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,TS,佐,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,TS,搓,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,K,歌,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,K,哥,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,K,柯,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,K,个,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,K,轲,,,
