point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,浙江省语言志
HZ01,杭州城区,太湖片-杭州小片,,,歌,T,多,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,T,拖,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,T,他,a,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,T,驼,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,T,驮,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,T,陀,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,T,鸵,,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,T,沱,,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,T,舵,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,T,大,a/o,～妈妈/～手{右手},
HZ01,杭州城区,太湖片-杭州小片,,,歌,T,驮,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,N,挪,,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,N,哪,,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,N,那,a,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,L,罗,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,L,锣,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,L,箩,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,L,萝,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,L,逻,,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,TS,左,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,TS,佐,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,TS,搓,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,TS,娑,,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,K,歌,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,K,哥,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,K,柯,,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,K,个,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,K,轲,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,K,可,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,K,蛾,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,K,鹅,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,K,俄,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,K,娥,,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,K,我,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,K,饿,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,Ø,荷,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,Ø,河,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,Ø,何,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,Ø,荷,o,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,Ø,贺,,,
HZ01,杭州城区,太湖片-杭州小片,,,歌,Ø,阿,o,～胶,
HZ01,杭州城区,太湖片-杭州小片,,,歌,Ø,屙,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,茄,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,P,波,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,P,菠,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,P,跛,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,P,簸,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,P,簸,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,P,播,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,P,颇,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,P,坡,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,P,玻,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,P,破,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,P,婆,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,P,薄,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,M,魔,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,M,磨,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,M,摩,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,M,馍,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,M,蘑,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,M,磨,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,T,朵,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,T,躲,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,T,剁,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,T,妥,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,T,椭,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,T,唾,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,T,砣,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,T,惰,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,T,垛,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,T,堕,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,N,挼,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,N,糯,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,N,懦,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,L,骡,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,L,螺,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,L,脶,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,L,啰,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,L,裸,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,L,瘰,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,L,摞,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,TS,锉,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,TS,莝,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,TS,矬,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,TS,坐,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,TS,座,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,TS,蓑,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,TS,梭,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,TS,唆,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,TS,莎,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,TS,锁,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,TS,琐,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,TS,唢,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,过,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,锅,u,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,戈,u,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,果,u,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,裹,u,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,餜,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,过,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,科,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,窠,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,棵,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,髁,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,蝌,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,颗,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,课,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,讹,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,K,卧,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,火,u,,
