point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,浙江省方言志
HZ02,湖州市区,太湖片-苕溪小片,,,歌,T,多,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,T,拖,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,T,他,,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,T,驼,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,T,驮,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,T,陀,,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,T,鸵,,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,T,沱,,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,T,舵,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,T,大,a/əu,文读/白读,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,T,驮,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,N,挪,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,N,哪,,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,N,那,,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,L,罗,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,L,锣,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,L,箩,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,L,萝,,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,L,逻,,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,TS,左,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,TS,佐,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,TS,搓,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,TS,娑,,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,K,歌,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,K,哥,a/əu,白读/文读,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,K,柯,,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,K,个,e,一～人,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,K,轲,,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,K,可,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,K,蛾,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,K,鹅,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,K,俄,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,K,娥,,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,K,我,,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,K,饿,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,Ø,荷,u,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,Ø,河,u,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,Ø,何,u,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,Ø,荷,u,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,Ø,贺,u,,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,Ø,阿,u,～胶,
HZ02,湖州市区,太湖片-苕溪小片,,,歌,Ø,屙,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,K,茄,a,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,P,波,u,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,P,菠,u,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,P,跛,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,P,簸,u,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,P,簸,u,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,P,播,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,P,颇,u,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,P,坡,u,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,P,玻,u,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,P,破,u,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,P,婆,u,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,P,薄,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,M,魔,ɷ,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,M,磨,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,M,摩,ɷ,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,M,馍,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,M,蘑,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,M,磨,ɷ,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,T,朵,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,T,躲,ɷ,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,T,剁,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,T,妥,ɷ,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,T,椭,ɷ,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,T,唾,ɷ,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,T,砣,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,T,惰,ɷ,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,T,垛,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,T,堕,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,N,挼,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,N,糯,əu,文读,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,N,懦,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,L,骡,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,L,螺,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,L,脶,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,L,啰,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,L,裸,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,L,瘰,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,L,摞,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,TS,锉,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,TS,莝,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,TS,矬,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,TS,坐,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,TS,座,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,TS,蓑,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,TS,梭,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,TS,唆,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,TS,莎,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,TS,锁,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,TS,琐,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,TS,唢,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,K,过,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,K,锅,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,K,戈,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,K,果,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,K,裹,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,K,餜,,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,K,过,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,K,科,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,K,窠,əu,,
HZ02,湖州市区,太湖片-苕溪小片,,,戈,K,棵,əu,,
