point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,嘉定方言研究1993
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,T,多,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,T,拖,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,T,他,ᴀ,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,T,驼,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,T,陀,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,T,沱,,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,T,舵,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,T,大,u,白读,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,N,挪,o,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,N,哪,ᴀ,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,N,那,ᴀ,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,L,箩,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,L,萝,,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,L,逻,,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,TS,左,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,TS,佐,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,TS,搓,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,K,歌,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,K,哥,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,K,柯,,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,K,个,u,文读,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,K,轲,,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,K,可,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,K,蛾,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,K,鹅,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,K,俄,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,K,娥,,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,K,我,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,K,饿,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,Ø,阿,u,～胶,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,歌,Ø,屙,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,戈,K,茄,ᴀ,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,戈,P,波,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,戈,P,跛,,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,戈,P,播,,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,戈,P,破,u,,
JD01,嘉定城关,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
