point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,吴语嘉善方言研究
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,T,多,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,T,拖,u/a,/～过来,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,T,他,a,文读,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,T,驼,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,T,陀,,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,T,沱,,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,T,舵,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,T,大,u,白读,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,N,挪,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,N,哪,a,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,N,那,a,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,L,箩,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,L,萝,,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,L,逻,,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,TS,左,i/u,～手/文读,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,TS,佐,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,TS,搓,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,K,歌,u/ɤ,文读/白读,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,K,哥,u/ɤ,文读/白读,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,K,柯,,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,K,个,,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,K,轲,,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,K,可,o,～口～乐,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,K,蛾,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,K,鹅,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,K,俄,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,K,娥,,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,K,我,u,文读,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,K,饿,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
