point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,东城街道江喜昌2021
JT01,金坛,太湖片-毗陵小片,,,歌,T,多,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,T,拖,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,T,他,a,,
JT01,金坛,太湖片-毗陵小片,,,歌,T,驼,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,T,驮,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,T,陀,,,
JT01,金坛,太湖片-毗陵小片,,,歌,T,鸵,,,
JT01,金坛,太湖片-毗陵小片,,,歌,T,沱,,,
JT01,金坛,太湖片-毗陵小片,,,歌,T,舵,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,T,大,əu/a,～小,
JT01,金坛,太湖片-毗陵小片,,,歌,T,驮,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,N,挪,o,,
JT01,金坛,太湖片-毗陵小片,,,歌,N,哪,o,,
JT01,金坛,太湖片-毗陵小片,,,歌,N,那,a,,
JT01,金坛,太湖片-毗陵小片,,,歌,L,罗,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,L,锣,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,L,箩,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,L,萝,əu/ao,/～卜叶叶,
JT01,金坛,太湖片-毗陵小片,,,歌,L,逻,,,
JT01,金坛,太湖片-毗陵小片,,,歌,TS,左,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,TS,佐,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,TS,搓,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,TS,娑,,,
JT01,金坛,太湖片-毗陵小片,,,歌,K,歌,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,K,哥,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,K,柯,,,
JT01,金坛,太湖片-毗陵小片,,,歌,K,个,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,K,轲,,,
JT01,金坛,太湖片-毗陵小片,,,歌,K,可,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,K,蛾,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,K,鹅,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,K,俄,,,
JT01,金坛,太湖片-毗陵小片,,,歌,K,娥,,,
JT01,金坛,太湖片-毗陵小片,,,歌,K,我,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,K,饿,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,Ø,荷,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,Ø,河,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,Ø,何,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,Ø,荷,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,Ø,贺,əu,,
JT01,金坛,太湖片-毗陵小片,,,歌,Ø,阿,o,～胶,
JT01,金坛,太湖片-毗陵小片,,,歌,Ø,屙,o,～屎,
JT01,金坛,太湖片-毗陵小片,,,戈,K,茄,ia,,
JT01,金坛,太湖片-毗陵小片,,,戈,P,波,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,P,菠,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,P,跛,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,P,簸,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,P,簸,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,P,播,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,P,颇,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,P,坡,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,P,玻,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,P,破,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,P,婆,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,P,薄,əu,～荷,
JT01,金坛,太湖片-毗陵小片,,,戈,M,魔,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,M,磨,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,M,摩,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,M,馍,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,M,蘑,,,
JT01,金坛,太湖片-毗陵小片,,,戈,M,磨,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,T,朵,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,T,躲,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,T,剁,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,T,妥,o,,
JT01,金坛,太湖片-毗陵小片,,,戈,T,椭,o,,
JT01,金坛,太湖片-毗陵小片,,,戈,T,唾,u,,
JT01,金坛,太湖片-毗陵小片,,,戈,T,砣,əu,秤～,
JT01,金坛,太湖片-毗陵小片,,,戈,T,惰,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,T,垛,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,T,堕,o,,
JT01,金坛,太湖片-毗陵小片,,,戈,N,挼,,,
JT01,金坛,太湖片-毗陵小片,,,戈,N,糯,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,N,懦,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,L,骡,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,L,螺,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,L,脶,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,L,啰,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,L,裸,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,L,瘰,,,
JT01,金坛,太湖片-毗陵小片,,,戈,L,摞,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,TS,锉,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,TS,莝,,,
JT01,金坛,太湖片-毗陵小片,,,戈,TS,矬,,,
JT01,金坛,太湖片-毗陵小片,,,戈,TS,坐,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,TS,座,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,TS,蓑,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,TS,梭,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,TS,唆,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,TS,莎,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,TS,锁,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,TS,琐,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,TS,唢,,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,过,əu,～期,
JT01,金坛,太湖片-毗陵小片,,,戈,K,锅,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,戈,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,果,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,裹,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,餜,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,过,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,科,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,窠,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,棵,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,髁,,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,蝌,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,颗,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,课,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,讹,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,K,卧,o,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,火,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,伙,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,货,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,和,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,禾,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,祸,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,夥,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,和,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,倭,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,踒,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,窝,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,涡,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,莴,əu,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,涴,,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,瘸,ia,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,靴,yɛ,,
JT01,金坛,太湖片-毗陵小片,,,戈,Ø,�,,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,巴,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,芭,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,疤,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,笆,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,吧,,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,把,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,靶,,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,霸,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,欛,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,壩,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,坝,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,爸,a,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,怕,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,帕,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,爬,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,琶,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,杷,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,钯,,,
JT01,金坛,太湖片-毗陵小片,,,麻,P,耙,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,M,麻,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,M,痲,o,,
