point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,王盈新2011/石汝杰
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,T,多,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,T,拖,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,T,他,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,T,驼,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,T,陀,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,T,鸵,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,T,沱,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,T,舵,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,T,大,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,N,挪,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,N,哪,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,N,那,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,L,罗,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,L,锣,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,L,箩,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,L,萝,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,L,逻,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,TS,左,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,TS,佐,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,TS,搓,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,K,歌,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,K,哥,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,K,柯,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,K,个,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,K,轲,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,K,可,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,K,蛾,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,K,鹅,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,K,俄,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,K,娥,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,K,我,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,K,饿,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,Ø,河,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,Ø,何,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,Ø,贺,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,Ø,阿,u/əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,歌,Ø,屙,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,茄,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,P,波,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,P,跛,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,P,播,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,P,颇,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,P,破,u,,
