point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
LA01,临安城区,太湖片-临绍小片,,,歌,T,多,o,临安地区方言语音研究
LA01,临安城区,太湖片-临绍小片,,,歌,T,拖,a/o,～舌头/～垃机
LA01,临安城区,太湖片-临绍小片,,,歌,T,他,a,
LA01,临安城区,太湖片-临绍小片,,,歌,T,驼,o,
LA01,临安城区,太湖片-临绍小片,,,歌,T,驮,o,
LA01,临安城区,太湖片-临绍小片,,,歌,T,陀,,
LA01,临安城区,太湖片-临绍小片,,,歌,T,鸵,,
LA01,临安城区,太湖片-临绍小片,,,歌,T,沱,,
LA01,临安城区,太湖片-临绍小片,,,歌,T,舵,,
LA01,临安城区,太湖片-临绍小片,,,歌,T,大,a/o,文读/白读
LA01,临安城区,太湖片-临绍小片,,,歌,T,驮,,
LA01,临安城区,太湖片-临绍小片,,,歌,N,挪,,
LA01,临安城区,太湖片-临绍小片,,,歌,N,哪,a,
LA01,临安城区,太湖片-临绍小片,,,歌,N,那,,
LA01,临安城区,太湖片-临绍小片,,,歌,L,罗,o,
LA01,临安城区,太湖片-临绍小片,,,歌,L,锣,o,
LA01,临安城区,太湖片-临绍小片,,,歌,L,箩,o,
LA01,临安城区,太湖片-临绍小片,,,歌,L,萝,o,
LA01,临安城区,太湖片-临绍小片,,,歌,L,逻,,
LA01,临安城区,太湖片-临绍小片,,,歌,TS,左,o,
LA01,临安城区,太湖片-临绍小片,,,歌,TS,佐,o,
LA01,临安城区,太湖片-临绍小片,,,歌,TS,搓,o,
LA01,临安城区,太湖片-临绍小片,,,歌,TS,娑,,
LA01,临安城区,太湖片-临绍小片,,,歌,K,歌,o,
LA01,临安城区,太湖片-临绍小片,,,歌,K,哥,o,
LA01,临安城区,太湖片-临绍小片,,,歌,K,柯,,
LA01,临安城区,太湖片-临绍小片,,,歌,K,个,o,
LA01,临安城区,太湖片-临绍小片,,,歌,K,轲,,
LA01,临安城区,太湖片-临绍小片,,,歌,K,可,o,
LA01,临安城区,太湖片-临绍小片,,,歌,K,蛾,o,
LA01,临安城区,太湖片-临绍小片,,,歌,K,鹅,o,
LA01,临安城区,太湖片-临绍小片,,,歌,K,俄,o,
LA01,临安城区,太湖片-临绍小片,,,歌,K,娥,o,
LA01,临安城区,太湖片-临绍小片,,,歌,K,我,o,
LA01,临安城区,太湖片-临绍小片,,,歌,K,饿,o,
LA01,临安城区,太湖片-临绍小片,,,歌,Ø,荷,o,
LA01,临安城区,太湖片-临绍小片,,,歌,Ø,河,o,
LA01,临安城区,太湖片-临绍小片,,,歌,Ø,何,o,
LA01,临安城区,太湖片-临绍小片,,,歌,Ø,荷,o,
LA01,临安城区,太湖片-临绍小片,,,歌,Ø,贺,o,
LA01,临安城区,太湖片-临绍小片,,,歌,Ø,阿,,
LA01,临安城区,太湖片-临绍小片,,,歌,Ø,屙,,
LA01,临安城区,太湖片-临绍小片,,,戈,K,茄,a,
LA01,临安城区,太湖片-临绍小片,,,戈,P,波,o,
LA01,临安城区,太湖片-临绍小片,,,戈,P,菠,o,
LA01,临安城区,太湖片-临绍小片,,,戈,P,跛,,
LA01,临安城区,太湖片-临绍小片,,,戈,P,簸,o,
LA01,临安城区,太湖片-临绍小片,,,戈,P,簸,o,
LA01,临安城区,太湖片-临绍小片,,,戈,P,播,o,
LA01,临安城区,太湖片-临绍小片,,,戈,P,颇,,
LA01,临安城区,太湖片-临绍小片,,,戈,P,坡,o,
LA01,临安城区,太湖片-临绍小片,,,戈,P,玻,o,
LA01,临安城区,太湖片-临绍小片,,,戈,P,破,o,文读
LA01,临安城区,太湖片-临绍小片,,,戈,P,婆,o,
LA01,临安城区,太湖片-临绍小片,,,戈,P,薄,,
LA01,临安城区,太湖片-临绍小片,,,戈,M,魔,o,
LA01,临安城区,太湖片-临绍小片,,,戈,M,磨,o,
LA01,临安城区,太湖片-临绍小片,,,戈,M,摩,o,
LA01,临安城区,太湖片-临绍小片,,,戈,M,馍,,
LA01,临安城区,太湖片-临绍小片,,,戈,M,蘑,,
LA01,临安城区,太湖片-临绍小片,,,戈,M,磨,o,
LA01,临安城区,太湖片-临绍小片,,,戈,T,朵,o,
LA01,临安城区,太湖片-临绍小片,,,戈,T,躲,o,
LA01,临安城区,太湖片-临绍小片,,,戈,T,剁,,
LA01,临安城区,太湖片-临绍小片,,,戈,T,妥,,
LA01,临安城区,太湖片-临绍小片,,,戈,T,椭,o,
LA01,临安城区,太湖片-临绍小片,,,戈,T,唾,,
LA01,临安城区,太湖片-临绍小片,,,戈,T,砣,,
LA01,临安城区,太湖片-临绍小片,,,戈,T,惰,o,
LA01,临安城区,太湖片-临绍小片,,,戈,T,垛,o,
LA01,临安城区,太湖片-临绍小片,,,戈,T,堕,o,
LA01,临安城区,太湖片-临绍小片,,,戈,N,挼,o,
