point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
LT01,练塘,太湖片-苏沪嘉小片,,,歌,T,多,u,上海地区方言调查研究
LT01,练塘,太湖片-苏沪嘉小片,,,歌,T,拖,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,T,他,a,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,T,驼,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,T,驮,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,T,陀,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,T,鸵,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,T,沱,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,T,舵,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,T,大,u/a,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,T,驮,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,N,挪,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,N,哪,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,N,那,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,L,罗,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,L,锣,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,L,箩,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,L,萝,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,L,逻,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,TS,左,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,TS,佐,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,TS,搓,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,TS,娑,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,K,歌,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,K,哥,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,K,柯,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,K,个,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,K,轲,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,K,可,ɔ,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,K,蛾,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,K,鹅,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,K,俄,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,K,娥,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,K,我,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,K,饿,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,Ø,河,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,Ø,何,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,Ø,阿,,
LT01,练塘,太湖片-苏沪嘉小片,,,歌,Ø,屙,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,茄,a,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,P,波,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,P,菠,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,P,跛,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,P,簸,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,P,簸,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,P,播,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,P,颇,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,P,坡,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,P,玻,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,P,破,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,P,婆,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,P,薄,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,M,魔,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,M,磨,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,M,摩,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,M,馍,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,M,蘑,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,M,磨,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,T,朵,o ,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,T,躲,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,T,剁,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,T,妥,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,T,椭,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,T,唾,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,T,砣,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,T,惰,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,T,垛,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,T,堕,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,N,挼,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,N,糯,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,N,懦,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,L,骡,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,L,螺,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,L,脶,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,L,啰,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,L,裸,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,L,瘰,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,L,摞,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,TS,锉,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,TS,莝,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,TS,矬,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,TS,坐,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,TS,座,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,TS,蓑,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,TS,梭,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,TS,唆,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,TS,莎,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,TS,锁,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,TS,琐,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,TS,唢,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,过,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,锅,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,戈,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,果,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,裹,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,餜,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,过,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,科,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,窠,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,棵,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,髁,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,蝌,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,颗,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,课,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,讹,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,K,卧,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,火,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,伙,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,货,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,和,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,禾,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,祸,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,夥,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,和,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,倭,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,踒,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,窝,u,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,涡,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,莴,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,涴,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,瘸,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,靴,,
LT01,练塘,太湖片-苏沪嘉小片,,,戈,Ø,�,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,巴,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,芭,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,疤,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,笆,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,吧,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,把,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,靶,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,霸,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,欛,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,壩,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,坝,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,爸,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,怕,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,帕,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,爬,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,琶,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,杷,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,钯,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,P,耙,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,M,麻,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,M,痲,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,M,蟆,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,M,妈,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,M,马,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,M,码,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,M,玛,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,M,蚂,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,M,骂,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,N,拿,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS,茶,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS,搽,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS,䖳,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,楂,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,渣,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,诈,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,榨,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,炸,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,叉,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,杈,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,差,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,岔,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,差,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,茬,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,查,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,乍,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,沙,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,纱,o,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,痧,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,砂,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,鲨,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,裟,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,洒,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,TS*,厦,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,家,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,傢,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,加,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,痂,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,嘉,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,枷,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,袈,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,假,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,贾,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,假,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,架,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,驾,ia,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,嫁,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,稼,ia,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,价,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,揢,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,牙,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,芽,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,衙,a,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,伢,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,蚜,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,雅,ia,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,K,砑,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,Ø,虾,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,Ø,�,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,Ø,嚇,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,Ø,霞,ia,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,Ø,瑕,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,Ø,遐,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,Ø,蝦,,
LT01,练塘,太湖片-苏沪嘉小片,,,麻,Ø,下,o,
